date,y2,y3,y5,y7,y10,ylong
2001-01-02,5.11,5.14,5.19,5.23,5.28,5.52
2001-01-03,5.11,5.17,5.28,5.33,5.43,5.63
2001-01-04,4.99,5.07,5.2,5.26,5.39,5.62
2001-01-05,4.88,4.96,5.1,5.16,5.32,5.61
2001-01-08,4.89,4.98,5.12,5.18,5.35,5.66
2001-01-09,4.95,5.03,5.17,5.22,5.37,5.65
2001-01-10,5.0,5.08,5.21,5.27,5.41,5.68
2001-01-11,4.99,5.07,5.21,5.27,5.41,5.7
2001-01-12,5.04,5.11,5.24,5.3,5.45,5.72
2001-01-15,5.04,5.11,5.24,5.3,5.45,5.72
2001-01-16,5.07,5.14,5.27,5.33,5.45,5.7
2001-01-17,5.06,5.12,5.24,5.29,5.41,5.66
2001-01-18,4.99,5.04,5.19,5.25,5.39,5.67
2001-01-19,4.99,5.05,5.21,5.27,5.43,5.71
2001-01-22,5.04,5.1,5.25,5.31,5.46,5.73
2001-01-23,5.04,5.11,5.27,5.33,5.48,5.75
2001-01-24,5.08,5.14,5.3,5.37,5.51,5.78
2001-01-25,5.03,5.1,5.25,5.31,5.46,5.73
2001-01-26,5.01,5.08,5.24,5.3,5.46,5.74
2001-01-29,4.99,5.06,5.23,5.29,5.46,5.76
2001-01-30,4.95,5.03,5.21,5.26,5.45,5.74
2001-01-31,4.88,4.96,5.14,5.2,5.39,5.72
2001-02-01,4.87,4.96,5.13,5.18,5.37,5.66
2001-02-02,4.96,5.04,5.21,5.25,5.43,5.69
2001-02-05,4.96,5.04,5.2,5.25,5.41,5.67
2001-02-06,4.95,5.03,5.2,5.24,5.41,5.66
2001-02-07,4.94,5.02,5.19,5.24,5.41,5.67
2001-02-08,4.95,5.03,5.18,5.23,5.39,5.65
2001-02-09,4.92,5.01,5.15,5.2,5.37,5.63
2001-02-12,4.94,5.02,5.17,5.22,5.38,5.66
2001-02-13,4.99,5.08,5.21,5.26,5.42,5.66
2001-02-14,5.07,5.16,5.29,5.34,5.48,5.69
2001-02-15,5.05,5.13,5.28,5.33,5.52,5.72
2001-02-16,4.97,5.06,5.22,5.28,5.47,5.7
2001-02-19,4.95,5.04,5.21,5.26,5.47,5.71
2001-02-20,4.96,5.05,5.23,5.28,5.48,5.71
2001-02-21,4.94,5.03,5.2,5.26,5.48,5.73
2001-02-22,4.92,5.01,5.2,5.25,5.49,5.75
2001-02-23,4.88,4.98,5.17,5.23,5.47,5.75
2001-02-26,4.81,4.91,5.11,5.17,5.43,5.73
2001-02-27,4.8,4.9,5.07,5.13,5.36,5.65
2001-02-28,4.81,4.91,5.09,5.14,5.36,5.66
2001-03-01,4.83,4.93,5.09,5.14,5.34,5.63
2001-03-02,4.85,4.95,5.11,5.17,5.36,5.65
2001-03-05,4.86,4.96,5.11,5.17,5.36,5.64
2001-03-06,4.76,4.87,5.06,5.12,5.34,5.65
2001-03-07,4.72,4.84,5.01,5.07,5.29,5.61
2001-03-08,4.71,4.82,5.0,5.06,5.29,5.61
2001-03-09,4.73,4.84,5.02,5.08,5.29,5.6
2001-03-12,4.67,4.78,4.97,5.03,5.26,5.56
2001-03-13,4.71,4.83,5.01,5.07,5.3,5.59
2001-03-14,4.62,4.73,4.93,4.99,5.24,5.56
2001-03-15,4.53,4.67,4.88,4.94,5.22,5.57
2001-03-16,4.53,4.67,4.87,4.92,5.2,5.56
2001-03-19,4.62,4.82,4.9,5.13,5.22,5.58
2001-03-20,4.54,4.75,4.83,5.08,5.18,5.56
2001-03-21,4.54,4.76,4.85,5.1,5.21,5.6
2001-03-22,4.52,4.74,4.82,5.08,5.2,5.58
2001-03-23,4.58,4.82,4.91,5.15,5.27,5.64
2001-03-26,4.61,4.86,4.94,5.22,5.33,5.71
2001-03-27,4.74,4.99,5.08,5.35,5.45,5.79
2001-03-28,4.69,4.94,5.03,5.3,5.41,5.79
2001-03-29,4.73,4.99,5.08,5.34,5.45,5.82
2001-03-30,4.76,4.99,5.08,5.31,5.42,5.78
2001-04-02,4.87,5.1,5.19,5.41,5.52,5.85
2001-04-03,4.79,5.02,5.11,5.33,5.44,5.78
2001-04-04,4.71,4.96,5.05,5.3,5.42,5.8
2001-04-05,4.77,5.02,5.11,5.35,5.47,5.84
2001-04-06,4.64,4.91,5.01,5.28,5.41,5.8
2001-04-09,4.64,4.91,5.01,5.29,5.42,5.82
2001-04-10,4.73,5.01,5.11,5.38,5.52,5.88
2001-04-11,4.8,5.07,5.17,5.43,5.56,5.88
2001-04-12,4.83,5.11,5.21,5.47,5.59,5.89
2001-04-16,4.88,5.16,5.25,5.52,5.65,5.94
2001-04-17,4.91,5.17,5.28,5.53,5.66,5.93
2001-04-18,4.73,5.04,5.15,5.44,5.6,5.89
2001-04-19,4.77,5.12,5.26,5.56,5.72,6.02
2001-04-20,4.75,5.11,5.25,5.57,5.73,6.02
2001-04-23,4.68,5.04,5.17,5.49,5.64,5.96
2001-04-24,4.7,5.05,5.19,5.5,5.65,5.98
2001-04-25,4.76,5.1,5.23,5.52,5.66,5.97
2001-04-26,4.73,5.06,5.2,5.49,5.63,5.94
2001-04-27,4.85,5.19,5.33,5.62,5.75,6.01
2001-04-30,4.88,5.23,5.37,5.66,5.79,6.02
2001-05-01,4.83,5.19,5.33,5.62,5.76,5.99
2001-05-02,4.84,5.21,5.35,5.62,5.74,5.98
2001-05-03,4.8,5.14,5.28,5.55,5.67,5.91
2001-05-04,4.73,5.11,5.25,5.54,5.68,5.94
2001-05-07,4.71,5.09,5.24,5.54,5.69,5.96
2001-05-08,4.72,5.12,5.27,5.59,5.74,6.01
2001-05-09,4.69,5.08,5.23,5.53,5.68,5.96
2001-05-10,4.75,5.13,5.29,5.6,5.74,6.0
2001-05-11,4.9,5.31,5.47,5.76,5.89,6.07
2001-05-14,4.9,5.31,5.48,5.77,5.91,6.1
2001-05-15,4.86,5.31,5.5,5.82,5.95,6.11
2001-05-16,4.81,5.32,5.51,5.82,5.95,6.09
2001-05-17,4.95,5.39,5.57,5.82,5.94,6.05
2001-05-18,4.98,5.42,5.6,5.81,5.92,6.03
2001-05-22,4.99,5.4,5.57,5.81,5.91,6.04
2001-05-23,4.97,5.39,5.56,5.81,5.92,6.04
2001-05-24,5.01,5.44,5.63,5.88,5.99,6.06
2001-05-25,4.96,5.41,5.6,5.85,5.96,6.05
2001-05-28,4.93,5.39,5.57,5.83,5.94,6.04
2001-05-29,4.98,5.42,5.59,5.84,5.95,6.02
2001-05-30,4.99,5.44,5.61,5.86,5.96,6.03
2001-05-31,4.93,5.36,5.52,5.75,5.84,5.94
2001-06-01,4.9,5.3,5.47,5.7,5.79,5.9
2001-06-04,4.86,5.26,5.41,5.64,5.73,5.86
2001-06-05,4.82,5.21,5.36,5.61,5.7,5.85
2001-06-06,4.82,5.21,5.36,5.61,5.71,5.87
2001-06-07,4.82,5.24,5.4,5.66,5.76,5.93
2001-06-08,4.82,5.24,5.41,5.67,5.78,5.92
2001-06-11,4.77,5.18,5.34,5.6,5.69,5.87
2001-06-12,4.77,5.16,5.32,5.55,5.65,5.84
2001-06-13,4.78,5.18,5.33,5.59,5.69,5.88
2001-06-14,4.74,5.14,5.29,5.55,5.67,5.87
2001-06-15,4.75,5.14,5.29,5.56,5.68,5.89
2001-06-18,4.73,5.14,5.3,5.58,5.7,5.92
2001-06-19,4.74,5.17,5.33,5.62,5.74,5.95
2001-06-20,4.73,5.13,5.29,5.58,5.7,5.93
2001-06-21,4.73,5.12,5.26,5.54,5.65,5.87
2001-06-22,4.69,5.06,5.21,5.49,5.6,5.84
2001-06-25,4.7,5.09,5.24,5.51,5.64,5.87
2001-06-26,4.76,5.16,5.31,5.58,5.7,5.92
2001-06-27,4.87,5.24,5.39,5.63,5.73,5.89
2001-06-28,5.0,5.39,5.54,5.77,5.86,5.96
2001-06-29,5.03,5.45,5.6,5.83,5.91,6.01
2001-07-03,5.04,5.44,5.61,5.84,5.93,6.02
2001-07-04,5.03,5.43,5.59,5.83,5.92,6.02
2001-07-05,4.99,5.41,5.57,5.84,5.93,6.03
2001-07-06,4.92,5.35,5.52,5.8,5.89,6.02
2001-07-09,4.91,5.34,5.5,5.79,5.88,5.99
2001-07-10,4.89,5.32,5.48,5.76,5.86,5.98
2001-07-11,4.9,5.34,5.52,5.79,5.89,6.0
2001-07-12,4.9,5.36,5.52,5.79,5.9,6.0
2001-07-13,4.9,5.35,5.51,5.78,5.88,5.99
2001-07-16,4.86,5.3,5.47,5.74,5.84,5.97
2001-07-17,4.86,5.31,5.47,5.74,5.84,5.97
2001-07-18,4.76,5.2,5.37,5.64,5.74,5.9
2001-07-19,4.77,5.21,5.39,5.66,5.77,5.93
2001-07-20,4.73,5.18,5.35,5.63,5.73,5.91
2001-07-23,4.71,5.16,5.32,5.6,5.71,5.89
2001-07-24,4.7,5.14,5.31,5.59,5.7,5.9
2001-07-25,4.73,5.19,5.36,5.64,5.76,5.94
2001-07-26,4.69,5.14,5.31,5.59,5.7,5.9
2001-07-27,4.66,5.09,5.27,5.54,5.65,5.86
2001-07-30,4.65,5.08,5.25,5.54,5.64,5.87
2001-07-31,4.63,5.07,5.25,5.53,5.65,5.89
2001-08-01,4.66,5.1,5.29,5.57,5.69,5.91
