date,usdcad,eurcad,jpycad
2017-01-03,1.3435,1.3973,0.0114
2017-01-04,1.3315,1.393,0.01134
2017-01-05,1.3244,1.4008,0.01145
2017-01-06,1.3214,1.3953,0.01133
2017-01-09,1.324,1.3967,0.01138
2017-01-10,1.3213,1.397,0.01141
2017-01-11,1.325,1.3916,0.0114
2017-01-12,1.3106,1.3966,0.01148
2017-01-13,1.3141,1.3967,0.01144
2017-01-16,1.3152,1.395,0.01153
2017-01-17,1.3057,1.397,0.01156
2017-01-18,1.3099,1.4052,0.0116
2017-01-19,1.3303,1.4159,0.01157
2017-01-20,1.3356,1.4242,0.01162
2017-01-23,1.3291,1.4266,0.01174
2017-01-24,1.3174,1.4156,0.01161
2017-01-25,1.3088,1.4052,0.01152
2017-01-26,1.3103,1.4001,0.01145
2017-01-27,1.3123,1.4036,0.0114
2017-01-30,1.3114,1.4002,0.01151
2017-01-31,1.303,1.4053,0.01155
2017-02-01,1.3074,1.4066,0.01153
2017-02-02,1.3016,1.4049,0.01156
2017-02-03,1.3016,1.4022,0.01155
2017-02-06,1.3099,1.4061,0.01168
2017-02-07,1.3167,1.4072,0.01173
2017-02-08,1.3157,1.4064,0.01175
2017-02-09,1.3127,1.4003,0.01162
2017-02-10,1.3084,1.3911,0.01153
2017-02-13,1.3082,1.3874,0.0115
2017-02-14,1.307,1.3832,0.01146
2017-02-15,1.3088,1.3843,0.01144
2017-02-16,1.3055,1.3917,0.01151
2017-02-17,1.3102,1.3923,0.01161
2017-02-21,1.3148,1.3861,0.01158
2017-02-22,1.3181,1.3892,0.01164
2017-02-23,1.311,1.3867,0.01163
2017-02-24,1.3095,1.3853,0.01167
2017-02-27,1.3118,1.3907,0.01167
2017-02-28,1.3249,1.4051,0.01182
2017-03-01,1.3338,1.4072,0.01173
2017-03-02,1.3387,1.4069,0.0117
2017-03-03,1.3405,1.4169,0.01172
2017-03-06,1.3404,1.4195,0.01177
2017-03-07,1.3417,1.4184,0.01177
2017-03-08,1.3475,1.4215,0.01177
2017-03-09,1.3513,1.4301,0.01177
2017-03-10,1.3464,1.4353,0.01171
