code,jurisdiction,year,min_wage
AB,Alberta,1965,0.95
AB,Alberta,1966,1.0
AB,Alberta,1967,1.15
AB,Alberta,1968,1.25
AB,Alberta,1969,1.25
AB,Alberta,1970,1.55
AB,Alberta,1971,1.55
AB,Alberta,1972,1.55
AB,Alberta,1973,1.9
AB,Alberta,1974,2.0
AB,Alberta,1975,2.5
AB,Alberta,1976,2.75
AB,Alberta,1977,3.0
AB,Alberta,1978,3.0
AB,Alberta,1979,3.0
AB,Alberta,1980,3.5
AB,Alberta,1981,3.8
AB,Alberta,1982,3.8
AB,Alberta,1983,3.8
AB,Alberta,1984,3.8
AB,Alberta,1985,3.8
AB,Alberta,1986,3.8
AB,Alberta,1987,3.8
AB,Alberta,1988,4.5
AB,Alberta,1989,4.5
AB,Alberta,1990,4.5
AB,Alberta,1991,4.5
AB,Alberta,1992,5.0
AB,Alberta,1993,5.0
AB,Alberta,1994,5.0
AB,Alberta,1995,5.0
AB,Alberta,1996,5.0
AB,Alberta,1997,5.0
AB,Alberta,1998,5.4
AB,Alberta,1999,5.9
AB,Alberta,2000,5.9
AB,Alberta,2001,5.9
AB,Alberta,2002,5.9
AB,Alberta,2003,5.9
AB,Alberta,2004,5.9
AB,Alberta,2005,7.0
AB,Alberta,2006,7.0
AB,Alberta,2007,8.0
AB,Alberta,2008,8.4
AB,Alberta,2009,8.8
AB,Alberta,2010,8.8
AB,Alberta,2011,9.4
AB,Alberta,2012,9.75
AB,Alberta,2013,9.95
AB,Alberta,2014,10.2
AB,Alberta,2015,11.2
AB,Alberta,2016,12.2
AB,Alberta,2017,13.6
AB,Alberta,2018,15.0
AB,Alberta,2019,15.0
AB,Alberta,2020,15.0
AB,Alberta,2021,15.0
AB,Alberta,2022,15.0
AB,Alberta,2023,15.0
AB,Alberta,2024,15.0
AB,Alberta,2025,15.0
AB,Alberta,2026,15.0
BC,British Columbia,1965,1.0
BC,British Columbia,1966,1.0
BC,British Columbia,1967,1.25
BC,British Columbia,1968,1.25
BC,British Columbia,1969,1.25
BC,British Columbia,1970,1.5
BC,British Columbia,1971,1.5
BC,British Columbia,1972,2.0
BC,British Columbia,1973,2.25
BC,British Columbia,1974,2.5
BC,British Columbia,1975,2.75
BC,British Columbia,1976,3.0
BC,British Columbia,1977,3.0
BC,British Columbia,1978,3.0
BC,British Columbia,1979,3.0
BC,British Columbia,1980,3.65
BC,British Columbia,1981,3.65
BC,British Columbia,1982,3.65
BC,British Columbia,1983,3.65
BC,British Columbia,1984,3.65
BC,British Columbia,1985,3.65
BC,British Columbia,1986,3.65
BC,British Columbia,1987,3.65
BC,British Columbia,1988,4.5
BC,British Columbia,1989,4.75
BC,British Columbia,1990,5.0
BC,British Columbia,1991,5.0
BC,British Columbia,1992,5.5
BC,British Columbia,1993,6.0
BC,British Columbia,1994,6.0
BC,British Columbia,1995,7.0
BC,British Columbia,1996,7.0
BC,British Columbia,1997,7.0
BC,British Columbia,1998,7.15
BC,British Columbia,1999,7.15
BC,British Columbia,2000,7.6
BC,British Columbia,2001,8.0
BC,British Columbia,2002,8.0
BC,British Columbia,2003,8.0
BC,British Columbia,2004,8.0
BC,British Columbia,2005,8.0
BC,British Columbia,2006,8.0
BC,British Columbia,2007,8.0
BC,British Columbia,2008,8.0
BC,British Columbia,2009,8.0
BC,British Columbia,2010,8.0
BC,British Columbia,2011,9.5
BC,British Columbia,2012,10.25
BC,British Columbia,2013,10.25
BC,British Columbia,2014,10.25
BC,British Columbia,2015,10.45
BC,British Columbia,2016,10.85
BC,British Columbia,2017,11.35
BC,British Columbia,2018,12.65
BC,British Columbia,2019,13.85
BC,British Columbia,2020,14.6
BC,British Columbia,2021,15.2
BC,British Columbia,2022,15.65
BC,British Columbia,2023,16.75
BC,British Columbia,2024,17.4
BC,British Columbia,2025,17.85
BC,British Columbia,2026,17.85
FJ,Federal,1965,1.25
FJ,Federal,1966,1.25
FJ,Federal,1967,1.25
FJ,Federal,1968,1.25
FJ,Federal,1969,1.25
FJ,Federal,1970,1.65
FJ,Federal,1971,1.75
FJ,Federal,1972,1.9
FJ,Federal,1973,1.9
FJ,Federal,1974,2.2
FJ,Federal,1975,2.6
FJ,Federal,1976,2.9
FJ,Federal,1977,2.9
FJ,Federal,1978,2.9
FJ,Federal,1979,2.9
FJ,Federal,1980,3.25
FJ,Federal,1981,3.5
FJ,Federal,1982,3.5
FJ,Federal,1983,3.5
FJ,Federal,1984,3.5
FJ,Federal,1985,3.5
FJ,Federal,1986,4.0
FJ,Federal,1987,4.0
FJ,Federal,1988,4.0
FJ,Federal,1989,4.0
FJ,Federal,1990,4.0
FJ,Federal,1991,4.0
FJ,Federal,1992,4.0
FJ,Federal,1993,4.0
FJ,Federal,1994,4.0
FJ,Federal,1995,4.0
FJ,Federal,1996,4.0
FJ,Federal,1997,4.0
FJ,Federal,1998,4.0
FJ,Federal,1999,4.0
FJ,Federal,2000,4.0
FJ,Federal,2001,4.0
FJ,Federal,2002,4.0
FJ,Federal,2003,4.0
FJ,Federal,2004,4.0
FJ,Federal,2005,4.0
FJ,Federal,2006,4.0
FJ,Federal,2007,4.0
FJ,Federal,2008,4.0
FJ,Federal,2009,4.0
FJ,Federal,2010,4.0
FJ,Federal,2011,4.0
FJ,Federal,2012,4.0
FJ,Federal,2013,4.0
FJ,Federal,2014,4.0
FJ,Federal,2015,4.0
FJ,Federal,2016,4.0
FJ,Federal,2017,4.0
FJ,Federal,2018,4.0
FJ,Federal,2019,4.0
FJ,Federal,2020,4.0
FJ,Federal,2021,15.0
FJ,Federal,2022,15.55
FJ,Federal,2023,16.65
FJ,Federal,2024,17.3
FJ,Federal,2025,17.75
FJ,Federal,2026,17.75
MB,Manitoba,1965,0.8
MB,Manitoba,1966,1.0
MB,Manitoba,1967,1.1
MB,Manitoba,1968,1.25
MB,Manitoba,1969,1.35
MB,Manitoba,1970,1.5
MB,Manitoba,1971,1.65
MB,Manitoba,1972,1.75
MB,Manitoba,1973,1.9
MB,Manitoba,1974,2.15
MB,Manitoba,1975,2.6
MB,Manitoba,1976,2.95
MB,Manitoba,1977,2.95
MB,Manitoba,1978,2.95
MB,Manitoba,1979,3.05
MB,Manitoba,1980,3.15
MB,Manitoba,1981,3.55
MB,Manitoba,1982,4.0
MB,Manitoba,1983,4.0
MB,Manitoba,1984,4.0
MB,Manitoba,1985,4.3
MB,Manitoba,1986,4.3
MB,Manitoba,1987,4.7
MB,Manitoba,1988,4.7
MB,Manitoba,1989,4.7
MB,Manitoba,1990,4.7
MB,Manitoba,1991,5.0
MB,Manitoba,1992,5.0
MB,Manitoba,1993,5.0
MB,Manitoba,1994,5.0
MB,Manitoba,1995,5.25
MB,Manitoba,1996,5.4
MB,Manitoba,1997,5.4
MB,Manitoba,1998,5.4
MB,Manitoba,1999,6.0
MB,Manitoba,2000,6.0
MB,Manitoba,2001,6.25
MB,Manitoba,2002,6.5
MB,Manitoba,2003,6.75
MB,Manitoba,2004,7.0
MB,Manitoba,2005,7.25
MB,Manitoba,2006,7.6
MB,Manitoba,2007,8.0
MB,Manitoba,2008,8.5
MB,Manitoba,2009,9.0
MB,Manitoba,2010,9.5
MB,Manitoba,2011,10.0
MB,Manitoba,2012,10.25
MB,Manitoba,2013,10.45
MB,Manitoba,2014,10.7
MB,Manitoba,2015,11.0
MB,Manitoba,2016,11.0
MB,Manitoba,2017,11.15
MB,Manitoba,2018,11.35
MB,Manitoba,2019,11.65
MB,Manitoba,2020,11.9
MB,Manitoba,2021,11.95
MB,Manitoba,2022,13.5
MB,Manitoba,2023,15.3
MB,Manitoba,2024,15.8
MB,Manitoba,2025,16.0
MB,Manitoba,2026,16.0
NB,New Brunswick,1965,0.8
NB,New Brunswick,1966,0.9
NB,New Brunswick,1967,0.9
NB,New Brunswick,1968,1.0
NB,New Brunswick,1969,1.0
NB,New Brunswick,1970,1.15
NB,New Brunswick,1971,1.25
NB,New Brunswick,1972,1.4
NB,New Brunswick,1973,1.5
NB,New Brunswick,1974,1.9
NB,New Brunswick,1975,2.3
NB,New Brunswick,1976,2.8
NB,New Brunswick,1977,2.8
NB,New Brunswick,1978,2.8
NB,New Brunswick,1979,2.8
NB,New Brunswick,1980,3.35
NB,New Brunswick,1981,3.35
NB,New Brunswick,1982,3.8
NB,New Brunswick,1983,3.8
NB,New Brunswick,1984,3.8
NB,New Brunswick,1985,3.8
NB,New Brunswick,1986,4.0
NB,New Brunswick,1987,4.0
NB,New Brunswick,1988,4.0
NB,New Brunswick,1989,4.5
NB,New Brunswick,1990,4.75
NB,New Brunswick,1991,5.0
NB,New Brunswick,1992,5.0
NB,New Brunswick,1993,5.0
NB,New Brunswick,1994,5.0
NB,New Brunswick,1995,5.0
NB,New Brunswick,1996,5.5
NB,New Brunswick,1997,5.5
NB,New Brunswick,1998,5.5
NB,New Brunswick,1999,5.5
NB,New Brunswick,2000,5.75
NB,New Brunswick,2001,5.9
NB,New Brunswick,2002,6.0
NB,New Brunswick,2003,6.0
NB,New Brunswick,2004,6.2
NB,New Brunswick,2005,6.3
NB,New Brunswick,2006,6.7
NB,New Brunswick,2007,7.25
NB,New Brunswick,2008,7.75
NB,New Brunswick,2009,8.25
NB,New Brunswick,2010,9.0
NB,New Brunswick,2011,9.5
NB,New Brunswick,2012,10.0
NB,New Brunswick,2013,10.0
NB,New Brunswick,2014,10.3
NB,New Brunswick,2015,10.3
NB,New Brunswick,2016,10.65
NB,New Brunswick,2017,11.0
NB,New Brunswick,2018,11.25
NB,New Brunswick,2019,11.5
NB,New Brunswick,2020,11.7
NB,New Brunswick,2021,11.75
NB,New Brunswick,2022,13.75
