country_code,year,age,unemployment_rate,country_name
AUS,1979,Older (55–64),3.206168,Australia
AUS,1980,Older (55–64),2.873093,Australia
AUS,1981,Older (55–64),3.152944,Australia
AUS,1982,Older (55–64),3.551435,Australia
AUS,1983,Older (55–64),5.91467,Australia
AUS,1984,Older (55–64),5.588408,Australia
AUS,1985,Older (55–64),6.16574,Australia
AUS,1986,Older (55–64),5.448832,Australia
AUS,1987,Older (55–64),5.838163,Australia
AUS,1988,Older (55–64),5.889163,Australia
AUS,1989,Older (55–64),5.294857,Australia
AUS,1990,Older (55–64),5.458923,Australia
AUS,1991,Older (55–64),7.949468,Australia
AUS,1992,Older (55–64),9.506554,Australia
AUS,1993,Older (55–64),11.00928,Australia
AUS,1994,Older (55–64),9.684077,Australia
AUS,1995,Older (55–64),7.631441,Australia
AUS,1996,Older (55–64),7.586047,Australia
AUS,1997,Older (55–64),6.776237,Australia
AUS,1998,Older (55–64),6.298748,Australia
AUS,1999,Older (55–64),5.498793,Australia
AUS,2000,Older (55–64),4.547109,Australia
AUS,2001,Older (55–64),4.575792,Australia
AUS,2002,Older (55–64),4.301957,Australia
AUS,2003,Older (55–64),3.777683,Australia
AUS,2004,Older (55–64),3.554188,Australia
AUS,2005,Older (55–64),3.379785,Australia
AUS,2006,Older (55–64),3.229604,Australia
AUS,2007,Older (55–64),2.740036,Australia
AUS,2008,Older (55–64),2.609846,Australia
AUS,2009,Older (55–64),3.342113,Australia
AUS,2010,Older (55–64),3.255515,Australia
AUS,2011,Older (55–64),3.328536,Australia
AUS,2012,Older (55–64),3.453936,Australia
AUS,2013,Older (55–64),3.827957,Australia
AUS,2014,Older (55–64),4.090223,Australia
AUS,2015,Older (55–64),4.254473,Australia
AUS,2016,Older (55–64),4.255997,Australia
AUS,2017,Older (55–64),4.07414,Australia
AUS,2018,Older (55–64),4.276509,Australia
AUS,2019,Older (55–64),3.961628,Australia
AUS,2020,Older (55–64),5.080298,Australia
AUS,2021,Older (55–64),4.166081,Australia
AUS,2022,Older (55–64),2.828284,Australia
AUS,2023,Older (55–64),2.799636,Australia
AUS,2024,Older (55–64),3.068029,Australia
AUS,2025,Older (55–64),3.318332,Australia
AUS,1979,Prime-age (25–54),3.876333,Australia
AUS,1980,Prime-age (25–54),3.842238,Australia
AUS,1981,Prime-age (25–54),3.790329,Australia
AUS,1982,Prime-age (25–54),4.915799,Australia
AUS,1983,Prime-age (25–54),7.183317,Australia
AUS,1984,Prime-age (25–54),6.430556,Australia
AUS,1985,Prime-age (25–54),5.925402,Australia
AUS,1986,Prime-age (25–54),5.842134,Australia
AUS,1987,Prime-age (25–54),5.961219,Australia
AUS,1988,Prime-age (25–54),5.261376,Australia
AUS,1989,Prime-age (25–54),4.59713,Australia
