cmauid,name,unemployment,period
001,St. John's,6.7,2026-08
205,Halifax,5.5,2026-08
305,Moncton,7.5,2026-08
310,Saint John,5.5,2026-08
320,Fredericton,6.0,2026-08
408,Saguenay,3.5,2026-08
421,Québec,4.3,2026-08
433,Sherbrooke,4.0,2026-08
442,Trois-Rivières,5.8,2026-08
447,Drummondville,4.4,2026-08
462,Montréal,6.3,2026-08
505,Ottawa-Gatineau,7.1,2026-08
521,Kingston,5.5,2026-08
522,Belleville - Quinte West,5.4,2026-08
529,Peterborough,7.0,2026-08
532,Oshawa,8.8,2026-08
535,Toronto,6.8,2026-08
537,Hamilton,6.5,2026-08
539,St. Catharines-Niagara,6.3,2026-08
541,Kitchener-Cambridge-Waterloo,8.2,2026-08
543,Brantford,6.2,2026-08
550,Guelph,7.2,2026-08
555,London,8.5,2026-08
559,Windsor,7.5,2026-08
568,Barrie,7.1,2026-08
580,Greater Sudbury,6.2,2026-08
595,Thunder Bay,4.7,2026-08
602,Winnipeg,5.4,2026-08
705,Regina,6.2,2026-08
725,Saskatoon,6.6,2026-08
810,Lethbridge,5.6,2026-08
825,Calgary,6.7,2026-08
830,Red Deer,7.3,2026-08
835,Edmonton,6.9,2026-08
915,Kelowna,9.0,2026-08
925,Kamloops,5.5,2026-08
930,Chilliwack,5.5,2026-08
932,Abbotsford-Mission,7.4,2026-08
933,Vancouver,6.4,2026-08
935,Victoria,5.3,2026-08
938,Nanaimo,5.7,2026-08
