date,geography,product_group,cpi_value,inflation_yoy
1914-01-01,Canada,All-items,6.0,
1914-02-01,Canada,All-items,6.0,
1914-03-01,Canada,All-items,6.0,
1914-04-01,Canada,All-items,6.0,
1914-05-01,Canada,All-items,5.9,
1914-06-01,Canada,All-items,6.0,
1914-07-01,Canada,All-items,5.9,
1914-08-01,Canada,All-items,6.0,
1914-09-01,Canada,All-items,6.0,
1914-10-01,Canada,All-items,6.1,
1914-11-01,Canada,All-items,6.1,
1914-12-01,Canada,All-items,6.1,
1915-01-01,Canada,All-items,6.1,1.6666666666666607
1915-02-01,Canada,All-items,6.1,1.6666666666666607
1915-03-01,Canada,All-items,6.1,1.6666666666666607
1915-04-01,Canada,All-items,6.1,1.6666666666666607
1915-05-01,Canada,All-items,6.1,3.3898305084745672
1915-06-01,Canada,All-items,6.1,1.6666666666666607
1915-07-01,Canada,All-items,6.1,3.3898305084745672
1915-08-01,Canada,All-items,6.1,1.6666666666666607
1915-09-01,Canada,All-items,6.1,1.6666666666666607
1915-10-01,Canada,All-items,6.1,0.0
1915-11-01,Canada,All-items,6.3,3.2786885245901676
1915-12-01,Canada,All-items,6.3,3.2786885245901676
1916-01-01,Canada,All-items,6.4,4.918032786885251
1916-02-01,Canada,All-items,6.5,6.557377049180335
1916-03-01,Canada,All-items,6.5,6.557377049180335
1916-04-01,Canada,All-items,6.5,6.557377049180335
1916-05-01,Canada,All-items,6.5,6.557377049180335
1916-06-01,Canada,All-items,6.6,8.196721311475418
1916-07-01,Canada,All-items,6.6,8.196721311475418
1916-08-01,Canada,All-items,6.6,8.196721311475418
1916-09-01,Canada,All-items,6.8,11.475409836065587
1916-10-01,Canada,All-items,6.9,13.11475409836067
1916-11-01,Canada,All-items,7.1,12.698412698412698
1916-12-01,Canada,All-items,7.2,14.285714285714302
1917-01-01,Canada,All-items,7.4,15.625
1917-02-01,Canada,All-items,7.4,13.846153846153841
1917-03-01,Canada,All-items,7.6,16.923076923076906
1917-04-01,Canada,All-items,7.6,16.923076923076906
1917-05-01,Canada,All-items,7.9,21.53846153846155
1917-06-01,Canada,All-items,8.0,21.212121212121215
1917-07-01,Canada,All-items,8.0,21.212121212121215
1917-08-01,Canada,All-items,8.0,21.212121212121215
1917-09-01,Canada,All-items,8.0,17.647058823529417
1917-10-01,Canada,All-items,8.2,18.8405797101449
1917-11-01,Canada,All-items,8.2,15.492957746478876
1917-12-01,Canada,All-items,8.3,15.27777777777779
1918-01-01,Canada,All-items,8.4,13.513513513513509
1918-02-01,Canada,All-items,8.5,14.864864864864868
1918-03-01,Canada,All-items,8.6,13.157894736842103
1918-04-01,Canada,All-items,8.6,13.157894736842103
1918-05-01,Canada,All-items,8.7,10.126582278481
1918-06-01,Canada,All-items,8.8,10.000000000000009
1918-07-01,Canada,All-items,8.9,11.250000000000004
1918-08-01,Canada,All-items,9.2,14.999999999999991
1918-09-01,Canada,All-items,9.2,14.999999999999991
1918-10-01,Canada,All-items,9.3,13.414634146341475
1918-11-01,Canada,All-items,9.4,14.634146341463428
1918-12-01,Canada,All-items,9.4,13.253012048192758
1919-01-01,Canada,All-items,9.5,13.095238095238093
1919-02-01,Canada,All-items,9.4,10.588235294117654
1919-03-01,Canada,All-items,9.4,9.302325581395365
1919-04-01,Canada,All-items,9.4,9.302325581395365
1919-05-01,Canada,All-items,9.7,11.494252873563227
1919-06-01,Canada,All-items,9.7,10.227272727272707
1919-07-01,Canada,All-items,9.8,10.1123595505618
1919-08-01,Canada,All-items,10.0,8.69565217391306
1919-09-01,Canada,All-items,10.0,8.69565217391306
1919-10-01,Canada,All-items,10.0,7.526881720430101
1919-11-01,Canada,All-items,10.1,7.446808510638281
1919-12-01,Canada,All-items,10.2,8.51063829787233
1920-01-01,Canada,All-items,10.6,11.578947368421044
1920-02-01,Canada,All-items,10.8,14.893617021276606
1920-03-01,Canada,All-items,11.2,19.14893617021276
1920-04-01,Canada,All-items,11.3,20.21276595744681
1920-05-01,Canada,All-items,11.6,19.58762886597938
1920-06-01,Canada,All-items,11.8,21.649484536082486
1920-07-01,Canada,All-items,11.8,20.408163265306122
1920-08-01,Canada,All-items,11.7,16.999999999999993
1920-09-01,Canada,All-items,11.5,14.999999999999991
1920-10-01,Canada,All-items,11.5,14.999999999999991
1920-11-01,Canada,All-items,11.3,11.881188118811892
1920-12-01,Canada,All-items,11.2,9.80392156862746
1921-01-01,Canada,All-items,11.0,3.7735849056603765
1921-02-01,Canada,All-items,10.8,0.0
1921-03-01,Canada,All-items,10.5,-6.249999999999989
1921-04-01,Canada,All-items,10.2,-9.734513274336297
1921-05-01,Canada,All-items,10.0,-13.793103448275856
1921-06-01,Canada,All-items,9.7,-17.796610169491533
1921-07-01,Canada,All-items,9.7,-17.796610169491533
1921-08-01,Canada,All-items,9.7,-17.0940170940171
1921-09-01,Canada,All-items,9.7,-15.652173913043487
1921-10-01,Canada,All-items,9.7,-15.652173913043487
1921-11-01,Canada,All-items,9.4,-16.814159292035402
1921-12-01,Canada,All-items,9.4,-16.07142857142856
1922-01-01,Canada,All-items,9.4,-14.54545454545454
1922-02-01,Canada,All-items,9.3,-13.888888888888884
1922-03-01,Canada,All-items,9.2,-12.380952380952392
1922-04-01,Canada,All-items,9.2,-9.80392156862745
1922-05-01,Canada,All-items,9.1,-9.000000000000007
1922-06-01,Canada,All-items,9.1,-6.185567010309279
1922-07-01,Canada,All-items,9.1,-6.185567010309279
1922-08-01,Canada,All-items,9.2,-5.154639175257736
1922-09-01,Canada,All-items,9.2,-5.154639175257736
1922-10-01,Canada,All-items,9.2,-5.154639175257736
1922-11-01,Canada,All-items,9.2,-2.1276595744680993
1922-12-01,Canada,All-items,9.2,-2.1276595744680993
1923-01-01,Canada,All-items,9.2,-2.1276595744680993
1923-02-01,Canada,All-items,9.2,-1.0752688172043112
1923-03-01,Canada,All-items,9.3,1.0869565217391353
1923-04-01,Canada,All-items,9.2,0.0
1923-05-01,Canada,All-items,9.2,1.098901098901095
1923-06-01,Canada,All-items,9.2,1.098901098901095
1923-07-01,Canada,All-items,9.1,0.0
1923-08-01,Canada,All-items,9.2,0.0
1923-09-01,Canada,All-items,9.2,0.0
1923-10-01,Canada,All-items,9.2,0.0
1923-11-01,Canada,All-items,9.2,0.0
1923-12-01,Canada,All-items,9.2,0.0
1924-01-01,Canada,All-items,9.2,0.0
1924-02-01,Canada,All-items,9.2,0.0
1924-03-01,Canada,All-items,9.2,-1.0752688172043112
1924-04-01,Canada,All-items,9.0,-2.1739130434782483
1924-05-01,Canada,All-items,8.9,-3.2608695652173836
1924-06-01,Canada,All-items,8.8,-4.347826086956507
1924-07-01,Canada,All-items,8.8,-3.296703296703285
1924-08-01,Canada,All-items,9.0,-2.1739130434782483
1924-09-01,Canada,All-items,9.0,-2.1739130434782483
