date,geography,product_group,cpi_value
1949-01-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",8.7
1949-02-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",8.9
1949-03-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",8.9
1949-04-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",8.9
1949-05-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",8.9
1949-06-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",8.9
1949-07-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",8.9
1949-08-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",8.9
1949-09-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",8.9
1949-10-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",8.9
1949-11-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",8.9
1949-12-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",8.9
1950-01-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.0
1950-02-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.0
1950-03-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.0
1950-04-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.0
1950-05-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.0
1950-06-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.0
1950-07-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.0
1950-08-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.0
1950-09-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.0
1950-10-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1950-11-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1950-12-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1951-01-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1951-02-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1951-03-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1951-04-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1951-05-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.0
1951-06-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.0
1951-07-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.0
1951-08-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.0
1951-09-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.0
1951-10-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.0
1951-11-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.3
1951-12-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.3
1952-01-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.3
1952-02-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.3
1952-03-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.3
1952-04-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.3
1952-05-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.0
1952-06-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.0
1952-07-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.0
1952-08-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.0
1952-09-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.0
1952-10-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.0
1952-11-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.0
1952-12-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.0
1953-01-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.0
1953-02-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",10.0
1953-03-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1953-04-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1953-05-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1953-06-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1953-07-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1953-08-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1953-09-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1953-10-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1953-11-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1953-12-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1954-01-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1954-02-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
1954-03-01,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",9.5
