date,food_group,cpi_value
1949-01-01,Bakery & cereals,9.6
1949-02-01,Bakery & cereals,9.6
1949-03-01,Bakery & cereals,9.5
1949-04-01,Bakery & cereals,9.8
1949-05-01,Bakery & cereals,10.0
1949-06-01,Bakery & cereals,10.0
1949-07-01,Bakery & cereals,10.0
1949-08-01,Bakery & cereals,10.0
1949-09-01,Bakery & cereals,10.0
1949-10-01,Bakery & cereals,10.0
1949-11-01,Bakery & cereals,10.0
1949-12-01,Bakery & cereals,10.0
1950-01-01,Bakery & cereals,10.0
1950-02-01,Bakery & cereals,10.0
1950-03-01,Bakery & cereals,10.0
1950-04-01,Bakery & cereals,10.0
1950-05-01,Bakery & cereals,10.0
1950-06-01,Bakery & cereals,10.0
1950-07-01,Bakery & cereals,10.0
1950-08-01,Bakery & cereals,10.1
1950-09-01,Bakery & cereals,10.5
1950-10-01,Bakery & cereals,10.5
1950-11-01,Bakery & cereals,10.5
1950-12-01,Bakery & cereals,10.6
1951-01-01,Bakery & cereals,10.6
1951-02-01,Bakery & cereals,10.8
1951-03-01,Bakery & cereals,11.0
1951-04-01,Bakery & cereals,11.0
1951-05-01,Bakery & cereals,11.0
1951-06-01,Bakery & cereals,11.1
1951-07-01,Bakery & cereals,11.1
1951-08-01,Bakery & cereals,11.3
1951-09-01,Bakery & cereals,11.3
1951-10-01,Bakery & cereals,11.4
1951-11-01,Bakery & cereals,11.4
1951-12-01,Bakery & cereals,11.4
1952-01-01,Bakery & cereals,11.4
1952-02-01,Bakery & cereals,11.5
1952-03-01,Bakery & cereals,11.5
1952-04-01,Bakery & cereals,11.5
1952-05-01,Bakery & cereals,11.6
1952-06-01,Bakery & cereals,11.6
1952-07-01,Bakery & cereals,11.6
1952-08-01,Bakery & cereals,11.6
1952-09-01,Bakery & cereals,11.6
1952-10-01,Bakery & cereals,11.6
1952-11-01,Bakery & cereals,11.5
1952-12-01,Bakery & cereals,11.5
1953-01-01,Bakery & cereals,11.5
1953-02-01,Bakery & cereals,11.5
1953-03-01,Bakery & cereals,11.5
1953-04-01,Bakery & cereals,11.5
1953-05-01,Bakery & cereals,11.6
1953-06-01,Bakery & cereals,11.7
1953-07-01,Bakery & cereals,11.8
1953-08-01,Bakery & cereals,11.8
1953-09-01,Bakery & cereals,11.9
1953-10-01,Bakery & cereals,11.9
1953-11-01,Bakery & cereals,11.9
1953-12-01,Bakery & cereals,12.1
1954-01-01,Bakery & cereals,12.1
1954-02-01,Bakery & cereals,12.1
1954-03-01,Bakery & cereals,12.1
1954-04-01,Bakery & cereals,12.1
1954-05-01,Bakery & cereals,12.1
1954-06-01,Bakery & cereals,12.1
1954-07-01,Bakery & cereals,12.1
1954-08-01,Bakery & cereals,12.1
1954-09-01,Bakery & cereals,12.1
1954-10-01,Bakery & cereals,12.1
1954-11-01,Bakery & cereals,12.0
1954-12-01,Bakery & cereals,12.0
1955-01-01,Bakery & cereals,12.0
1955-02-01,Bakery & cereals,12.0
1955-03-01,Bakery & cereals,12.0
1955-04-01,Bakery & cereals,11.9
1955-05-01,Bakery & cereals,11.9
1955-06-01,Bakery & cereals,11.9
1955-07-01,Bakery & cereals,11.9
1955-08-01,Bakery & cereals,11.9
1955-09-01,Bakery & cereals,12.0
1955-10-01,Bakery & cereals,12.0
1955-11-01,Bakery & cereals,12.0
1955-12-01,Bakery & cereals,12.0
1956-01-01,Bakery & cereals,12.0
1956-02-01,Bakery & cereals,12.0
1956-03-01,Bakery & cereals,12.1
1956-04-01,Bakery & cereals,12.1
1956-05-01,Bakery & cereals,12.1
1956-06-01,Bakery & cereals,12.2
1956-07-01,Bakery & cereals,12.4
1956-08-01,Bakery & cereals,12.4
1956-09-01,Bakery & cereals,12.4
1956-10-01,Bakery & cereals,12.4
1956-11-01,Bakery & cereals,12.7
1956-12-01,Bakery & cereals,12.8
1957-01-01,Bakery & cereals,12.8
1957-02-01,Bakery & cereals,12.8
1957-03-01,Bakery & cereals,12.8
1957-04-01,Bakery & cereals,13.0
1957-05-01,Bakery & cereals,13.0
1957-06-01,Bakery & cereals,13.1
1957-07-01,Bakery & cereals,13.1
1957-08-01,Bakery & cereals,13.1
1957-09-01,Bakery & cereals,13.1
1957-10-01,Bakery & cereals,13.1
1957-11-01,Bakery & cereals,13.1
1957-12-01,Bakery & cereals,13.1
1958-01-01,Bakery & cereals,13.1
1958-02-01,Bakery & cereals,13.1
1958-03-01,Bakery & cereals,13.3
1958-04-01,Bakery & cereals,13.3
1958-05-01,Bakery & cereals,13.3
1958-06-01,Bakery & cereals,13.3
1958-07-01,Bakery & cereals,13.3
