date,usdcad,eurcad,jpycad
1950-10-01,1.0533,,
1950-11-01,1.0403,,
1950-12-01,1.0531,,
1951-01-01,1.0519,,
1951-02-01,1.0491,,
1951-03-01,1.0473,,
1951-04-01,1.0596,,
1951-05-01,1.0637,,
1951-06-01,1.0694,,
1951-07-01,1.0607,,
1951-08-01,1.0557,,
1951-09-01,1.0556,,
1951-10-01,1.0509,,
1951-11-01,1.0434,,
1951-12-01,1.0259,,
1952-01-01,1.0048,,0.002786
1952-02-01,1.001,,0.002781
1952-03-01,0.9959,,0.002767
1952-04-01,0.9809,,0.002725
1952-05-01,0.9838,,0.002733
1952-06-01,0.9792,,0.00272
1952-07-01,0.9691,,0.002693
1952-08-01,0.9613,,0.00267
1952-09-01,0.9598,,0.002666
1952-10-01,0.9643,,0.002679
1952-11-01,0.9766,,0.002713
1952-12-01,0.9706,,0.002696
1953-01-01,0.9705,,0.002696
1953-02-01,0.9773,,0.002715
1953-03-01,0.9833,,0.002732
1953-04-01,0.9837,,0.002733
1953-05-01,0.9941,,0.002762
1953-06-01,0.9944,,0.002762
1953-07-01,0.9918,,0.002755
1953-08-01,0.9883,,0.002745
1953-09-01,0.9843,,0.002734
1953-10-01,0.9825,,0.00273
1953-11-01,0.9777,,0.002716
1953-12-01,0.9731,,0.002703
1954-01-01,0.9729,,0.002703
1954-02-01,0.9665,,0.002685
1954-03-01,0.9708,,0.002697
1954-04-01,0.9825,,0.002729
1954-05-01,0.9843,,0.002734
1954-06-01,0.9813,,0.002726
1954-07-01,0.9744,,0.002707
1954-08-01,0.9702,,0.002695
1954-09-01,0.9697,,0.002694
1954-10-01,0.9698,,0.002694
1954-11-01,0.9692,,0.002693
1954-12-01,0.968,,0.002689
1955-01-01,0.966,,0.002684
1955-02-01,0.9769,,0.002714
1955-03-01,0.9843,,0.002734
1955-04-01,0.9862,,0.00274
1955-05-01,0.9859,,0.002739
1955-06-01,0.9844,,0.002735
1955-07-01,0.9846,,0.002735
1955-08-01,0.9851,,0.002737
1955-09-01,0.9878,,0.002744
1955-10-01,0.9953,,0.002765
1955-11-01,0.9994,,0.002776
1955-12-01,0.9995,,0.002776
1956-01-01,0.9987,,0.002775
1956-02-01,0.9991,,0.002775
1956-03-01,0.9987,,0.002775
1956-04-01,0.9968,,0.002769
1956-05-01,0.9918,,0.002755
1956-06-01,0.9853,,0.002737
1956-07-01,0.9818,,0.002728
1956-08-01,0.9812,,0.002725
1956-09-01,0.9777,,0.002716
1956-10-01,0.9732,,0.002704
1956-11-01,0.9644,,0.002679
1956-12-01,0.9605,,0.002668
1957-01-01,0.9607,,0.002673
1957-02-01,0.9583,,0.002662
1957-03-01,0.9561,,0.002656
1957-04-01,0.9597,,0.002666
1957-05-01,0.9556,,0.002655
1957-06-01,0.9532,,0.002648
1957-07-01,0.9509,,0.002642
1957-08-01,0.948,,0.002633
1957-09-01,0.9592,,0.002665
1957-10-01,0.9647,,0.00268
1957-11-01,0.9624,,0.002673
1957-12-01,0.9774,,0.002714
1958-01-01,0.9847,,0.002736
1958-02-01,0.981,,0.002725
1958-03-01,0.9773,,0.002715
1958-04-01,0.9706,,0.002696
1958-05-01,0.9669,,0.002686
1958-06-01,0.9618,,0.002672
1958-07-01,0.96,,0.002667
1958-08-01,0.9646,,0.00268
1958-09-01,0.9768,,0.002714
1958-10-01,0.9707,,0.002697
1958-11-01,0.9683,,0.00269
1958-12-01,0.9646,,0.00268
1959-01-01,0.9669,,0.002686
1959-02-01,0.9749,,0.002708
1959-03-01,0.9698,,0.002694
1959-04-01,0.9635,,0.002676
1959-05-01,0.9629,,0.002675
1959-06-01,0.9588,,0.002664
1959-07-01,0.9574,,0.00266
1959-08-01,0.9544,,0.002651
1959-09-01,0.9516,,0.002644
1959-10-01,0.9477,,0.002633
1959-11-01,0.9503,,0.00264
1959-12-01,0.9512,,0.002642
1960-01-01,0.9531,,0.002648
1960-02-01,0.9517,,0.002644
1960-03-01,0.9509,,0.002641
1960-04-01,0.9629,,0.002675
1960-05-01,0.9781,,0.002717
1960-06-01,0.9823,,0.002729
1960-07-01,0.9784,,0.002718
1960-08-01,0.9698,,0.002693
1960-09-01,0.9725,,0.002701
1960-10-01,0.9785,,0.002718
1960-11-01,0.9767,,0.002713
1960-12-01,0.9824,,0.002729
1961-01-01,0.9929,,0.002758
1961-02-01,0.9896,,0.002749
1961-03-01,0.9873,,0.002743
1961-04-01,0.9889,,0.002747
1961-05-01,0.9875,,0.002743
1961-06-01,1.0055,,0.002793
1961-07-01,1.0341,,0.002873
1961-08-01,1.0315,,0.002865
1961-09-01,1.0308,,0.002864
1961-10-01,1.0303,,0.002862
1961-11-01,1.0357,,0.002877
1961-12-01,1.0427,,0.002897
1962-01-01,1.045,,0.002903
1962-02-01,1.0488,,0.002913
1962-03-01,1.0494,,0.002915
1962-04-01,1.0498,,0.002916
1962-05-01,1.0823,,0.003007
1962-06-01,1.0879,,0.003022
1962-07-01,1.0789,,0.002997
1962-08-01,1.0776,,0.002993
1962-09-01,1.0768,,0.002992
1962-10-01,1.076,,0.002985
1962-11-01,1.0768,,0.002991
1962-12-01,1.076,,0.002989
1963-01-01,1.0771,,0.002992
1963-02-01,1.0776,,0.002994
1963-03-01,1.078,,0.002995
1963-04-01,1.0768,,0.002992
1963-05-01,1.0772,,0.002992
1963-06-01,1.0782,,0.002995
1963-07-01,1.0797,,0.002999
1963-08-01,1.0829,,0.003008
1963-09-01,1.0798,,0.003
1963-10-01,1.0779,,0.002994
1963-11-01,1.0776,,0.002993
1963-12-01,1.0793,,0.002998
1964-01-01,1.0802,,0.003001
1964-02-01,1.08,,0.003
1964-03-01,1.0805,,0.003002
1964-04-01,1.0809,,0.003003
1964-05-01,1.0809,,0.003003
1964-06-01,1.0809,,0.003003
1964-07-01,1.0812,,0.003004
1964-08-01,1.0787,,0.002996
1964-09-01,1.0761,,0.002989
1964-10-01,1.0753,,0.002987
1964-11-01,1.0739,,0.002983
1964-12-01,1.0746,,0.002985
1965-01-01,1.0738,,0.002983
1965-02-01,1.0758,,0.002988
1965-03-01,1.0811,,0.003003
1965-04-01,1.0792,,0.002998
1965-05-01,1.0795,,0.002999
1965-06-01,1.0823,,0.003007
1965-07-01,1.0835,,0.00301
1965-08-01,1.0784,,0.002995
1965-09-01,1.0764,,0.00299
1965-10-01,1.0751,,0.002986
1965-11-01,1.0749,,0.002986
1965-12-01,1.0758,,0.002989
1966-01-01,1.0746,,0.002989
1966-02-01,1.0763,,0.002984
1966-03-01,1.0762,,0.002973
1966-04-01,1.077,,0.002972
1966-05-01,1.0767,,0.002972
1966-06-01,1.0765,,0.00297
1966-07-01,1.0748,,0.002964
1966-08-01,1.0751,,0.002966
1966-09-01,1.0762,,0.002968
1966-10-01,1.0793,,0.002977
1966-11-01,1.082,,0.002985
1966-12-01,1.0831,,0.002988
1967-01-01,1.0795,,0.002978
1967-02-01,1.0806,,0.002981
1967-03-01,1.082,,0.002987
1967-04-01,1.0824,,0.002991
1967-05-01,1.0821,,0.002991
1967-06-01,1.0804,,0.002985
1967-07-01,1.0778,,0.002978
1967-08-01,1.0758,,0.00297
1967-09-01,1.0752,,0.00297
1967-10-01,1.0733,,0.002966
1967-11-01,1.0751,,0.002971
1967-12-01,1.0802,,0.002986
1968-01-01,1.0847,,0.002996
1968-02-01,1.0873,,0.003003
1968-03-01,1.0849,,0.002997
1968-04-01,1.0801,,0.002982
1968-05-01,1.0779,,0.002976
1968-06-01,1.0768,,0.002977
1968-07-01,1.0736,,0.002979
1968-08-01,1.0726,,0.002982
1968-09-01,1.073,,0.002988
1968-10-01,1.0727,,0.002993
1968-11-01,1.073,,0.002998
1968-12-01,1.0731,,0.002999
1969-01-01,1.0727,,0.002998
1969-02-01,1.0744,,0.003003
1969-03-01,1.0767,,0.003009
1969-04-01,1.0762,,0.003005
1969-05-01,1.077,,0.003005
1969-06-01,1.0795,,0.00301
1969-07-01,1.0806,,0.003006
1969-08-01,1.0781,,0.002999
1969-09-01,1.0782,,0.00301
1969-10-01,1.0779,,0.003009
1969-11-01,1.0758,,0.003008
1969-12-01,1.0742,,0.003003
1970-01-01,1.0728,,0.002999
1970-02-01,1.0731,,0.003
1970-03-01,1.0727,,0.003001
1970-04-01,1.0728,,0.002996
1970-05-01,1.0728,,0.00299
1970-06-01,1.0384,,0.002894
1970-07-01,1.032,,0.002872
1970-08-01,1.0214,,0.002851
1970-09-01,1.0159,,0.002838
1970-10-01,1.0214,,0.002855
1970-11-01,1.02,,0.002852
1970-12-01,1.0174,,0.002845
1971-01-01,1.0116,,0.002826
1971-02-01,1.0075,,0.002819
1971-03-01,1.0063,,0.002816
1971-04-01,1.0076,,0.002819
1971-05-01,1.0087,,0.002823
1971-06-01,1.0212,,0.002858
1971-07-01,1.0211,,0.002857
1971-08-01,1.0133,,0.002882
1971-09-01,1.0129,,0.003002
1971-10-01,1.0044,,0.003042
1971-11-01,1.0037,,0.003057
1971-12-01,0.9992,,0.003126
1972-01-01,1.0059,,0.003221
1972-02-01,1.0046,,0.003296
1972-03-01,0.9984,,0.003303
1972-04-01,0.9956,,0.003282
1972-05-01,0.9887,,0.00325
1972-06-01,0.9794,,0.003226
1972-07-01,0.9839,,0.00327
