date,employment,unemployment_rate,participation_rate,employment_rate,employment_change
1976-01-01,9636.7,7.1,61.5,57.2,
1976-02-01,9659.8,7.0,61.5,57.2,23.099999999998545
1976-03-01,9704.2,6.7,61.4,57.3,44.400000000001455
1976-04-01,9738.2,6.8,61.6,57.4,34.0
1976-05-01,9726.1,6.9,61.4,57.2,-12.100000000000364
1976-06-01,9748.3,6.9,61.4,57.2,22.19999999999891
1976-07-01,9759.5,7.4,61.7,57.1,11.200000000000728
1976-08-01,9780.5,7.1,61.5,57.1,21.0
1976-09-01,9795.2,7.0,61.4,57.1,14.700000000000728
1976-10-01,9782.5,7.4,61.5,56.9,-12.700000000000728
1976-11-01,9829.0,7.4,61.6,57.1,46.5
1976-12-01,9862.6,7.5,61.8,57.2,33.600000000000364
1977-01-01,9869.3,7.6,61.8,57.1,6.699999999998909
1977-02-01,9874.2,7.9,61.9,57.1,4.900000000001455
1977-03-01,9865.7,7.8,61.8,56.9,-8.5
1977-04-01,9892.6,7.9,61.9,57.0,26.899999999999636
1977-05-01,9912.0,7.8,61.8,57.0,19.399999999999636
1977-06-01,9906.9,7.8,61.7,56.9,-5.100000000000364
1977-07-01,9911.4,8.1,61.8,56.8,4.5
1977-08-01,9936.6,8.2,61.9,56.8,25.200000000000728
1977-09-01,9937.0,8.3,61.9,56.7,0.3999999999996362
1977-10-01,9962.1,8.4,62.0,56.8,25.100000000000364
1977-11-01,9976.3,8.5,62.1,56.8,14.199999999998909
1977-12-01,10002.3,8.5,62.1,56.9,26.0
1978-01-01,10013.0,8.3,62.0,56.8,10.700000000000728
1978-02-01,10067.5,8.3,62.2,57.0,54.5
1978-03-01,10100.3,8.5,62.5,57.1,32.79999999999927
1978-04-01,10128.7,8.4,62.5,57.2,28.400000000001455
1978-05-01,10146.7,8.6,62.6,57.2,18.0
1978-06-01,10207.6,8.4,62.7,57.5,60.899999999999636
1978-07-01,10255.0,8.3,62.9,57.6,47.399999999999636
1978-08-01,10287.5,8.4,63.0,57.7,32.5
1978-09-01,10305.5,8.4,63.0,57.7,18.0
1978-10-01,10368.8,8.2,63.2,58.0,63.29999999999927
1978-11-01,10387.2,8.3,63.3,58.0,18.400000000001455
1978-12-01,10428.3,8.3,63.4,58.2,41.099999999998545
1979-01-01,10483.1,8.2,63.6,58.4,54.80000000000109
1979-02-01,10490.0,8.0,63.4,58.3,6.899999999999636
1979-03-01,10535.9,7.9,63.5,58.5,45.899999999999636
1979-04-01,10560.8,8.0,63.6,58.5,24.899999999999636
1979-05-01,10611.4,7.6,63.5,58.7,50.600000000000364
1979-06-01,10645.4,7.4,63.5,58.8,34.0
