year,geo,partner,exports_millions,share_pct
1999,Alberta,All countries,34617.247,100.0
1999,Alberta,China,558.503,1.613
1999,Alberta,European Union (27 members),778.988,2.25
1999,Alberta,Japan,1327.599,3.835
1999,Alberta,Mexico,244.847,0.707
1999,Alberta,Other countries,2453.898,7.089
1999,Alberta,United Kingdom,179.403,0.518
1999,Alberta,United States,29074.008,83.987
1999,British Columbia,All countries,29113.406,100.0
1999,British Columbia,China,593.249,2.038
1999,British Columbia,European Union (27 members),1623.643,5.577
1999,British Columbia,Japan,4468.267,15.348
1999,British Columbia,Mexico,42.216,0.145
1999,British Columbia,Other countries,2696.112,9.261
1999,British Columbia,United Kingdom,319.221,1.096
1999,British Columbia,United States,19370.699,66.535
1999,Canada,All countries,331748.721,100.0
1999,Canada,China,2521.61,0.76
1999,Canada,European Union (27 members),11617.314,3.502
1999,Canada,Japan,8469.799,2.553
1999,Canada,Mexico,1506.956,0.454
1999,Canada,Other countries,16556.145,4.991
1999,Canada,United Kingdom,4515.642,1.361
1999,Canada,United States,286561.255,86.379
1999,Manitoba,All countries,8041.037,100.0
1999,Manitoba,China,161.013,2.002
1999,Manitoba,European Union (27 members),237.978,2.96
1999,Manitoba,Japan,378.272,4.704
1999,Manitoba,Mexico,105.544,1.313
1999,Manitoba,Other countries,592.947,7.374
1999,Manitoba,United Kingdom,68.325,0.85
1999,Manitoba,United States,6496.957,80.798
1999,New Brunswick,All countries,6085.649,100.0
1999,New Brunswick,China,7.856,0.129
1999,New Brunswick,European Union (27 members),281.199,4.621
1999,New Brunswick,Japan,195.624,3.215
1999,New Brunswick,Mexico,13.457,0.221
1999,New Brunswick,Other countries,419.508,6.893
1999,New Brunswick,United Kingdom,74.089,1.217
1999,New Brunswick,United States,5093.916,83.704
1999,Newfoundland and Labrador,All countries,2933.509,100.0
1999,Newfoundland and Labrador,China,82.248,2.804
1999,Newfoundland and Labrador,European Union (27 members),373.06,12.717
1999,Newfoundland and Labrador,Japan,91.37,3.115
1999,Newfoundland and Labrador,Mexico,2.41,0.082
1999,Newfoundland and Labrador,Other countries,246.108,8.39
1999,Newfoundland and Labrador,United Kingdom,168.252,5.736
1999,Newfoundland and Labrador,United States,1970.061,67.157
1999,Northwest Territories,All countries,556.092,100.0
1999,Northwest Territories,China,0.0,0.0
1999,Northwest Territories,European Union (27 members),522.229,93.911
1999,Northwest Territories,Japan,0.22,0.04
1999,Northwest Territories,Mexico,0.009,0.002
1999,Northwest Territories,Other countries,0.124,0.022
1999,Northwest Territories,United Kingdom,21.178,3.808
1999,Northwest Territories,United States,12.332,2.218
1999,Nova Scotia,All countries,3984.559,100.0
1999,Nova Scotia,China,17.442,0.438
1999,Nova Scotia,European Union (27 members),292.585,7.343
1999,Nova Scotia,Japan,182.032,4.568
1999,Nova Scotia,Mexico,17.242,0.433
1999,Nova Scotia,Other countries,276.668,6.944
1999,Nova Scotia,United Kingdom,116.565,2.925
1999,Nova Scotia,United States,3082.026,77.349
1999,Nunavut,All countries,304.14,100.0
1999,Nunavut,China,0.0,0.0
1999,Nunavut,European Union (27 members),270.081,88.801
1999,Nunavut,Japan,0.055,0.018
1999,Nunavut,Mexico,0.097,0.032
1999,Nunavut,Other countries,33.132,10.894
1999,Nunavut,United Kingdom,0.014,0.005
1999,Nunavut,United States,0.76,0.25
1999,Ontario,All countries,176007.196,100.0
1999,Ontario,China,356.383,0.202
1999,Ontario,European Union (27 members),2917.235,1.657
1999,Ontario,Japan,748.024,0.425
1999,Ontario,Mexico,719.336,0.409
1999,Ontario,Other countries,4639.923,2.636
1999,Ontario,United Kingdom,2136.41,1.214
1999,Ontario,United States,164489.885,93.456
1999,Prince Edward Island,All countries,566.415,100.0
1999,Prince Edward Island,China,0.325,0.057
1999,Prince Edward Island,European Union (27 members),27.914,4.928
1999,Prince Edward Island,Japan,8.822,1.558
1999,Prince Edward Island,Mexico,0.553,0.098
1999,Prince Edward Island,Other countries,44.564,7.868
1999,Prince Edward Island,United Kingdom,3.458,0.611
1999,Prince Edward Island,United States,480.778,84.881
1999,Quebec,All countries,59761.224,100.0
1999,Quebec,China,172.53,0.289
1999,Quebec,European Union (27 members),3768.871,6.307
1999,Quebec,Japan,428.052,0.716
1999,Quebec,Mexico,156.088,0.261
1999,Quebec,Other countries,2984.075,4.993
1999,Quebec,United Kingdom,1365.18,2.284
1999,Quebec,United States,50886.428,85.15
1999,Saskatchewan,All countries,9763.199,100.0
1999,Saskatchewan,China,572.061,5.859
1999,Saskatchewan,European Union (27 members),523.53,5.362
1999,Saskatchewan,Japan,641.46,6.57
1999,Saskatchewan,Mexico,205.158,2.101
1999,Saskatchewan,Other countries,2169.03,22.216
1999,Saskatchewan,United Kingdom,63.547,0.651
1999,Saskatchewan,United States,5588.413,57.24
1999,Yukon,All countries,15.048,100.0
1999,Yukon,China,0.0,0.0
1999,Yukon,European Union (27 members),0.0,0.0
1999,Yukon,Japan,0.0,0.0
1999,Yukon,Mexico,0.0,0.0
1999,Yukon,Other countries,0.054,0.362
1999,Yukon,United Kingdom,0.0,0.0
1999,Yukon,United States,14.994,99.638
2000,Alberta,All countries,55340.827,100.0
2000,Alberta,China,776.507,1.403
2000,Alberta,European Union (27 members),885.853,1.601
2000,Alberta,Japan,1349.487,2.439
2000,Alberta,Mexico,352.633,0.637
2000,Alberta,Other countries,3047.593,5.507
2000,Alberta,United Kingdom,198.467,0.359
2000,Alberta,United States,48730.286,88.055
2000,British Columbia,All countries,33752.317,100.0
2000,British Columbia,China,740.745,2.195
2000,British Columbia,European Union (27 members),2216.902,6.568
2000,British Columbia,Japan,4890.837,14.49
2000,British Columbia,Mexico,57.686,0.171
2000,British Columbia,Other countries,3267.328,9.68
2000,British Columbia,United Kingdom,381.257,1.13
2000,British Columbia,United States,22197.562,65.766
2000,Canada,All countries,385678.768,100.0
2000,Canada,China,3293.517,0.854
2000,Canada,European Union (27 members),13391.382,3.472
2000,Canada,Japan,9170.732,2.378
2000,Canada,Mexico,1930.987,0.501
2000,Canada,Other countries,18333.677,4.754
2000,Canada,United Kingdom,5412.72,1.403
2000,Canada,United States,334145.754,86.638
2000,Manitoba,All countries,9577.885,100.0
2000,Manitoba,China,108.476,1.133
2000,Manitoba,European Union (27 members),277.06,2.893
2000,Manitoba,Japan,370.34,3.867
2000,Manitoba,Mexico,124.805,1.303
2000,Manitoba,Other countries,763.449,7.971
2000,Manitoba,United Kingdom,61.336,0.64
2000,Manitoba,United States,7872.42,82.194
2000,New Brunswick,All countries,7402.616,100.0
2000,New Brunswick,China,12.115,0.164
2000,New Brunswick,European Union (27 members),311.933,4.214
2000,New Brunswick,Japan,230.72,3.117
2000,New Brunswick,Mexico,17.565,0.237
2000,New Brunswick,Other countries,321.617,4.345
2000,New Brunswick,United Kingdom,97.573,1.318
2000,New Brunswick,United States,6411.093,86.606
2000,Newfoundland and Labrador,All countries,3892.18,100.0
2000,Newfoundland and Labrador,China,92.839,2.385
2000,Newfoundland and Labrador,European Union (27 members),455.165,11.694
2000,Newfoundland and Labrador,Japan,66.646,1.712
2000,Newfoundland and Labrador,Mexico,3.064,0.079
2000,Newfoundland and Labrador,Other countries,301.622,7.749
2000,Newfoundland and Labrador,United Kingdom,127.477,3.275
2000,Newfoundland and Labrador,United States,2845.367,73.105
2000,Northwest Territories,All countries,661.776,100.0
2000,Northwest Territories,China,0.0,0.0
2000,Northwest Territories,European Union (27 members),470.987,71.17
2000,Northwest Territories,Japan,0.158,0.024
2000,Northwest Territories,Mexico,0.0,0.0
2000,Northwest Territories,Other countries,0.684,0.103
2000,Northwest Territories,United Kingdom,182.747,27.615
2000,Northwest Territories,United States,7.2,1.088
2000,Nova Scotia,All countries,5131.808,100.0
2000,Nova Scotia,China,28.179,0.549
2000,Nova Scotia,European Union (27 members),286.826,5.589
2000,Nova Scotia,Japan,179.772,3.503
2000,Nova Scotia,Mexico,24.456,0.477
2000,Nova Scotia,Other countries,324.793,6.329
2000,Nova Scotia,United Kingdom,93.53,1.823
2000,Nova Scotia,United States,4194.252,81.73
2000,Nunavut,All countries,273.582,100.0
2000,Nunavut,China,0.0,0.0
2000,Nunavut,European Union (27 members),237.243,86.717
2000,Nunavut,Japan,0.01,0.004
2000,Nunavut,Mexico,0.0,0.0
2000,Nunavut,Other countries,35.541,12.991
2000,Nunavut,United Kingdom,0.002,0.001
2000,Nunavut,United States,0.786,0.287
2000,Ontario,All countries,185079.332,100.0
2000,Ontario,China,485.7,0.262
2000,Ontario,European Union (27 members),3645.67,1.97
2000,Ontario,Japan,811.086,0.438
2000,Ontario,Mexico,874.339,0.472
2000,Ontario,Other countries,4606.756,2.489
2000,Ontario,United Kingdom,2187.866,1.182
2000,Ontario,United States,172467.916,93.186
2000,Prince Edward Island,All countries,683.052,100.0
2000,Prince Edward Island,China,0.265,0.039
2000,Prince Edward Island,European Union (27 members),25.6,3.748
2000,Prince Edward Island,Japan,5.598,0.819
2000,Prince Edward Island,Mexico,1.259,0.184
2000,Prince Edward Island,Other countries,34.253,5.015
2000,Prince Edward Island,United Kingdom,2.029,0.297
2000,Prince Edward Island,United States,614.048,89.898
2000,Quebec,All countries,71302.546,100.0
2000,Quebec,China,317.205,0.445
2000,Quebec,European Union (27 members),4020.815,5.639
2000,Quebec,Japan,618.773,0.868
2000,Quebec,Mexico,244.432,0.343
2000,Quebec,Other countries,2940.792,4.124
2000,Quebec,United Kingdom,2020.44,2.834
2000,Quebec,United States,61140.09,85.747
2000,Saskatchewan,All countries,12562.256,100.0
2000,Saskatchewan,China,731.423,5.822
2000,Saskatchewan,European Union (27 members),557.306,4.436
2000,Saskatchewan,Japan,647.305,5.153
2000,Saskatchewan,Mexico,230.748,1.837
2000,Saskatchewan,Other countries,2689.202,21.407
2000,Saskatchewan,United Kingdom,59.996,0.478
2000,Saskatchewan,United States,7646.277,60.867
2000,Yukon,All countries,18.591,100.0
2000,Yukon,China,0.064,0.345
2000,Yukon,European Union (27 members),0.024,0.126
2000,Yukon,Japan,0.0,0.0
2000,Yukon,Mexico,0.0,0.0
2000,Yukon,Other countries,0.046,0.247
2000,Yukon,United Kingdom,0.0,0.0
2000,Yukon,United States,18.457,99.281
2001,Alberta,All countries,56897.177,100.0
2001,Alberta,China,873.037,1.534
2001,Alberta,European Union (27 members),778.387,1.368
2001,Alberta,Japan,1281.488,2.252
2001,Alberta,Mexico,477.189,0.839
2001,Alberta,Other countries,2678.684,4.708
2001,Alberta,United Kingdom,175.547,0.309
2001,Alberta,United States,50632.846,88.99
2001,British Columbia,All countries,31814.228,100.0
2001,British Columbia,China,768.21,2.415
2001,British Columbia,European Union (27 members),1789.193,5.624
2001,British Columbia,Japan,4067.636,12.786
2001,British Columbia,Mexico,83.252,0.262
2001,British Columbia,Other countries,2640.15,8.299
2001,British Columbia,United Kingdom,355.05,1.116
2001,British Columbia,United States,22110.738,69.5
2001,Canada,All countries,375230.158,100.0
2001,Canada,China,3978.489,1.06
2001,Canada,European Union (27 members),13094.263,3.49
2001,Canada,Japan,8270.677,2.204
2001,Canada,Mexico,2646.59,0.705
2001,Canada,Other countries,17125.326,4.564
2001,Canada,United Kingdom,4754.458,1.267
2001,Canada,United States,325360.355,86.71
2001,Manitoba,All countries,9576.378,100.0
2001,Manitoba,China,167.916,1.753
2001,Manitoba,European Union (27 members),317.161,3.312
2001,Manitoba,Japan,454.656,4.748
2001,Manitoba,Mexico,177.312,1.852
2001,Manitoba,Other countries,885.433,9.246
2001,Manitoba,United Kingdom,56.134,0.586
2001,Manitoba,United States,7517.765,78.503
2001,New Brunswick,All countries,8270.769,100.0
2001,New Brunswick,China,20.636,0.25
2001,New Brunswick,European Union (27 members),265.93,3.215
2001,New Brunswick,Japan,174.568,2.111
2001,New Brunswick,Mexico,14.237,0.172
2001,New Brunswick,Other countries,359.99,4.353
2001,New Brunswick,United Kingdom,80.315,0.971
2001,New Brunswick,United States,7355.092,88.929
2001,Newfoundland and Labrador,All countries,3463.902,100.0
2001,Newfoundland and Labrador,China,91.773,2.649
2001,Newfoundland and Labrador,European Union (27 members),644.001,18.592
2001,Newfoundland and Labrador,Japan,45.656,1.318
2001,Newfoundland and Labrador,Mexico,1.866,0.054
2001,Newfoundland and Labrador,Other countries,327.892,9.466
2001,Newfoundland and Labrador,United Kingdom,117.548,3.394
2001,Newfoundland and Labrador,United States,2235.166,64.527
2001,Northwest Territories,All countries,769.352,100.0
2001,Northwest Territories,China,0.0,0.0
2001,Northwest Territories,European Union (27 members),548.067,71.237
2001,Northwest Territories,Japan,0.021,0.003
