year,geo,partner,section,exports_millions,share_of_partner_exports_pct
2025,Alberta,China,Aircraft and other transportation equipment and parts,1.016,0.01
2025,Alberta,China,"Basic and industrial chemical, plastic and rubber products",1245.944,12.224
2025,Alberta,China,Consumer goods,92.381,0.906
2025,Alberta,China,Electronic and electrical equipment and parts,44.477,0.436
2025,Alberta,China,Energy products,6575.987,64.517
2025,Alberta,China,"Farm, fishing and intermediate food products",1308.969,12.842
2025,Alberta,China,Forestry products and building and packaging materials,579.234,5.683
2025,Alberta,China,"Industrial machinery, equipment and parts",32.302,0.317
2025,Alberta,China,Metal and non-metallic mineral products,65.925,0.647
2025,Alberta,China,Metal ores and non-metallic minerals,244.812,2.402
2025,Alberta,China,Motor vehicles and parts,1.57,0.015
2025,Alberta,China,Special transactions trade,0.051,0.0
2025,Alberta,European Union (27 members),Aircraft and other transportation equipment and parts,137.412,6.891
2025,Alberta,European Union (27 members),"Basic and industrial chemical, plastic and rubber products",138.055,6.924
2025,Alberta,European Union (27 members),Consumer goods,41.743,2.093
2025,Alberta,European Union (27 members),Electronic and electrical equipment and parts,110.414,5.537
2025,Alberta,European Union (27 members),Energy products,122.002,6.119
2025,Alberta,European Union (27 members),"Farm, fishing and intermediate food products",1014.876,50.898
2025,Alberta,European Union (27 members),Forestry products and building and packaging materials,4.418,0.222
2025,Alberta,European Union (27 members),"Industrial machinery, equipment and parts",63.545,3.187
2025,Alberta,European Union (27 members),Metal and non-metallic mineral products,334.687,16.785
2025,Alberta,European Union (27 members),Metal ores and non-metallic minerals,3.341,0.168
2025,Alberta,European Union (27 members),Motor vehicles and parts,14.863,0.745
2025,Alberta,European Union (27 members),Special transactions trade,8.6,0.431
2025,Alberta,United Kingdom,Aircraft and other transportation equipment and parts,8.776,4.568
2025,Alberta,United Kingdom,"Basic and industrial chemical, plastic and rubber products",11.8,6.141
2025,Alberta,United Kingdom,Consumer goods,3.587,1.867
2025,Alberta,United Kingdom,Electronic and electrical equipment and parts,27.446,14.285
2025,Alberta,United Kingdom,Energy products,0.008,0.004
