date,exports_uk,gold_uk,exports_total,gold_total
1997-01-01,295.34,0.267,23909.193,346.548
1997-02-01,311.128,0.369,23303.215,219.409
1997-03-01,364.631,0.424,25280.025,448.238
1997-04-01,377.612,0.454,25360.349,255.258
1997-05-01,349.417,0.529,25427.447,301.491
1997-06-01,302.972,0.469,24652.248,252.375
1997-07-01,287.657,0.679,22577.219,307.806
1997-08-01,273.286,0.823,24199.901,210.964
1997-09-01,296.38,1.592,25563.477,304.783
1997-10-01,339.21,0.916,26379.607,210.056
1997-11-01,350.868,0.574,25606.362,368.953
1997-12-01,319.906,1.222,25803.7,220.319
1998-01-01,306.379,7.636,23994.958,257.701
1998-02-01,347.982,10.262,24941.694,267.434
1998-03-01,387.011,22.395,27270.187,395.694
1998-04-01,354.396,6.743,26804.316,200.787
1998-05-01,409.14,1.868,26480.922,302.244
1998-06-01,348.638,13.386,26227.432,372.033
1998-07-01,376.452,0.0,23230.106,235.798
1998-08-01,341.597,0.838,26281.228,218.224
1998-09-01,352.55,0.815,28023.059,255.972
1998-10-01,432.656,5.75,29383.992,270.204
1998-11-01,378.095,0.794,28350.529,216.022
1998-12-01,377.583,2.05,27423.746,194.004
1999-01-01,377.391,8.98,26571.187,242.479
1999-02-01,328.947,0.849,27558.833,215.346
1999-03-01,390.849,5.528,30916.133,266.426
1999-04-01,371.292,0.991,28711.401,175.277
1999-05-01,350.948,0.0,28836.959,253.373
1999-06-01,399.37,5.454,30404.288,183.58
1999-07-01,374.45,0.0,26451.943,213.778
1999-08-01,339.977,0.908,30466.958,217.472
1999-09-01,408.736,0.0,30781.364,226.547
1999-10-01,509.069,1.146,31622.472,207.497
1999-11-01,509.476,0.0,32478.562,228.786
1999-12-01,467.086,4.973,30616.824,176.442
2000-01-01,434.689,1.473,30628.91,216.015
2000-02-01,448.651,0.002,31646.139,129.416
2000-03-01,505.59,0.317,36362.027,301.472
2000-04-01,458.334,0.0,32441.19,187.947
2000-05-01,527.531,0.0,35971.681,228.08
2000-06-01,482.382,1.723,36303.864,178.782
2000-07-01,441.661,0.303,30600.823,244.485
2000-08-01,482.387,0.075,35254.017,224.008
2000-09-01,434.799,0.0,34719.724,247.132
2000-10-01,537.112,0.781,37105.79,274.002
2000-11-01,501.19,0.605,36968.547,218.35
2000-12-01,492.474,0.0,35211.028,235.661
2001-01-01,437.72,19.28,37237.671,209.015
2001-02-01,399.719,0.286,33239.973,207.767
2001-03-01,602.389,22.449,37703.112,263.925
2001-04-01,411.733,35.929,35103.945,210.03
2001-05-01,416.852,16.482,36610.805,162.533
2001-06-01,441.449,16.549,34592.443,220.036
2001-07-01,422.316,38.678,29605.683,234.692
2001-08-01,379.164,5.028,32944.884,236.639
2001-09-01,377.118,33.026,31155.898,238.879
2001-10-01,393.005,0.0,33190.165,232.207
2001-11-01,434.691,0.0,33712.467,242.35
2001-12-01,342.714,8.437,28986.642,136.113
2002-01-01,376.297,25.925,31076.315,222.674
2002-02-01,365.977,21.218,31047.795,209.547
2002-03-01,398.704,53.678,33231.067,331.45
2002-04-01,390.042,0.0,34379.364,271.611
2002-05-01,396.868,34.383,34858.014,384.681
2002-06-01,393.879,0.0,32422.954,270.219
2002-07-01,379.19,0.0,30196.341,242.153
2002-08-01,286.613,0.0,33685.964,239.452
2002-09-01,342.501,4.312,33635.184,198.994
2002-10-01,354.105,4.183,36350.015,278.001
2002-11-01,425.672,4.263,34206.701,206.948
2002-12-01,320.961,4.346,31290.848,143.262
2003-01-01,504.719,0.0,33047.595,181.389
2003-02-01,503.072,51.654,31445.551,269.166
2003-03-01,548.31,78.894,35763.337,246.561
2003-04-01,375.79,0.0,32687.561,172.969
2003-05-01,623.903,135.62,31987.798,280.131
2003-06-01,447.04,66.976,30825.618,321.193
2003-07-01,462.883,33.853,28989.985,220.286
2003-08-01,456.371,54.825,29972.77,202.594
2003-09-01,371.57,4.357,32244.096,228.96
2003-10-01,585.03,73.756,33002.743,362.177
2003-11-01,654.921,97.218,30858.239,306.33
2003-12-01,555.911,36.189,30342.235,184.049
2004-01-01,632.314,116.091,29828.447,389.099
2004-02-01,570.9,17.732,31524.013,257.543
2004-03-01,576.666,113.486,36306.976,319.807
2004-04-01,591.84,40.891,35219.146,296.573
2004-05-01,479.772,23.611,36097.266,260.498
2004-06-01,724.749,81.444,38940.603,279.534
2004-07-01,778.218,136.377,32768.18,337.54
2004-08-01,685.471,85.195,35658.179,266.84
2004-09-01,707.054,170.365,34460.355,351.48
2004-10-01,694.486,134.555,34696.161,339.032
2004-11-01,692.569,195.556,34033.587,334.855
2004-12-01,602.71,161.773,32751.223,380.127
2005-01-01,705.933,210.882,33014.009,382.894
2005-02-01,720.957,176.019,32922.019,337.611
2005-03-01,675.495,155.931,36252.888,372.755
2005-04-01,607.502,142.752,35889.189,343.631
2005-05-01,630.503,131.888,36777.271,417.301
2005-06-01,624.046,107.178,37124.099,357.499
2005-07-01,735.126,230.384,32579.787,450.373
2005-08-01,731.115,160.702,37582.94,375.128
2005-09-01,598.841,99.471,37833.056,363.645
2005-10-01,704.933,171.354,39878.657,367.213
2005-11-01,762.203,165.449,38629.916,379.616
2005-12-01,758.421,185.557,37863.039,374.205
2006-01-01,914.328,323.077,37130.764,591.234
2006-02-01,726.634,205.266,34401.451,397.407
2006-03-01,852.768,265.548,38866.183,474.15
2006-04-01,642.374,163.631,35605.4,362.626
2006-05-01,994.219,325.665,37345.886,583.797
2006-06-01,889.901,291.055,38035.643,521.209
2006-07-01,703.255,247.342,33942.727,548.207
2006-08-01,889.165,267.221,37388.737,468.049
2006-09-01,845.365,294.082,36235.235,677.171
2006-10-01,787.803,132.331,37028.808,405.248
2006-11-01,1073.055,338.582,37508.801,495.403
2006-12-01,818.092,250.46,36872.067,511.867
2007-01-01,1105.631,344.164,38223.039,608.237
2007-02-01,1016.643,297.978,35865.741,446.423
2007-03-01,1064.941,282.748,41532.819,617.567
2007-04-01,1228.852,216.732,39443.122,551.393
2007-05-01,1278.782,211.423,39841.749,535.161
2007-06-01,1375.39,103.691,39381.634,432.974
2007-07-01,1009.512,166.401,35018.578,639.752
2007-08-01,951.78,166.977,37658.882,464.786
2007-09-01,770.899,191.957,35527.653,576.598
2007-10-01,984.338,311.642,37281.831,580.916
2007-11-01,1172.649,443.447,36821.264,679.513
2007-12-01,829.095,246.867,33723.226,398.9
2008-01-01,1235.289,458.042,36509.846,872.189
2008-02-01,1161.944,542.774,36658.652,907.484
2008-03-01,969.143,328.091,39654.68,795.927
2008-04-01,1022.563,280.774,41340.212,612.715
2008-05-01,1316.294,500.133,41851.283,884.018
