date,exports_total,exports_energy,imports_total,imports_energy,balance_total,balance_energy,balance_ex_energy
1997-01-01,19494959.0,2997932.0,15259464.0,170178.0,4235495.0,2827754.0,1407741.0
1997-02-01,19273658.0,2306859.0,15821572.0,167661.0,3452086.0,2139198.0,1312888.0
1997-03-01,20344930.0,2062856.0,17156845.0,128304.0,3188085.0,1934552.0,1253533.0
1997-04-01,20724872.0,1928870.0,17949876.0,150926.0,2774996.0,1777944.0,997052.0
1997-05-01,20842199.0,1931806.0,17591822.0,214345.0,3250377.0,1717461.0,1532916.0
1997-06-01,20202458.0,1989612.0,17834501.0,222929.0,2367957.0,1766683.0,601274.0
1997-07-01,18038214.0,1914305.0,15016836.0,207115.0,3021378.0,1707190.0,1314188.0
1997-08-01,19831415.0,2212965.0,16772727.0,242185.0,3058688.0,1970780.0,1087908.0
1997-09-01,21177917.0,2064347.0,18249066.0,297174.0,2928851.0,1767173.0,1161678.0
1997-10-01,21783755.0,2248926.0,19166326.0,277691.0,2617429.0,1971235.0,646194.0
1997-11-01,20994181.0,2339579.0,17884206.0,183647.0,3109975.0,2155932.0,954043.0
1997-12-01,21179649.0,2429652.0,17400935.0,244710.0,3778714.0,2184942.0,1593772.0
1998-01-01,20025430.0,2265273.0,17201174.0,284366.0,2824256.0,1980907.0,843349.0
1998-02-01,20985381.0,1940026.0,18247740.0,249306.0,2737641.0,1690720.0,1046921.0
1998-03-01,22864885.0,1820198.0,20325750.0,225647.0,2539135.0,1594551.0,944584.0
1998-04-01,22475354.0,1782695.0,19595009.0,269364.0,2880345.0,1513331.0,1367014.0
1998-05-01,22305011.0,1848408.0,19226304.0,275874.0,3078707.0,1572534.0,1506173.0
1998-06-01,22094766.0,1900640.0,19380253.0,245273.0,2714513.0,1655367.0,1059146.0
1998-07-01,19287376.0,1945730.0,15385515.0,246363.0,3901861.0,1699367.0,2202494.0
1998-08-01,22656271.0,2040004.0,18325762.0,298025.0,4330509.0,1741979.0,2588530.0
1998-09-01,24074685.0,1757876.0,19876889.0,314120.0,4197796.0,1443756.0,2754040.0
1998-10-01,25358031.0,1958146.0,21337073.0,298171.0,4020958.0,1659975.0,2360983.0
1998-11-01,24362484.0,1844441.0,20558467.0,265037.0,3804017.0,1579404.0,2224613.0
1998-12-01,23415710.0,1977160.0,19233592.0,227132.0,4182118.0,1750028.0,2432090.0
1999-01-01,23055377.0,1927431.0,18172053.0,211258.0,4883324.0,1716173.0,3167151.0
1999-02-01,23886228.0,1602492.0,19256253.0,160864.0,4629975.0,1441628.0,3188347.0
1999-03-01,27028740.0,1720372.0,22418509.0,181006.0,4610231.0,1539366.0,3070865.0
1999-04-01,25087379.0,1782171.0,20713132.0,227501.0,4374247.0,1554670.0,2819577.0
1999-05-01,24936508.0,2097995.0,20371134.0,218206.0,4565374.0,1879789.0,2685585.0
1999-06-01,26241404.0,2191013.0,21096262.0,239426.0,5145142.0,1951587.0,3193555.0
1999-07-01,22803709.0,2396055.0,16878660.0,196425.0,5925049.0,2199630.0,3725419.0
1999-08-01,26887425.0,2580849.0,20312559.0,241474.0,6574866.0,2339375.0,4235491.0
1999-09-01,26695919.0,2659142.0,20980778.0,257413.0,5715141.0,2401729.0,3313412.0
1999-10-01,27411611.0,2763946.0,21600964.0,210316.0,5810647.0,2553630.0,3257017.0
1999-11-01,27913921.0,2828635.0,21824487.0,293018.0,6089434.0,2535617.0,3553817.0
1999-12-01,26128095.0,2805659.0,20180962.0,272200.0,5947133.0,2533459.0,3413674.0
2000-01-01,26664865.0,3128285.0,19418280.0,216522.0,7246585.0,2911763.0,4334822.0
2000-02-01,27470665.0,3363337.0,21359681.0,144149.0,6110984.0,3219188.0,2891796.0
2000-03-01,31592451.0,3438630.0,24498838.0,273525.0,7093613.0,3165105.0,3928508.0
2000-04-01,28396153.0,3352718.0,21412385.0,197185.0,6983768.0,3155533.0,3828235.0
2000-05-01,31081042.0,3727440.0,23312541.0,309800.0,7768501.0,3417640.0,4350861.0
2000-06-01,31436186.0,4279033.0,23348245.0,215850.0,8087941.0,4063183.0,4024758.0
2000-07-01,26218963.0,4302414.0,17669347.0,248862.0,8549616.0,4053552.0,4496064.0
2000-08-01,30814999.0,4511615.0,22370300.0,273551.0,8444699.0,4238064.0,4206635.0
2000-09-01,30273800.0,4282919.0,21740961.0,267183.0,8532839.0,4015736.0,4517103.0
2000-10-01,32575579.0,4718060.0,23460803.0,340428.0,9114776.0,4377632.0,4737144.0
2000-11-01,32336772.0,4939183.0,23073404.0,371780.0,9263368.0,4567403.0,4695965.0
2000-12-01,30427289.0,7106101.0,20102674.0,443124.0,10324615.0,6662977.0,3661638.0
2001-01-01,32793128.0,8089118.0,20225438.0,412981.0,12567690.0,7676137.0,4891553.0
2001-02-01,29304791.0,5850156.0,20013331.0,581139.0,9291460.0,5269017.0,4022443.0
2001-03-01,32641958.0,5366741.0,23834958.0,494868.0,8807000.0,4871873.0,3935127.0
2001-04-01,30695009.0,5248075.0,22090326.0,523933.0,8604683.0,4724142.0,3880541.0
2001-05-01,31774194.0,5084596.0,22894538.0,545823.0,8879656.0,4538773.0,4340883.0
2001-06-01,30104498.0,4103299.0,22605278.0,373419.0,7499220.0,3729880.0,3769340.0
2001-07-01,25433381.0,3790990.0,17628342.0,278251.0,7805039.0,3512739.0,4292300.0
2001-08-01,29033512.0,4015841.0,20831174.0,408662.0,8202338.0,3607179.0,4595159.0
2001-09-01,27409957.0,3280055.0,19159293.0,284340.0,8250664.0,2995715.0,5254949.0
2001-10-01,28892005.0,3145482.0,21479250.0,267011.0,7412755.0,2878471.0,4534284.0
2001-11-01,28765100.0,3411701.0,20730265.0,271174.0,8034835.0,3140527.0,4894308.0
2001-12-01,24903944.0,3065233.0,17591725.0,218100.0,7312219.0,2847133.0,4465086.0
2002-01-01,27400087.0,3251621.0,19021324.0,346893.0,8378763.0,2904728.0,5474035.0
2002-02-01,27078728.0,2675195.0,19458144.0,133964.0,7620584.0,2541231.0,5079353.0
2002-03-01,29072831.0,3150853.0,21822879.0,192094.0,7249952.0,2958759.0,4291193.0
2002-04-01,30220792.0,3815058.0,21991208.0,284272.0,8229584.0,3530786.0,4698798.0
2002-05-01,30497671.0,3883910.0,22268812.0,331640.0,8228859.0,3552270.0,4676589.0
2002-06-01,27953006.0,3566989.0,21452020.0,299787.0,6500986.0,3267202.0,3233784.0
2002-07-01,26086774.0,3820684.0,17676016.0,337309.0,8410758.0,3483375.0,4927383.0
2002-08-01,29559784.0,3807622.0,21532435.0,390504.0,8027349.0,3417118.0,4610231.0
2002-09-01,29645618.0,4054492.0,20690722.0,257853.0,8954896.0,3796639.0,5158257.0
2002-10-01,31591306.0,4570363.0,22849435.0,315653.0,8741871.0,4254710.0,4487161.0
2002-11-01,29596354.0,4668332.0,21533329.0,403822.0,8063025.0,4264510.0,3798515.0
2002-12-01,26663401.0,4940018.0,18671498.0,275818.0,7991903.0,4664200.0,3327703.0
2003-01-01,28614678.0,5570569.0,19543916.0,352689.0,9070762.0,5217880.0,3852882.0
2003-02-01,27300469.0,5041321.0,19834960.0,563892.0,7465509.0,4477429.0,2988080.0
2003-03-01,31009056.0,6679817.0,22022488.0,420736.0,8986568.0,6259081.0,2727487.0
2003-04-01,28227828.0,4721514.0,21011771.0,401327.0,7216057.0,4320187.0,2895870.0
2003-05-01,27277635.0,4335749.0,21139580.0,797120.0,6138055.0,3538629.0,2599426.0
2003-06-01,26446496.0,4289265.0,19912779.0,438797.0,6533717.0,3850468.0,2683249.0
2003-07-01,24885631.0,4998954.0,16327447.0,412028.0,8558184.0,4586926.0,3971258.0
2003-08-01,25908612.0,4747259.0,17911681.0,416356.0,7996931.0,4330903.0,3666028.0
2003-09-01,27811573.0,4132866.0,19474317.0,364022.0,8337256.0,3768844.0,4568412.0
2003-10-01,28020928.0,4351887.0,20263552.0,375691.0,7757376.0,3976196.0,3781180.0
2003-11-01,25938276.0,4099982.0,18909332.0,337833.0,7028944.0,3762149.0,3266795.0
2003-12-01,25358903.0,4598805.0,17877501.0,543025.0,7481402.0,4055780.0,3425622.0
2004-01-01,25484766.0,5501395.0,17044029.0,443603.0,8440737.0,5057792.0,3382945.0
2004-02-01,26790771.0,4755945.0,19014030.0,478122.0,7776741.0,4277823.0,3498918.0
2004-03-01,30988551.0,4966282.0,22534064.0,555602.0,8454487.0,4410680.0,4043807.0
2004-04-01,29955665.0,4674996.0,21167093.0,597175.0,8788572.0,4077821.0,4710751.0
2004-05-01,30495581.0,4950343.0,22170120.0,616573.0,8325461.0,4333770.0,3991691.0
2004-06-01,32841064.0,6003966.0,21976256.0,603430.0,10864808.0,5400536.0,5464272.0
2004-07-01,27319910.0,5596507.0,18038699.0,757454.0,9281211.0,4839053.0,4442158.0
2004-08-01,30183356.0,5693927.0,20791532.0,470061.0,9391824.0,5223866.0,4167958.0
2004-09-01,29164564.0,4865453.0,21086379.0,509978.0,8078185.0,4355475.0,3722710.0
2004-10-01,29130146.0,5047614.0,20871012.0,570271.0,8259134.0,4477343.0,3781791.0
2004-11-01,28536726.0,5942194.0,19792196.0,592836.0,8744530.0,5349358.0,3395172.0
2004-12-01,27253016.0,6064685.0,19340653.0,794618.0,7912363.0,5270067.0,2642296.0
2005-01-01,27881137.0,6086772.0,18731159.0,871528.0,9149978.0,5215244.0,3934734.0
