year,goods_exports,goods_imports,goods_balance,services_balance,services_exports,services_imports,total_balance
1997,242257.4,211526.3,30731.100000000006,-7532.0,24041.0,31573.0,23199.100000000006
1998,269091.7,233727.3,35364.40000000002,-5302.0,28644.0,33946.0,30062.400000000023
1999,308631.0,249425.0,59206.0,-5101.0,32190.0,37291.0,54105.0
2000,358406.1,266405.6,92000.5,-4483.0,36754.0,41236.0,87517.5
2001,351384.0,254082.7,97301.29999999999,-3758.0,36794.0,40551.0,93543.29999999999
2002,346299.2,255035.1,91264.1,-3233.0,38793.0,42025.0,88031.1
2003,328344.1,240231.8,88112.29999999999,-4930.0,38201.0,43131.0,83182.29999999999
2004,349915.6,250029.2,99886.39999999997,-4190.0,40852.0,45042.0,95696.39999999997
2005,367719.0,259278.6,108440.4,-4075.0,43139.0,47214.0,104365.4
2006,360788.6,265306.6,95482.0,-6420.0,42156.0,48576.0,89062.0
2007,355203.2,270173.10000000003,85030.09999999998,-8057.0,43335.0,51392.0,76973.09999999998
2008,369594.0,281608.5,87985.5,-10137.0,45877.0,56013.0,77848.5
2009,270770.5,236304.1,34466.399999999994,-11632.0,44153.0,55785.0,22834.399999999994
2010,295777.0,260101.9,35675.100000000006,-15261.0,43835.0,59095.0,20414.100000000006
2011,329995.8,281511.8,48484.0,-15275.0,46826.0,62101.0,33209.0
2012,337443.7,296213.9,41229.79999999999,-14863.0,50725.0,65588.0,26366.79999999999
2013,358328.7,313516.0,44812.70000000001,-15851.0,52735.0,68586.0,28961.70000000001
2014,402241.89999999997,351276.5,50965.399999999965,-14958.0,55433.0,70391.0,36007.399999999965
2015,397447.4,363706.5,33740.90000000002,-13861.0,59633.0,73494.0,19879.900000000023
2016,392835.9,359768.5,33067.40000000002,-12030.0,63835.0,75866.0,21037.400000000023
2017,411064.4,371727.4,39337.0,-11498.0,67753.0,79251.0,27839.0
2018,434248.3,391512.2,42736.09999999998,-11799.0,74164.0,85963.0,30937.099999999977
2019,445856.1,392413.1,53443.0,-10499.0,81679.0,92179.0,42944.0
2020,375385.5,350891.8,24493.70000000001,-9009.0,72124.0,81133.0,15484.700000000012
2021,477510.0,395278.5,82231.5,-2402.0,86606.0,89008.0,79829.5
2022,593636.6,475541.2,118095.39999999997,-11322.0,99986.0,111308.0,106773.39999999997
2023,592318.1,484700.7,107617.39999999997,-10193.0,115718.0,125911.0,97424.39999999997
2024,589989.2,488727.6,101261.59999999998,-9969.0,119613.0,129582.0,91292.59999999998
