geo,geo_code,year,subject,score,se,caution,source
Alberta,AB,2003,Mathematics,549,4.3,False,"CMEC PISA 2022 report, Table B.1.14a"
Alberta,AB,2006,Mathematics,530,4.0,False,"CMEC PISA 2022 report, Table B.1.14a"
Alberta,AB,2009,Mathematics,529,4.8,False,"CMEC PISA 2022 report, Table B.1.14a"
Alberta,AB,2012,Mathematics,517,5.0,False,"CMEC PISA 2022 report, Table B.1.14a"
Alberta,AB,2015,Mathematics,511,7.3,False,"CMEC PISA 2022 report, Table B.1.14a"
Alberta,AB,2018,Mathematics,511,5.8,False,"CMEC PISA 2022 report, Table B.1.14a"
Alberta,AB,2022,Mathematics,504,7.9,True,"CMEC PISA 2022 report, Table B.1.14a"
Alberta,AB,2025,Mathematics,489,6.1,True,"CMEC PISA 2025 report, Table 3.18"
British Columbia,BC,2003,Mathematics,538,2.4,False,"CMEC PISA 2022 report, Table B.1.14a"
British Columbia,BC,2006,Mathematics,523,4.6,False,"CMEC PISA 2022 report, Table B.1.14a"
British Columbia,BC,2009,Mathematics,523,5.0,False,"CMEC PISA 2022 report, Table B.1.14a"
British Columbia,BC,2012,Mathematics,522,4.8,False,"CMEC PISA 2022 report, Table B.1.14a"
British Columbia,BC,2015,Mathematics,522,7.5,False,"CMEC PISA 2022 report, Table B.1.14a"
British Columbia,BC,2018,Mathematics,504,5.9,False,"CMEC PISA 2022 report, Table B.1.14a"
British Columbia,BC,2022,Mathematics,496,7.1,True,"CMEC PISA 2022 report, Table B.1.14a"
British Columbia,BC,2025,Mathematics,482,6.5,True,"CMEC PISA 2025 report, Table 3.18"
Canada,CA,2003,Mathematics,532,1.8,False,"CMEC PISA 2022 report, Table B.1.14a"
Canada,CA,2006,Mathematics,527,2.4,False,"CMEC PISA 2022 report, Table B.1.14a"
Canada,CA,2009,Mathematics,527,2.6,False,"CMEC PISA 2022 report, Table B.1.14a"
Canada,CA,2012,Mathematics,518,2.7,False,"CMEC PISA 2022 report, Table B.1.14a"
Canada,CA,2015,Mathematics,516,6.1,False,"CMEC PISA 2022 report, Table B.1.14a"
Canada,CA,2018,Mathematics,512,3.7,False,"CMEC PISA 2022 report, Table B.1.14a"
Canada,CA,2022,Mathematics,497,5.8,True,"CMEC PISA 2022 report, Table B.1.14a"
Canada,CA,2025,Mathematics,485,2.3,True,"CMEC PISA 2025 report, Table 3.18"
Manitoba,MB,2003,Mathematics,528,3.1,False,"CMEC PISA 2022 report, Table B.1.14a"
Manitoba,MB,2006,Mathematics,521,3.5,False,"CMEC PISA 2022 report, Table B.1.14a"
Manitoba,MB,2009,Mathematics,501,4.1,False,"CMEC PISA 2022 report, Table B.1.14a"
Manitoba,MB,2012,Mathematics,492,3.5,False,"CMEC PISA 2022 report, Table B.1.14a"
Manitoba,MB,2015,Mathematics,489,7.0,False,"CMEC PISA 2022 report, Table B.1.14a"
Manitoba,MB,2018,Mathematics,482,4.6,False,"CMEC PISA 2022 report, Table B.1.14a"
Manitoba,MB,2022,Mathematics,470,6.2,True,"CMEC PISA 2022 report, Table B.1.14a"
Manitoba,MB,2025,Mathematics,467,2.9,True,"CMEC PISA 2025 report, Table 3.18"
New Brunswick,NB,2003,Mathematics,511,1.4,False,"CMEC PISA 2022 report, Table B.1.14a"
New Brunswick,NB,2006,Mathematics,506,2.5,False,"CMEC PISA 2022 report, Table B.1.14a"
New Brunswick,NB,2009,Mathematics,504,3.0,False,"CMEC PISA 2022 report, Table B.1.14a"
New Brunswick,NB,2012,Mathematics,502,3.2,False,"CMEC PISA 2022 report, Table B.1.14a"
New Brunswick,NB,2015,Mathematics,493,7.5,False,"CMEC PISA 2022 report, Table B.1.14a"
New Brunswick,NB,2018,Mathematics,491,6.3,False,"CMEC PISA 2022 report, Table B.1.14a"
New Brunswick,NB,2022,Mathematics,468,6.3,False,"CMEC PISA 2022 report, Table B.1.14a"
New Brunswick,NB,2025,Mathematics,449,3.4,False,"CMEC PISA 2025 report, Table 3.18"
Newfoundland and Labrador,NL,2003,Mathematics,517,2.5,False,"CMEC PISA 2022 report, Table B.1.14a"
Newfoundland and Labrador,NL,2006,Mathematics,507,2.8,False,"CMEC PISA 2022 report, Table B.1.14a"
Newfoundland and Labrador,NL,2009,Mathematics,503,3.5,False,"CMEC PISA 2022 report, Table B.1.14a"
Newfoundland and Labrador,NL,2012,Mathematics,490,4.2,False,"CMEC PISA 2022 report, Table B.1.14a"
Newfoundland and Labrador,NL,2015,Mathematics,486,6.4,False,"CMEC PISA 2022 report, Table B.1.14a"
Newfoundland and Labrador,NL,2018,Mathematics,488,7.0,False,"CMEC PISA 2022 report, Table B.1.14a"
Newfoundland and Labrador,NL,2022,Mathematics,459,7.8,True,"CMEC PISA 2022 report, Table B.1.14a"
Newfoundland and Labrador,NL,2025,Mathematics,458,4.6,True,"CMEC PISA 2025 report, Table 3.18"
Nova Scotia,NS,2003,Mathematics,515,2.2,False,"CMEC PISA 2022 report, Table B.1.14a"
Nova Scotia,NS,2006,Mathematics,506,2.6,False,"CMEC PISA 2022 report, Table B.1.14a"
Nova Scotia,NS,2009,Mathematics,512,3.0,False,"CMEC PISA 2022 report, Table B.1.14a"
Nova Scotia,NS,2012,Mathematics,497,4.5,False,"CMEC PISA 2022 report, Table B.1.14a"
Nova Scotia,NS,2015,Mathematics,497,7.2,False,"CMEC PISA 2022 report, Table B.1.14a"
Nova Scotia,NS,2018,Mathematics,494,6.9,False,"CMEC PISA 2022 report, Table B.1.14a"
Nova Scotia,NS,2022,Mathematics,470,6.6,True,"CMEC PISA 2022 report, Table B.1.14a"
Nova Scotia,NS,2025,Mathematics,477,3.6,True,"CMEC PISA 2025 report, Table 3.18"
Ontario,ON,2003,Mathematics,530,3.6,False,"CMEC PISA 2022 report, Table B.1.14a"
Ontario,ON,2006,Mathematics,526,3.9,False,"CMEC PISA 2022 report, Table B.1.14a"
Ontario,ON,2009,Mathematics,526,3.8,False,"CMEC PISA 2022 report, Table B.1.14a"
Ontario,ON,2012,Mathematics,514,4.5,False,"CMEC PISA 2022 report, Table B.1.14a"
Ontario,ON,2015,Mathematics,509,7.0,False,"CMEC PISA 2022 report, Table B.1.14a"
Ontario,ON,2018,Mathematics,513,5.3,False,"CMEC PISA 2022 report, Table B.1.14a"
Ontario,ON,2022,Mathematics,495,6.3,True,"CMEC PISA 2022 report, Table B.1.14a"
