country_code,country_name,year,subject,score,se,caution
AUS,Australia,2003,Mathematics,524.27,2.148,False
AUS,Australia,2006,Mathematics,519.91,2.241,False
AUS,Australia,2009,Mathematics,514.34,2.528,False
AUS,Australia,2012,Mathematics,504.15,1.643,False
AUS,Australia,2015,Mathematics,493.9,1.605,False
AUS,Australia,2018,Mathematics,491.36,1.94,False
AUS,Australia,2022,Mathematics,487.08,1.78,False
AUS,Australia,2025,Mathematics,477.53,1.915,False
CAN,Canada,2003,Mathematics,532.49,1.818,True
CAN,Canada,2006,Mathematics,527.01,1.967,True
CAN,Canada,2009,Mathematics,526.81,1.614,True
CAN,Canada,2012,Mathematics,518.07,1.841,True
CAN,Canada,2015,Mathematics,515.65,2.313,True
CAN,Canada,2018,Mathematics,512.02,2.357,True
CAN,Canada,2022,Mathematics,496.95,1.562,True
CAN,Canada,2025,Mathematics,485.34,1.913,True
CHE,Switzerland,2003,Mathematics,526.55,3.383,False
CHE,Switzerland,2006,Mathematics,529.66,3.153,False
CHE,Switzerland,2009,Mathematics,533.96,3.298,False
CHE,Switzerland,2012,Mathematics,530.93,3.041,False
CHE,Switzerland,2015,Mathematics,521.25,2.92,False
CHE,Switzerland,2018,Mathematics,515.31,2.908,False
CHE,Switzerland,2022,Mathematics,507.99,2.144,False
CHE,Switzerland,2025,Mathematics,499.15,2.593,False
DEU,Germany,2003,Mathematics,502.99,3.317,False
DEU,Germany,2006,Mathematics,503.79,3.868,False
DEU,Germany,2009,Mathematics,512.78,2.863,False
DEU,Germany,2012,Mathematics,513.53,2.877,False
DEU,Germany,2015,Mathematics,505.97,2.888,False
DEU,Germany,2018,Mathematics,500.04,2.647,False
DEU,Germany,2022,Mathematics,474.83,3.065,False
DEU,Germany,2025,Mathematics,463.81,3.046,False
DNK,Denmark,2003,Mathematics,514.29,2.744,False
DNK,Denmark,2006,Mathematics,513.03,2.617,False
DNK,Denmark,2009,Mathematics,503.28,2.603,False
DNK,Denmark,2012,Mathematics,500.03,2.295,False
DNK,Denmark,2015,Mathematics,511.09,2.174,False
DNK,Denmark,2018,Mathematics,509.4,1.735,False
DNK,Denmark,2022,Mathematics,489.27,1.949,False
DNK,Denmark,2025,Mathematics,470.63,2.109,False
FIN,Finland,2003,Mathematics,544.29,1.866,False
FIN,Finland,2006,Mathematics,548.36,2.296,False
FIN,Finland,2009,Mathematics,540.5,2.167,False
FIN,Finland,2012,Mathematics,518.75,1.941,False
FIN,Finland,2015,Mathematics,511.08,2.309,False
FIN,Finland,2018,Mathematics,507.3,1.968,False
FIN,Finland,2022,Mathematics,484.14,1.857,False
FIN,Finland,2025,Mathematics,468.69,2.201,False
FRA,France,2003,Mathematics,510.8,2.504,False
FRA,France,2006,Mathematics,495.54,3.171,False
FRA,France,2009,Mathematics,496.78,3.094,False
FRA,France,2012,Mathematics,494.98,2.455,False
FRA,France,2015,Mathematics,492.92,2.099,False
FRA,France,2018,Mathematics,495.41,2.32,False
FRA,France,2022,Mathematics,473.94,2.489,False
FRA,France,2025,Mathematics,457.66,2.995,False
GBR,United Kingdom,2006,Mathematics,495.44,2.143,False
GBR,United Kingdom,2009,Mathematics,492.41,2.42,False
GBR,United Kingdom,2012,Mathematics,493.93,3.296,False
GBR,United Kingdom,2015,Mathematics,492.48,2.497,False
GBR,United Kingdom,2018,Mathematics,501.77,2.564,False
GBR,United Kingdom,2022,Mathematics,488.98,2.218,False
GBR,United Kingdom,2025,Mathematics,487.57,2.199,False
ISR,Israel,2006,Mathematics,441.86,4.346,False
ISR,Israel,2009,Mathematics,446.86,3.278,False
ISR,Israel,2012,Mathematics,466.48,4.682,False
ISR,Israel,2015,Mathematics,469.67,3.629,False
ISR,Israel,2018,Mathematics,463.03,3.499,False
ISR,Israel,2022,Mathematics,457.9,3.269,False
ISR,Israel,2025,Mathematics,433.37,3.104,False
ITA,Italy,2003,Mathematics,465.66,3.075,False
ITA,Italy,2006,Mathematics,461.69,2.282,False
ITA,Italy,2009,Mathematics,482.91,1.856,False
ITA,Italy,2012,Mathematics,485.32,2.025,False
ITA,Italy,2015,Mathematics,489.73,2.845,False
ITA,Italy,2018,Mathematics,486.59,2.78,False
ITA,Italy,2022,Mathematics,471.26,3.093,False
ITA,Italy,2025,Mathematics,467.76,2.846,False
JPN,Japan,2003,Mathematics,534.14,4.016,False
JPN,Japan,2006,Mathematics,523.1,3.342,False
JPN,Japan,2009,Mathematics,528.99,3.328,False
JPN,Japan,2012,Mathematics,536.41,3.587,False
JPN,Japan,2015,Mathematics,532.44,3.0,False
JPN,Japan,2018,Mathematics,526.97,2.471,False
JPN,Japan,2022,Mathematics,535.58,2.934,False
JPN,Japan,2025,Mathematics,525.38,4.204,False
KOR,South Korea,2003,Mathematics,542.23,3.238,False
KOR,South Korea,2006,Mathematics,547.46,3.761,False
KOR,South Korea,2009,Mathematics,546.23,4.015,False
KOR,South Korea,2012,Mathematics,553.77,4.579,False
KOR,South Korea,2015,Mathematics,524.11,3.712,False
KOR,South Korea,2018,Mathematics,525.93,3.121,False
KOR,South Korea,2022,Mathematics,527.3,3.863,False
KOR,South Korea,2025,Mathematics,522.3,3.958,False
NLD,Netherlands,2003,Mathematics,537.82,3.13,True
NLD,Netherlands,2006,Mathematics,530.65,2.586,True
NLD,Netherlands,2009,Mathematics,525.84,4.745,True
NLD,Netherlands,2012,Mathematics,522.97,3.472,True
NLD,Netherlands,2015,Mathematics,512.25,2.212,True
NLD,Netherlands,2018,Mathematics,519.23,2.632,True
NLD,Netherlands,2022,Mathematics,492.68,3.766,True
NLD,Netherlands,2025,Mathematics,483.27,2.888,True
NOR,Norway,2003,Mathematics,495.19,2.376,True
NOR,Norway,2006,Mathematics,489.85,2.641,True
NOR,Norway,2009,Mathematics,497.96,2.397,True
NOR,Norway,2012,Mathematics,489.37,2.734,True
NOR,Norway,2015,Mathematics,501.73,2.232,True
NOR,Norway,2018,Mathematics,500.96,2.219,True
NOR,Norway,2022,Mathematics,468.45,2.062,True
NOR,Norway,2025,Mathematics,451.78,2.02,True
NZL,New Zealand,2003,Mathematics,523.49,2.257,True
