year,level,field,women,men,total,pct_women
1992,All credentials,Agriculture & natural resources,1899.0,2751.0,4650.0,40.8
1992,All credentials,Architecture & engineering,3258.0,19377.0,22635.0,14.4
1992,All credentials,Arts & communications,6111.0,3441.0,9552.0,64.0
1992,All credentials,Business & public admin,28236.0,20586.0,48822.0,57.8
1992,All credentials,Education,22035.0,7404.0,29439.0,74.8
1992,All credentials,Health,21669.0,7251.0,28920.0,74.9
1992,All credentials,Humanities,14235.0,8028.0,22263.0,63.9
1992,All credentials,Math & computer science,3939.0,6552.0,10491.0,37.5
1992,All credentials,Physical & life sciences,5607.0,6897.0,12504.0,44.8
1992,All credentials,Protective & transport services,1356.0,2685.0,4041.0,33.6
1992,All credentials,Social sciences & law,24981.0,16218.0,41199.0,60.6
1992,Bachelor's,Agriculture & natural resources,507.0,792.0,1299.0,39.0
1992,Bachelor's,Architecture & engineering,1446.0,7020.0,8466.0,17.1
1992,Bachelor's,Arts & communications,2598.0,1380.0,3978.0,65.3
1992,Bachelor's,Business & public admin,9384.0,8853.0,18237.0,51.5
1992,Bachelor's,Education,13626.0,4866.0,18492.0,73.7
1992,Bachelor's,Health,6351.0,2559.0,8910.0,71.3
1992,Bachelor's,Humanities,10473.0,5703.0,16176.0,64.7
1992,Bachelor's,Math & computer science,1467.0,3102.0,4569.0,32.1
1992,Bachelor's,Physical & life sciences,4209.0,4545.0,8754.0,48.1
1992,Bachelor's,Protective & transport services,9.0,18.0,27.0,33.3
1992,Bachelor's,Social sciences & law,17316.0,11379.0,28695.0,60.3
1992,College,Agriculture & natural resources,81.0,231.0,312.0,26.0
1992,College,Architecture & engineering,186.0,600.0,786.0,23.7
1992,College,Arts & communications,405.0,120.0,525.0,77.1
1992,College,Business & public admin,4476.0,3219.0,7695.0,58.2
1992,College,Education,3069.0,1227.0,4296.0,71.4
1992,College,Health,2019.0,396.0,2415.0,83.6
1992,College,Humanities,2076.0,948.0,3024.0,68.7
1992,College,Math & computer science,327.0,423.0,750.0,43.6
1992,College,Physical & life sciences,204.0,153.0,357.0,57.1
1992,College,Social sciences & law,1770.0,987.0,2757.0,64.2
1992,Doctorate,Agriculture & natural resources,36.0,117.0,153.0,23.5
1992,Doctorate,Architecture & engineering,54.0,432.0,486.0,11.1
1992,Doctorate,Arts & communications,15.0,15.0,30.0,50.0
1992,Doctorate,Business & public admin,33.0,51.0,84.0,39.3
1992,Doctorate,Education,162.0,126.0,288.0,56.2
1992,Doctorate,Health,57.0,96.0,153.0,37.3
1992,Doctorate,Humanities,138.0,231.0,369.0,37.4
1992,Doctorate,Math & computer science,24.0,144.0,168.0,14.3
1992,Doctorate,Physical & life sciences,231.0,630.0,861.0,26.8
1992,Doctorate,Protective & transport services,3.0,3.0,6.0,50.0
1992,Doctorate,Social sciences & law,243.0,291.0,534.0,45.5
1992,Master's,Agriculture & natural resources,438.0,459.0,897.0,48.8
1992,Master's,Architecture & engineering,399.0,1761.0,2160.0,18.5
1992,Master's,Arts & communications,273.0,189.0,462.0,59.1
1992,Master's,Business & public admin,1875.0,2799.0,4674.0,40.1
1992,Master's,Education,2190.0,972.0,3162.0,69.3
1992,Master's,Health,1812.0,1722.0,3534.0,51.3
1992,Master's,Humanities,1020.0,945.0,1965.0,51.9
1992,Master's,Math & computer science,483.0,564.0,1047.0,46.1
1992,Master's,Physical & life sciences,612.0,951.0,1563.0,39.2
1992,Master's,Protective & transport services,3.0,9.0,12.0,25.0
1992,Master's,Social sciences & law,2589.0,2421.0,5010.0,51.7
1993,All credentials,Agriculture & natural resources,2043.0,2853.0,4896.0,41.7
1993,All credentials,Architecture & engineering,3396.0,19746.0,23142.0,14.7
1993,All credentials,Arts & communications,6282.0,3561.0,9843.0,63.8
1993,All credentials,Business & public admin,29994.0,21132.0,51126.0,58.7
1993,All credentials,Education,22617.0,7425.0,30042.0,75.3
1993,All credentials,Health,22083.0,7494.0,29577.0,74.7
1993,All credentials,Humanities,14814.0,8529.0,23343.0,63.5
