year,geo,age_group,gender,skill,avg_score,pct_level1_below,pct_level2,pct_level3_above
2022,Alberta,16–24,Men,Adaptive problem solving,272.5,8.6,45.1,46.2
2022,Alberta,16–24,Total,Adaptive problem solving,271.0,12.0,41.2,46.8
2022,Alberta,16–24,Women,Adaptive problem solving,269.5,15.6,37.0,47.4
2022,Alberta,16–65 (all),Men,Adaptive problem solving,266.1,18.0,38.0,44.0
2022,Alberta,16–65 (all),Total,Adaptive problem solving,264.4,19.0,38.3,42.8
2022,Alberta,16–65 (all),Women,Adaptive problem solving,262.7,19.9,38.6,41.5
2022,Alberta,25–34,Men,Adaptive problem solving,275.0,12.7,36.5,50.8
2022,Alberta,25–34,Total,Adaptive problem solving,275.4,13.8,33.6,52.6
2022,Alberta,25–34,Women,Adaptive problem solving,275.9,14.9,30.7,54.4
2022,Alberta,35–44,Men,Adaptive problem solving,270.3,13.7,38.9,47.4
2022,Alberta,35–44,Total,Adaptive problem solving,267.1,15.2,41.7,43.1
2022,Alberta,35–44,Women,Adaptive problem solving,263.9,16.7,44.6,38.8
2022,Alberta,45–54,Men,Adaptive problem solving,261.2,22.3,38.7,39.0
2022,Alberta,45–54,Total,Adaptive problem solving,261.4,21.2,37.3,41.5
2022,Alberta,45–54,Women,Adaptive problem solving,261.6,20.1,35.9,44.0
2022,Alberta,55–65,Men,Adaptive problem solving,250.0,33.2,31.7,35.1
2022,Alberta,55–65,Total,Adaptive problem solving,246.3,32.9,37.8,29.3
2022,Alberta,55–65,Women,Adaptive problem solving,242.6,32.7,43.7,23.6
2022,Alberta,16–24,Men,Literacy,277.6,11.4,37.0,51.6
2022,Alberta,16–24,Total,Literacy,278.6,12.7,32.1,55.2
2022,Alberta,16–24,Women,Literacy,279.6,,,59.1
2022,Alberta,16–65 (all),Men,Literacy,276.8,15.7,30.8,53.4
2022,Alberta,16–65 (all),Total,Literacy,275.6,15.7,31.8,52.6
2022,Alberta,16–65 (all),Women,Literacy,274.4,15.6,32.7,51.7
2022,Alberta,25–34,Men,Literacy,288.0,,,55.7
2022,Alberta,25–34,Total,Literacy,287.7,8.3,35.1,56.6
2022,Alberta,25–34,Women,Literacy,287.4,10.5,32.0,57.5
2022,Alberta,35–44,Men,Literacy,283.0,14.1,24.4,61.5
2022,Alberta,35–44,Total,Literacy,279.2,14.1,28.2,57.7
2022,Alberta,35–44,Women,Literacy,275.4,14.1,32.1,53.9
2022,Alberta,45–54,Men,Literacy,270.4,19.8,30.0,50.2
2022,Alberta,45–54,Total,Literacy,271.4,18.1,33.3,48.6
2022,Alberta,45–54,Women,Literacy,272.5,16.3,36.7,47.0
2022,Alberta,55–65,Men,Literacy,262.1,28.5,25.8,45.7
2022,Alberta,55–65,Total,Literacy,259.2,26.0,30.4,43.5
2022,Alberta,55–65,Women,Literacy,256.4,23.6,35.0,41.4
2022,Alberta,16–24,Men,Numeracy,274.5,10.7,39.5,49.8
2022,Alberta,16–24,Total,Numeracy,264.6,19.0,40.3,40.7
2022,Alberta,16–24,Women,Numeracy,254.2,27.7,41.2,31.1
2022,Alberta,16–65 (all),Men,Numeracy,280.6,14.2,30.8,55.0
2022,Alberta,16–65 (all),Total,Numeracy,271.2,18.1,34.7,47.3
2022,Alberta,16–65 (all),Women,Numeracy,261.6,22.0,38.6,39.4
2022,Alberta,25–34,Men,Numeracy,293.1,7.7,31.9,60.5
2022,Alberta,25–34,Total,Numeracy,285.4,12.0,32.5,55.5
2022,Alberta,25–34,Women,Numeracy,277.4,16.5,33.1,50.4
2022,Alberta,35–44,Men,Numeracy,286.3,12.6,31.0,56.5
2022,Alberta,35–44,Total,Numeracy,274.4,15.9,35.1,49.0
2022,Alberta,35–44,Women,Numeracy,262.4,19.4,39.3,41.4
2022,Alberta,45–54,Men,Numeracy,278.7,15.6,25.2,59.1
2022,Alberta,45–54,Total,Numeracy,272.5,15.8,33.1,51.2
2022,Alberta,45–54,Women,Numeracy,266.3,15.9,41.1,43.0
2022,Alberta,55–65,Men,Numeracy,266.7,25.5,27.3,47.2
2022,Alberta,55–65,Total,Numeracy,255.7,28.9,33.4,37.6
2022,Alberta,55–65,Women,Numeracy,245.0,32.3,39.4,28.3
2022,British Columbia,16–24,Men,Adaptive problem solving,286.3,,,63.6
2022,British Columbia,16–24,Total,Adaptive problem solving,275.6,9.3,41.8,49.0
2022,British Columbia,16–24,Women,Adaptive problem solving,264.5,12.6,53.7,33.7
2022,British Columbia,16–65 (all),Men,Adaptive problem solving,272.8,13.4,34.8,51.8
2022,British Columbia,16–65 (all),Total,Adaptive problem solving,268.6,15.8,37.2,47.1
2022,British Columbia,16–65 (all),Women,Adaptive problem solving,264.4,18.1,39.5,42.4
2022,British Columbia,25–34,Men,Adaptive problem solving,284.3,7.3,28.7,64.0
2022,British Columbia,25–34,Total,Adaptive problem solving,283.5,6.7,31.9,61.4
2022,British Columbia,25–34,Women,Adaptive problem solving,282.7,6.0,35.1,58.8
2022,British Columbia,35–44,Men,Adaptive problem solving,279.0,10.6,31.0,58.5
2022,British Columbia,35–44,Total,Adaptive problem solving,274.5,13.9,30.9,55.2
2022,British Columbia,35–44,Women,Adaptive problem solving,270.1,17.2,30.9,52.0
2022,British Columbia,45–54,Men,Adaptive problem solving,264.7,15.3,43.0,41.8
2022,British Columbia,45–54,Total,Adaptive problem solving,259.8,20.8,41.2,38.0
2022,British Columbia,45–54,Women,Adaptive problem solving,255.2,26.0,39.5,34.5
2022,British Columbia,55–65,Men,Adaptive problem solving,252.1,25.9,41.2,32.9
2022,British Columbia,55–65,Total,Adaptive problem solving,251.2,26.5,41.4,32.1
2022,British Columbia,55–65,Women,Adaptive problem solving,250.4,27.1,41.5,31.3
2022,British Columbia,16–24,Men,Literacy,300.0,,,74.3
2022,British Columbia,16–24,Total,Literacy,287.2,7.0,32.8,60.2
2022,British Columbia,16–24,Women,Literacy,273.7,,,45.6
2022,British Columbia,16–65 (all),Men,Literacy,284.9,12.1,25.5,62.4
2022,British Columbia,16–65 (all),Total,Literacy,280.9,13.6,27.6,58.8
2022,British Columbia,16–65 (all),Women,Literacy,277.0,15.0,29.7,55.3
2022,British Columbia,25–34,Men,Literacy,290.4,6.9,27.8,65.3
2022,British Columbia,25–34,Total,Literacy,293.5,5.8,27.2,67.0
2022,British Columbia,25–34,Women,Literacy,296.7,,,68.8
2022,British Columbia,35–44,Men,Literacy,295.1,10.2,17.4,72.4
2022,British Columbia,35–44,Total,Literacy,288.0,12.7,20.4,66.9
2022,British Columbia,35–44,Women,Literacy,280.9,15.2,23.4,61.4
2022,British Columbia,45–54,Men,Literacy,280.4,13.9,28.4,57.7
2022,British Columbia,45–54,Total,Literacy,275.5,17.0,27.3,55.8
2022,British Columbia,45–54,Women,Literacy,271.0,19.8,26.2,54.0
2022,British Columbia,55–65,Men,Literacy,262.2,24.5,30.5,45.0
2022,British Columbia,55–65,Total,Literacy,262.4,23.7,31.2,45.1
2022,British Columbia,55–65,Women,Literacy,262.6,22.9,31.8,45.3
2022,British Columbia,16–24,Men,Numeracy,297.7,,,72.3
2022,British Columbia,16–24,Total,Numeracy,279.0,11.2,36.3,52.5
2022,British Columbia,16–24,Women,Numeracy,259.6,19.3,48.9,31.8
2022,British Columbia,16–65 (all),Men,Numeracy,291.5,10.2,24.9,64.9
2022,British Columbia,16–65 (all),Total,Numeracy,280.0,14.7,28.9,56.4
2022,British Columbia,16–65 (all),Women,Numeracy,268.7,19.1,32.8,48.1
2022,British Columbia,25–34,Men,Numeracy,300.9,5.9,24.3,69.8
2022,British Columbia,25–34,Total,Numeracy,295.2,8.1,23.2,68.7
2022,British Columbia,25–34,Women,Numeracy,289.2,10.4,22.1,67.5
2022,British Columbia,35–44,Men,Numeracy,301.7,8.4,20.4,71.1
2022,British Columbia,35–44,Total,Numeracy,287.0,13.1,23.2,63.7
