year,geo,age_group,gender,level,pct
2000,Alberta,25–34,Men,Bachelor's,14.0
2001,Alberta,25–34,Men,Bachelor's,16.0
2002,Alberta,25–34,Men,Bachelor's,16.0
2003,Alberta,25–34,Men,Bachelor's,16.0
2004,Alberta,25–34,Men,Bachelor's,15.0
2005,Alberta,25–34,Men,Bachelor's,18.0
2006,Alberta,25–34,Men,Bachelor's,18.0
2007,Alberta,25–34,Men,Bachelor's,17.0
2008,Alberta,25–34,Men,Bachelor's,18.0
2009,Alberta,25–34,Men,Bachelor's,19.0
2010,Alberta,25–34,Men,Bachelor's,18.0
2011,Alberta,25–34,Men,Bachelor's,18.0
2012,Alberta,25–34,Men,Bachelor's,16.0
2013,Alberta,25–34,Men,Bachelor's,19.0
2014,Alberta,25–34,Men,Bachelor's,19.0
2015,Alberta,25–34,Men,Bachelor's,20.0
2016,Alberta,25–34,Men,Bachelor's,22.0
2017,Alberta,25–34,Men,Bachelor's,22.0
2018,Alberta,25–34,Men,Bachelor's,22.0
2019,Alberta,25–34,Men,Bachelor's,23.0
2020,Alberta,25–34,Men,Bachelor's,23.0
2021,Alberta,25–34,Men,Bachelor's,22.0
2022,Alberta,25–34,Men,Bachelor's,25.0
2023,Alberta,25–34,Men,Bachelor's,23.0
2024,Alberta,25–34,Men,Bachelor's,26.0
2025,Alberta,25–34,Men,Bachelor's,26.0
2000,Alberta,25–34,Men,Below high school,10.0
2001,Alberta,25–34,Men,Below high school,11.0
2002,Alberta,25–34,Men,Below high school,12.0
2003,Alberta,25–34,Men,Below high school,12.0
2004,Alberta,25–34,Men,Below high school,11.0
2005,Alberta,25–34,Men,Below high school,9.0
2006,Alberta,25–34,Men,Below high school,10.0
2007,Alberta,25–34,Men,Below high school,9.0
2008,Alberta,25–34,Men,Below high school,10.0
2009,Alberta,25–34,Men,Below high school,10.0
2010,Alberta,25–34,Men,Below high school,10.0
2011,Alberta,25–34,Men,Below high school,10.0
2012,Alberta,25–34,Men,Below high school,10.0
2013,Alberta,25–34,Men,Below high school,9.0
2014,Alberta,25–34,Men,Below high school,10.0
2015,Alberta,25–34,Men,Below high school,8.0
2016,Alberta,25–34,Men,Below high school,8.0
2017,Alberta,25–34,Men,Below high school,9.0
2018,Alberta,25–34,Men,Below high school,7.0
2019,Alberta,25–34,Men,Below high school,8.0
2020,Alberta,25–34,Men,Below high school,6.0
2021,Alberta,25–34,Men,Below high school,6.0
2022,Alberta,25–34,Men,Below high school,7.0
2023,Alberta,25–34,Men,Below high school,6.0
2024,Alberta,25–34,Men,Below high school,6.0
2025,Alberta,25–34,Men,Below high school,5.0
2000,Alberta,25–34,Men,College/CEGEP,16.0
2001,Alberta,25–34,Men,College/CEGEP,16.0
2002,Alberta,25–34,Men,College/CEGEP,15.0
2003,Alberta,25–34,Men,College/CEGEP,14.0
2004,Alberta,25–34,Men,College/CEGEP,16.0
2005,Alberta,25–34,Men,College/CEGEP,17.0
2006,Alberta,25–34,Men,College/CEGEP,16.0
2007,Alberta,25–34,Men,College/CEGEP,18.0
2008,Alberta,25–34,Men,College/CEGEP,16.0
2009,Alberta,25–34,Men,College/CEGEP,16.0
2010,Alberta,25–34,Men,College/CEGEP,16.0
2011,Alberta,25–34,Men,College/CEGEP,16.0
2012,Alberta,25–34,Men,College/CEGEP,17.0
2013,Alberta,25–34,Men,College/CEGEP,15.0
2014,Alberta,25–34,Men,College/CEGEP,14.0
2015,Alberta,25–34,Men,College/CEGEP,16.0
2016,Alberta,25–34,Men,College/CEGEP,16.0
2017,Alberta,25–34,Men,College/CEGEP,14.0
2018,Alberta,25–34,Men,College/CEGEP,17.0
2019,Alberta,25–34,Men,College/CEGEP,16.0
2020,Alberta,25–34,Men,College/CEGEP,16.0
2021,Alberta,25–34,Men,College/CEGEP,18.0
2022,Alberta,25–34,Men,College/CEGEP,16.0
2023,Alberta,25–34,Men,College/CEGEP,17.0
2024,Alberta,25–34,Men,College/CEGEP,15.0
2025,Alberta,25–34,Men,College/CEGEP,15.0
2000,Alberta,25–34,Men,High school,34.0
2001,Alberta,25–34,Men,High school,32.0
2002,Alberta,25–34,Men,High school,32.0
2003,Alberta,25–34,Men,High school,33.0
2004,Alberta,25–34,Men,High school,34.0
2005,Alberta,25–34,Men,High school,32.0
2006,Alberta,25–34,Men,High school,32.0
2007,Alberta,25–34,Men,High school,33.0
2008,Alberta,25–34,Men,High school,32.0
2009,Alberta,25–34,Men,High school,31.0
2010,Alberta,25–34,Men,High school,29.0
2011,Alberta,25–34,Men,High school,32.0
2012,Alberta,25–34,Men,High school,32.0
2013,Alberta,25–34,Men,High school,30.0
2014,Alberta,25–34,Men,High school,31.0
2015,Alberta,25–34,Men,High school,30.0
2016,Alberta,25–34,Men,High school,28.0
2017,Alberta,25–34,Men,High school,29.0
2018,Alberta,25–34,Men,High school,27.0
2019,Alberta,25–34,Men,High school,26.0
2020,Alberta,25–34,Men,High school,29.0
2021,Alberta,25–34,Men,High school,27.0
2022,Alberta,25–34,Men,High school,30.0
2023,Alberta,25–34,Men,High school,31.0
2024,Alberta,25–34,Men,High school,28.0
2025,Alberta,25–34,Men,High school,29.0
2000,Alberta,25–34,Men,Master's/Doctoral,5.0
2001,Alberta,25–34,Men,Master's/Doctoral,5.0
2002,Alberta,25–34,Men,Master's/Doctoral,5.0
2003,Alberta,25–34,Men,Master's/Doctoral,4.0
2004,Alberta,25–34,Men,Master's/Doctoral,4.0
2005,Alberta,25–34,Men,Master's/Doctoral,5.0
2006,Alberta,25–34,Men,Master's/Doctoral,6.0
2007,Alberta,25–34,Men,Master's/Doctoral,5.0
2008,Alberta,25–34,Men,Master's/Doctoral,6.0
2009,Alberta,25–34,Men,Master's/Doctoral,6.0
2010,Alberta,25–34,Men,Master's/Doctoral,5.0
2011,Alberta,25–34,Men,Master's/Doctoral,5.0
2012,Alberta,25–34,Men,Master's/Doctoral,5.0
2013,Alberta,25–34,Men,Master's/Doctoral,6.0
2014,Alberta,25–34,Men,Master's/Doctoral,8.0
2015,Alberta,25–34,Men,Master's/Doctoral,6.0
2016,Alberta,25–34,Men,Master's/Doctoral,6.0
2017,Alberta,25–34,Men,Master's/Doctoral,6.0
2018,Alberta,25–34,Men,Master's/Doctoral,7.0
2019,Alberta,25–34,Men,Master's/Doctoral,7.0
2020,Alberta,25–34,Men,Master's/Doctoral,8.0
2021,Alberta,25–34,Men,Master's/Doctoral,7.0
2022,Alberta,25–34,Men,Master's/Doctoral,6.0
2023,Alberta,25–34,Men,Master's/Doctoral,7.0
2024,Alberta,25–34,Men,Master's/Doctoral,7.0
2025,Alberta,25–34,Men,Master's/Doctoral,10.0
2000,Alberta,25–34,Men,Tertiary (all),36.0
2001,Alberta,25–34,Men,Tertiary (all),37.0
2002,Alberta,25–34,Men,Tertiary (all),35.0
2003,Alberta,25–34,Men,Tertiary (all),34.0
2004,Alberta,25–34,Men,Tertiary (all),35.0
2005,Alberta,25–34,Men,Tertiary (all),40.0
2006,Alberta,25–34,Men,Tertiary (all),39.0
2007,Alberta,25–34,Men,Tertiary (all),40.0
2008,Alberta,25–34,Men,Tertiary (all),39.0
2009,Alberta,25–34,Men,Tertiary (all),41.0
2010,Alberta,25–34,Men,Tertiary (all),39.0
2011,Alberta,25–34,Men,Tertiary (all),39.0
2012,Alberta,25–34,Men,Tertiary (all),38.0
2013,Alberta,25–34,Men,Tertiary (all),40.0
2014,Alberta,25–34,Men,Tertiary (all),41.0
2015,Alberta,25–34,Men,Tertiary (all),42.0
2016,Alberta,25–34,Men,Tertiary (all),44.0
2017,Alberta,25–34,Men,Tertiary (all),42.0
