year,geography,level,tuition
2006,Alberta,Canadian graduate,5490.0
2007,Alberta,Canadian graduate,6150.0
2008,Alberta,Canadian graduate,4948.0
2009,Alberta,Canadian graduate,4597.0
2010,Alberta,Canadian graduate,4672.0
2011,Alberta,Canadian graduate,4676.0
2012,Alberta,Canadian graduate,4775.0
2013,Alberta,Canadian graduate,4944.0
2014,Alberta,Canadian graduate,5715.0
2015,Alberta,Canadian graduate,5615.0
2016,Alberta,Canadian graduate,5655.0
2017,Alberta,Canadian graduate,5745.0
2018,Alberta,Canadian graduate,6248.0
2019,Alberta,Canadian graduate,6749.0
2020,Alberta,Canadian graduate,6673.0
2021,Alberta,Canadian graduate,6764.0
2022,Alberta,Canadian graduate,7515.0
2023,Alberta,Canadian graduate,6489.0
2024,Alberta,Canadian graduate,6675.0
2025,Alberta,Canadian graduate,6804.0
2006,Alberta,Canadian undergraduate,4763.0
2007,Alberta,Canadian undergraduate,5122.0
2008,Alberta,Canadian undergraduate,5308.0
2009,Alberta,Canadian undergraduate,5240.0
2010,Alberta,Canadian undergraduate,5505.0
2011,Alberta,Canadian undergraduate,5663.0
2012,Alberta,Canadian undergraduate,5670.0
2013,Alberta,Canadian undergraduate,5675.0
2014,Alberta,Canadian undergraduate,5738.0
2015,Alberta,Canadian undergraduate,5739.0
2016,Alberta,Canadian undergraduate,5742.0
2017,Alberta,Canadian undergraduate,5736.0
2018,Alberta,Canadian undergraduate,5713.0
2019,Alberta,Canadian undergraduate,5692.0
2020,Alberta,Canadian undergraduate,6111.0
2021,Alberta,Canadian undergraduate,6582.0
2022,Alberta,Canadian undergraduate,7203.0
2023,Alberta,Canadian undergraduate,7561.0
2024,Alberta,Canadian undergraduate,7909.0
2025,Alberta,Canadian undergraduate,8067.0
2006,Alberta,International graduate,9670.0
2007,Alberta,International graduate,11264.0
2008,Alberta,International graduate,9324.0
2009,Alberta,International graduate,9272.0
2010,Alberta,International graduate,9408.0
2011,Alberta,International graduate,9439.0
2012,Alberta,International graduate,9481.0
2013,Alberta,International graduate,9570.0
2014,Alberta,International graduate,9748.0
2015,Alberta,International graduate,8993.0
2016,Alberta,International graduate,9127.0
2017,Alberta,International graduate,11655.0
2018,Alberta,International graduate,13415.0
2019,Alberta,International graduate,11295.0
2020,Alberta,International graduate,14851.0
2021,Alberta,International graduate,15146.0
2022,Alberta,International graduate,16909.0
2023,Alberta,International graduate,15302.0
2024,Alberta,International graduate,16321.0
2025,Alberta,International graduate,16990.0
2006,Alberta,International undergraduate,12617.0
2007,Alberta,International undergraduate,13309.0
2008,Alberta,International undergraduate,14399.0
2009,Alberta,International undergraduate,17388.0
2010,Alberta,International undergraduate,17652.0
2011,Alberta,International undergraduate,18505.0
2012,Alberta,International undergraduate,18657.0
2013,Alberta,International undergraduate,18891.0
2014,Alberta,International undergraduate,19766.0
2015,Alberta,International undergraduate,20351.0
2016,Alberta,International undergraduate,20601.0
2017,Alberta,International undergraduate,21043.0
2018,Alberta,International undergraduate,21491.0
2019,Alberta,International undergraduate,21884.0
2020,Alberta,International undergraduate,27188.0
2021,Alberta,International undergraduate,27714.0
2022,Alberta,International undergraduate,29507.0
2023,Alberta,International undergraduate,31498.0
2024,Alberta,International undergraduate,33417.0
2025,Alberta,International undergraduate,34880.0
2006,British Columbia,Canadian graduate,5605.0
2007,British Columbia,Canadian graduate,6431.0
2008,British Columbia,Canadian graduate,7241.0
2009,British Columbia,Canadian graduate,6230.0
2010,British Columbia,Canadian graduate,7178.0
2011,British Columbia,Canadian graduate,7442.0
2012,British Columbia,Canadian graduate,7362.0
2013,British Columbia,Canadian graduate,7555.0
2014,British Columbia,Canadian graduate,7648.0
2015,British Columbia,Canadian graduate,8262.0
2016,British Columbia,Canadian graduate,8250.0
2017,British Columbia,Canadian graduate,8557.0
2018,British Columbia,Canadian graduate,8831.0
2019,British Columbia,Canadian graduate,9047.0
2020,British Columbia,Canadian graduate,9579.0
2021,British Columbia,Canadian graduate,9823.0
2022,British Columbia,Canadian graduate,10524.0
2023,British Columbia,Canadian graduate,10803.0
2024,British Columbia,Canadian graduate,11024.0
2025,British Columbia,Canadian graduate,11195.0
2006,British Columbia,Canadian undergraduate,4740.0
2007,British Columbia,Canadian undergraduate,4922.0
2008,British Columbia,Canadian undergraduate,4746.0
2009,British Columbia,Canadian undergraduate,4706.0
2010,British Columbia,Canadian undergraduate,4758.0
