year,geography,field,tuition
2006,Alberta,"Agriculture, natural resources and conservation",4415.0
2007,Alberta,"Agriculture, natural resources and conservation",4734.0
2008,Alberta,"Agriculture, natural resources and conservation",4841.0
2009,Alberta,"Agriculture, natural resources and conservation",5063.0
2010,Alberta,"Agriculture, natural resources and conservation",5139.0
2011,Alberta,"Agriculture, natural resources and conservation",5156.0
2012,Alberta,"Agriculture, natural resources and conservation",5218.0
2013,Alberta,"Agriculture, natural resources and conservation",5218.0
2014,Alberta,"Agriculture, natural resources and conservation",5273.0
2015,Alberta,"Agriculture, natural resources and conservation",5184.0
2016,Alberta,"Agriculture, natural resources and conservation",5210.0
2017,Alberta,"Agriculture, natural resources and conservation",5193.0
2018,Alberta,"Agriculture, natural resources and conservation",5173.0
2019,Alberta,"Agriculture, natural resources and conservation",5237.0
2020,Alberta,"Agriculture, natural resources and conservation",5599.0
2021,Alberta,"Agriculture, natural resources and conservation",5952.0
2022,Alberta,"Agriculture, natural resources and conservation",6387.0
2023,Alberta,"Agriculture, natural resources and conservation",6734.0
2024,Alberta,"Agriculture, natural resources and conservation",6881.0
2025,Alberta,"Agriculture, natural resources and conservation",7019.0
2017,Alberta,Architecture,5525.0
2018,Alberta,Architecture,5331.0
2019,Alberta,Architecture,5380.0
2020,Alberta,Architecture,5765.0
2021,Alberta,Architecture,6164.0
2022,Alberta,Architecture,6605.0
2023,Alberta,Architecture,7074.0
2024,Alberta,Architecture,7194.0
2025,Alberta,Architecture,7332.0
2006,Alberta,"Business, management and public administration",4532.0
2007,Alberta,"Business, management and public administration",4720.0
2008,Alberta,"Business, management and public administration",4842.0
2009,Alberta,"Business, management and public administration",5043.0
2010,Alberta,"Business, management and public administration",5119.0
2011,Alberta,"Business, management and public administration",5640.0
2012,Alberta,"Business, management and public administration",6094.0
2013,Alberta,"Business, management and public administration",6091.0
2014,Alberta,"Business, management and public administration",6111.0
2015,Alberta,"Business, management and public administration",5828.0
2016,Alberta,"Business, management and public administration",5868.0
2017,Alberta,"Business, management and public administration",5842.0
2018,Alberta,"Business, management and public administration",5797.0
2019,Alberta,"Business, management and public administration",5726.0
2020,Alberta,"Business, management and public administration",6132.0
2021,Alberta,"Business, management and public administration",6639.0
2022,Alberta,"Business, management and public administration",7188.0
2023,Alberta,"Business, management and public administration",7544.0
2024,Alberta,"Business, management and public administration",7919.0
2025,Alberta,"Business, management and public administration",8046.0
2007,Alberta,Dentistry,17761.0
2008,Alberta,Dentistry,18578.0
2009,Alberta,Dentistry,19340.0
2010,Alberta,Dentistry,19630.0
2011,Alberta,Dentistry,19699.0
2012,Alberta,Dentistry,19984.0
2013,Alberta,Dentistry,19984.0
2014,Alberta,Dentistry,20184.0
2015,Alberta,Dentistry,20184.0
2016,Alberta,Dentistry,20184.0
2017,Alberta,Dentistry,20184.0
2018,Alberta,Dentistry,20184.0
2019,Alberta,Dentistry,20184.0
2020,Alberta,Dentistry,21597.0
2021,Alberta,Dentistry,23109.0
2022,Alberta,Dentistry,32353.0
2023,Alberta,Dentistry,33713.0
2024,Alberta,Dentistry,34387.0
2025,Alberta,Dentistry,35205.0
2006,Alberta,Education,4589.0
2007,Alberta,Education,4816.0
2008,Alberta,Education,4873.0
2009,Alberta,Education,5073.0
2010,Alberta,Education,5149.0
2011,Alberta,Education,5166.0
2012,Alberta,Education,5221.0
2013,Alberta,Education,5230.0
2014,Alberta,Education,5286.0
2015,Alberta,Education,5284.0
2016,Alberta,Education,5269.0
2017,Alberta,Education,5271.0
2018,Alberta,Education,5277.0
2019,Alberta,Education,5302.0
2020,Alberta,Education,5670.0
2021,Alberta,Education,6059.0
2022,Alberta,Education,6529.0
2023,Alberta,Education,6872.0
2024,Alberta,Education,6993.0
2025,Alberta,Education,7093.0
2006,Alberta,Engineering,4562.0
2007,Alberta,Engineering,4711.0
2008,Alberta,Engineering,4925.0
2009,Alberta,Engineering,4485.0
2010,Alberta,Engineering,5401.0
2011,Alberta,Engineering,5815.0
2012,Alberta,Engineering,5886.0
2013,Alberta,Engineering,5871.0
2014,Alberta,Engineering,5920.0
2015,Alberta,Engineering,6365.0
2016,Alberta,Engineering,6420.0
2017,Alberta,Engineering,6380.0
2018,Alberta,Engineering,6394.0
2019,Alberta,Engineering,6077.0
2020,Alberta,Engineering,6594.0
2021,Alberta,Engineering,7202.0
2022,Alberta,Engineering,8821.0
2023,Alberta,Engineering,9259.0
2024,Alberta,Engineering,9619.0
2025,Alberta,Engineering,9812.0
2006,Alberta,Humanities,4610.0
2007,Alberta,Humanities,4838.0
2008,Alberta,Humanities,4850.0
2009,Alberta,Humanities,5063.0
2010,Alberta,Humanities,5139.0
2011,Alberta,Humanities,5157.0
2012,Alberta,Humanities,5023.0
2013,Alberta,Humanities,5014.0
2014,Alberta,Humanities,5076.0
2015,Alberta,Humanities,5076.0
2016,Alberta,Humanities,5050.0
2017,Alberta,Humanities,5039.0
2018,Alberta,Humanities,5017.0
2019,Alberta,Humanities,5032.0
2020,Alberta,Humanities,5448.0
2021,Alberta,Humanities,5977.0
2022,Alberta,Humanities,6380.0
2023,Alberta,Humanities,6727.0
2024,Alberta,Humanities,6932.0
2025,Alberta,Humanities,7070.0
2006,Alberta,Law,9328.0
2007,Alberta,Law,9539.0
2008,Alberta,Law,10229.0
2009,Alberta,Law,8295.0
2010,Alberta,Law,10666.0
2011,Alberta,Law,10893.0
2012,Alberta,Law,11132.0
2013,Alberta,Law,11170.0
2014,Alberta,Law,11331.0
2015,Alberta,Law,11372.0
2016,Alberta,Law,11031.0
2017,Alberta,Law,11025.0
2018,Alberta,Law,11019.0
2019,Alberta,Law,11048.0
2020,Alberta,Law,11803.0
2021,Alberta,Law,12659.0
2022,Alberta,Law,15091.0
2023,Alberta,Law,15837.0
2024,Alberta,Law,16152.0
2025,Alberta,Law,16474.0
2006,Alberta,"Mathematics, computer and information sciences",4562.0
2007,Alberta,"Mathematics, computer and information sciences",4706.0
2008,Alberta,"Mathematics, computer and information sciences",4871.0
2009,Alberta,"Mathematics, computer and information sciences",5057.0
2010,Alberta,"Mathematics, computer and information sciences",5133.0
2011,Alberta,"Mathematics, computer and information sciences",5150.0
2012,Alberta,"Mathematics, computer and information sciences",5201.0
2013,Alberta,"Mathematics, computer and information sciences",5199.0
2014,Alberta,"Mathematics, computer and information sciences",5259.0
2015,Alberta,"Mathematics, computer and information sciences",5283.0
2016,Alberta,"Mathematics, computer and information sciences",5244.0
2017,Alberta,"Mathematics, computer and information sciences",5246.0
2018,Alberta,"Mathematics, computer and information sciences",5256.0
2019,Alberta,"Mathematics, computer and information sciences",5290.0
2020,Alberta,"Mathematics, computer and information sciences",5669.0
2021,Alberta,"Mathematics, computer and information sciences",6065.0
2022,Alberta,"Mathematics, computer and information sciences",6487.0
2023,Alberta,"Mathematics, computer and information sciences",6813.0
2024,Alberta,"Mathematics, computer and information sciences",6961.0
2025,Alberta,"Mathematics, computer and information sciences",7186.0
2006,Alberta,Medicine,11313.0
2007,Alberta,Medicine,11610.0
2008,Alberta,Medicine,12197.0
2009,Alberta,Medicine,10196.0
2010,Alberta,Medicine,12920.0
2011,Alberta,Medicine,12967.0
2012,Alberta,Medicine,13274.0
2013,Alberta,Medicine,13277.0
2014,Alberta,Medicine,13317.0
2015,Alberta,Medicine,13328.0
2016,Alberta,Medicine,13326.0
2017,Alberta,Medicine,13300.0
2018,Alberta,Medicine,13313.0
2019,Alberta,Medicine,13305.0
2020,Alberta,Medicine,14237.0
2021,Alberta,Medicine,15422.0
2022,Alberta,Medicine,17099.0
2023,Alberta,Medicine,18026.0
2024,Alberta,Medicine,19022.0
2025,Alberta,Medicine,19371.0
2007,Alberta,Nursing,5622.0
2008,Alberta,Nursing,5870.0
2009,Alberta,Nursing,6056.0
2010,Alberta,Nursing,6147.0
2011,Alberta,Nursing,6167.0
2012,Alberta,Nursing,5628.0
2013,Alberta,Nursing,5655.0
2014,Alberta,Nursing,5725.0
2015,Alberta,Nursing,5784.0
2016,Alberta,Nursing,5847.0
2017,Alberta,Nursing,5845.0
2018,Alberta,Nursing,5828.0
2019,Alberta,Nursing,5868.0
2020,Alberta,Nursing,6279.0
2021,Alberta,Nursing,6750.0
2022,Alberta,Nursing,7231.0
2023,Alberta,Nursing,7637.0
2024,Alberta,Nursing,7840.0
2025,Alberta,Nursing,7993.0
2006,Alberta,"Other health, parks, recreation and fitness",4562.0
2007,Alberta,"Other health, parks, recreation and fitness",7603.0
2008,Alberta,"Other health, parks, recreation and fitness",7185.0
2009,Alberta,"Other health, parks, recreation and fitness",5034.0
2010,Alberta,"Other health, parks, recreation and fitness",5109.0
2011,Alberta,"Other health, parks, recreation and fitness",5126.0
