year,pollutant,emissions_t
1990,CO,13068523.97
1991,CO,12713886.7
1992,CO,12633031.58
1993,CO,12784386.49
1994,CO,12870783.4
1995,CO,13107906.98
1996,CO,12778875.63
1997,CO,12443034.3
1998,CO,12096415.13
1999,CO,11848898.31
2000,CO,11579335.11
2001,CO,11188132.53
2002,CO,10976341.9
2003,CO,10461756.46
2004,CO,9672041.495
2005,CO,8998348.834
2006,CO,8283678.273
2007,CO,7486999.679
2008,CO,7062155.075
2009,CO,6783393.15
2010,CO,6855615.913
2011,CO,6333780.575
2012,CO,6005440.328
2013,CO,5921690.597
2014,CO,5616414.819
2015,CO,5399388.726
2016,CO,5405118.722
2017,CO,5285455.34
2018,CO,5131814.693
2019,CO,4960558.128
2020,CO,4449336.095
2021,CO,4517412.387
2022,CO,4486942.912
2023,CO,4456446.095
2024,CO,4389615.035
1990,NH3,394867.234
1991,NH3,391750.5814
1992,NH3,404319.4099
1993,NH3,408370.2316
1994,NH3,423146.0869
1995,NH3,449408.6424
1996,NH3,465815.4744
1997,NH3,470898.7633
1998,NH3,471516.2981
1999,NH3,466277.1843
2000,NH3,475367.2024
2001,NH3,475112.1155
2002,NH3,483481.4635
2003,NH3,479803.824
2004,NH3,493884.6183
2005,NH3,489819.9199
2006,NH3,478861.2023
2007,NH3,483787.5536
2008,NH3,475781.0297
2009,NH3,459953.3704
2010,NH3,451564.4697
2011,NH3,448513.3811
2012,NH3,464266.0818
2013,NH3,477803.3783
2014,NH3,468605.7536
2015,NH3,470574.6465
2016,NH3,471210.9898
2017,NH3,460986.2833
2018,NH3,478289.5889
2019,NH3,479194.909
2020,NH3,492426.1062
2021,NH3,497958.3289
2022,NH3,482705.1369
2023,NH3,494758.3313
2024,NH3,505937.9213
1990,NOX,2224097.273
1991,NOX,2164401.046
1992,NOX,2220659.073
1993,NOX,2304155.398
1994,NOX,2454724.693
1995,NOX,2528316.869
1996,NOX,2600311.231
1997,NOX,2713112.894
1998,NOX,2726317.404
1999,NOX,2731555.039
2000,NOX,2681217.469
2001,NOX,2560646.926
2002,NOX,2537653.213
2003,NOX,2505743.944
2004,NOX,2351087.685
2005,NOX,2255175.39
2006,NOX,2106943.792
2007,NOX,2086857.132
2008,NOX,2000555.13
2009,NOX,1871413.774
2010,NOX,1884213.878
2011,NOX,1784149.26
2012,NOX,1676139.316
2013,NOX,1637894.022
2014,NOX,1604243.779
2015,NOX,1543780.694
2016,NOX,1468550.991
2017,NOX,1475005.582
2018,NOX,1460457.388
2019,NOX,1415388.473
2020,NOX,1272522.099
2021,NOX,1242470.7
2022,NOX,1238693.245
2023,NOX,1228093.195
2024,NOX,1204881.04
1990,PM2.5,1450078.354
1991,PM2.5,1413091.661
1992,PM2.5,1361985.935
1993,PM2.5,1362443.1
1994,PM2.5,1368711.978
1995,PM2.5,1360012.791
1996,PM2.5,1336877.337
1997,PM2.5,1333994.61
1998,PM2.5,1298085.17
1999,PM2.5,1282984.096
2000,PM2.5,1274283.973
2001,PM2.5,1248083.24
2002,PM2.5,1187230.108
2003,PM2.5,1175501.321
2004,PM2.5,1148880.189
2005,PM2.5,1163531.886
2006,PM2.5,1107252.435
2007,PM2.5,1118134.837
2008,PM2.5,1141010.608
2009,PM2.5,1091375.713
2010,PM2.5,1119240.54
2011,PM2.5,1123619.554
2012,PM2.5,1164670.177
2013,PM2.5,1189483.194
2014,PM2.5,1212628.156
2015,PM2.5,1156670.324
2016,PM2.5,1093257.399
2017,PM2.5,1095942.797
2018,PM2.5,1123376.281
2019,PM2.5,1137402.691
2020,PM2.5,1059737.243
2021,PM2.5,1065867.033
2022,PM2.5,1076972.389
2023,PM2.5,1107795.58
2024,PM2.5,1125886.142
1990,SOx,2940241.467
1991,SOx,2717799.629
1992,SOx,2613543.226
1993,SOx,2512391.166
1994,SOx,2315463.326
1995,SOx,2444521.972
1996,SOx,2460421.759
1997,SOx,2414574.474
1998,SOx,2390719.006
1999,SOx,2320410.111
2000,SOx,2329663.318
2001,SOx,2309449.577
2002,SOx,2271418.771
2003,SOx,2198785.413
2004,SOx,2211025.214
2005,SOx,2095181.685
2006,SOx,1897138.462
2007,SOx,1841847.994
2008,SOx,1660555.277
2009,SOx,1395090.903
2010,SOx,1284589.14
2011,SOx,1191955.524
2012,SOx,1180021.405
2013,SOx,1163259.686
2014,SOx,1115257.386
2015,SOx,1054115.347
2016,SOx,1032139.552
2017,SOx,936258.0266
2018,SOx,791866.1439
2019,SOx,698689.9348
2020,SOx,639836.013
2021,SOx,625588.6271
2022,SOx,637660.3583
2023,SOx,593417.3977
2024,SOx,545456.7906
1990,VOC,2197952.654
1991,VOC,2173631.835
1992,VOC,2204120.651
1993,VOC,2296766.208
1994,VOC,2362971.721
1995,VOC,2427303.865
1996,VOC,2479544.816
1997,VOC,2473809.15
1998,VOC,2491247.219
1999,VOC,2453848.772
2000,VOC,2447225.028
2001,VOC,2375534.727
2002,VOC,2370713.449
2003,VOC,2316829.122
2004,VOC,2244410.29
2005,VOC,2253214.962
2006,VOC,2126493.916
2007,VOC,2056664.338
2008,VOC,1974947.106
2009,VOC,1830224.901
2010,VOC,1807878.057
2011,VOC,1729560.408
2012,VOC,1745877.316
2013,VOC,1779194.947
2014,VOC,1781948.001
2015,VOC,1686672.18
2016,VOC,1585650.748
2017,VOC,1575891.903
2018,VOC,1595811.628
2019,VOC,1536721.854
2020,VOC,1348624.59
2021,VOC,1365152.994
2022,VOC,1363362.553
2023,VOC,1353424.175
2024,VOC,1358205.663
