year,pollutant,metric,index
2009,NO2,average,100.0
2010,NO2,average,92.6
2011,NO2,average,91.0
2012,NO2,average,83.8
2013,NO2,average,86.9
2014,NO2,average,90.0
2015,NO2,average,86.6
2016,NO2,average,81.2
2017,NO2,average,83.2
2018,NO2,average,85.4
2019,NO2,average,86.4
2020,NO2,average,77.5
2021,NO2,average,77.1
2022,NO2,average,79.7
2023,NO2,average,75.5
2009,NO2,peak,100.0
2010,NO2,peak,91.9
2011,NO2,peak,87.3
2012,NO2,peak,82.5
2013,NO2,peak,82.5
2014,NO2,peak,81.7
2015,NO2,peak,78.3
2016,NO2,peak,74.0
2017,NO2,peak,75.8
2018,NO2,peak,75.5
2019,NO2,peak,73.9
2020,NO2,peak,64.3
2021,NO2,peak,65.8
2022,NO2,peak,67.1
2023,NO2,peak,65.5
2009,O3,average,100.0
2010,O3,average,103.8
2011,O3,average,104.0
2012,O3,average,105.5
2013,O3,average,103.3
2014,O3,average,103.3
2015,O3,average,103.9
2016,O3,average,101.7
2017,O3,average,105.5
2018,O3,average,106.3
2019,O3,average,103.1
2020,O3,average,102.2
2021,O3,average,106.4
2022,O3,average,104.6
2023,O3,average,106.9
2009,O3,peak,100.0
2010,O3,peak,102.9
2011,O3,peak,99.3
2012,O3,peak,104.7
2013,O3,peak,98.2
2014,O3,peak,94.3
2015,O3,peak,101.5
2016,O3,peak,98.0
2017,O3,peak,99.0
2018,O3,peak,103.0
2019,O3,peak,93.2
2020,O3,peak,94.0
2021,O3,peak,100.6
2022,O3,peak,94.2
2023,O3,peak,102.8
2009,PM2.5,average,100.0
2010,PM2.5,average,113.1
2011,PM2.5,average,106.7
2012,PM2.5,average,106.7
2013,PM2.5,average,118.7
2014,PM2.5,average,121.7
2015,PM2.5,average,122.6
2016,PM2.5,average,105.2
2017,PM2.5,average,116.6
2018,PM2.5,average,126.5
2019,PM2.5,average,105.0
2020,PM2.5,average,102.2
2021,PM2.5,average,113.6
2022,PM2.5,average,107.1
2023,PM2.5,average,162.0
2009,PM2.5,peak,100.0
2010,PM2.5,peak,133.4
2011,PM2.5,peak,107.7
2012,PM2.5,peak,105.6
2013,PM2.5,peak,112.5
2014,PM2.5,peak,124.7
2015,PM2.5,peak,128.5
2016,PM2.5,peak,108.7
2017,PM2.5,peak,149.6
2018,PM2.5,peak,182.4
2019,PM2.5,peak,101.1
2020,PM2.5,peak,112.2
2021,PM2.5,peak,139.9
2022,PM2.5,peak,110.5
2023,PM2.5,peak,266.9
2009,SO2,average,100.0
2010,SO2,average,100.3
2011,SO2,average,78.9
2012,SO2,average,84.3
2013,SO2,average,82.4
2014,SO2,average,72.5
2015,SO2,average,67.7
2016,SO2,average,69.3
2017,SO2,average,67.7
2018,SO2,average,65.7
2019,SO2,average,59.4
2020,SO2,average,60.8
2021,SO2,average,60.8
2022,SO2,average,59.9
2023,SO2,average,61.9
2009,SO2,peak,100.0
2010,SO2,peak,89.1
2011,SO2,peak,86.6
2012,SO2,peak,82.0
2013,SO2,peak,78.7
2014,SO2,peak,73.9
2015,SO2,peak,64.9
2016,SO2,peak,60.1
2017,SO2,peak,57.3
2018,SO2,peak,53.4
2019,SO2,peak,54.0
2020,SO2,peak,51.6
2021,SO2,peak,50.3
2022,SO2,peak,51.0
2023,SO2,peak,48.8
2009,VOC,average,100.0
2010,VOC,average,88.1
2011,VOC,average,87.7
2012,VOC,average,71.5
2013,VOC,average,72.3
2014,VOC,average,73.6
2015,VOC,average,73.8
2016,VOC,average,61.4
2017,VOC,average,70.0
2018,VOC,average,60.7
2019,VOC,average,62.6
2021,VOC,average,77.9
2022,VOC,average,66.3
2023,VOC,average,59.3
