year,departure_c
1948,-0.4
1949,-0.4
1950,-1.5
1951,-0.8
1952,0.6
1953,0.6
1954,-0.2
1955,-0.3
1956,-0.9
1957,-0.4
1958,0.4
1959,-0.6
1960,0.3
1961,-0.3
1962,-0.2
1963,0.1
1964,-0.6
1965,-0.7
1966,-0.3
1967,-0.5
1968,0.1
1969,0.3
1970,-0.3
1971,0.0
1972,-1.9
1973,0.7
1974,-0.7
1975,-0.1
1976,0.1
1977,1.0
1978,-0.5
1979,-0.2
1980,0.4
1981,2.0
1982,-1.0
1983,0.1
1984,0.3
1985,0.0
1986,0.1
1987,1.6
1988,0.8
1989,-0.2
1990,-0.1
1991,0.5
1992,-0.1
1993,0.5
1994,0.5
1995,0.6
1996,0.0
1997,0.6
1998,2.3
1999,1.7
2000,0.8
2001,1.8
2002,0.5
2003,1.1
2004,0.0
2005,1.6
2006,2.5
2007,0.9
2008,0.7
2009,0.8
2010,3.1
2011,1.4
2012,1.8
2013,0.8
2014,0.6
2015,1.3
2016,2.1
2017,1.6
2018,0.6
2019,1.1
2020,1.2
2021,2.1
2022,1.1
2023,2.9
2024,3.1
