city,year,month,temp
Alert,1950,7,4.8
Alert,1950,8,0.6
Alert,1950,9,-9.8
Alert,1950,10,-20.3
Alert,1950,11,-25.6
Alert,1950,12,-30.2
Alert,1951,1,-33.9
Alert,1951,2,-31.9
Alert,1951,3,-28.4
Alert,1951,4,-22.5
Alert,1951,5,-10.0
Alert,1951,6,0.3
Alert,1951,7,1.0
Alert,1951,8,-1.0
Alert,1951,9,-7.8
Alert,1951,10,-19.8
Alert,1951,11,-23.7
Alert,1951,12,-31.5
Alert,1952,1,-31.1
Alert,1952,2,-30.6
Alert,1952,3,-31.6
Alert,1952,4,-23.0
Alert,1952,5,-6.6
Alert,1952,6,-1.8
Alert,1952,7,2.8
Alert,1952,8,-0.5
Alert,1952,9,-9.6
Alert,1952,10,-17.9
Alert,1952,11,-24.6
Alert,1952,12,-23.9
Alert,1953,1,-28.7
Alert,1953,2,-31.0
Alert,1953,3,-30.2
Alert,1953,4,-16.2
Alert,1953,5,-10.1
Alert,1953,6,0.2
Alert,1953,7,4.1
Alert,1953,8,-0.9
Alert,1953,9,-7.9
Alert,1953,10,-19.1
Alert,1953,11,-23.2
Alert,1953,12,-28.0
Alert,1954,1,-31.7
Alert,1954,2,-32.7
Alert,1954,3,-33.3
Alert,1954,4,-23.0
Alert,1954,5,-8.6
Alert,1954,6,-1.4
Alert,1954,7,4.7
Alert,1954,8,2.2
Alert,1954,9,-6.5
Alert,1954,10,-18.9
Alert,1954,11,-23.7
Alert,1954,12,-28.8
Alert,1955,1,-28.4
Alert,1955,2,-32.5
Alert,1955,3,-31.7
Alert,1955,4,-22.2
Alert,1955,5,-13.5
Alert,1955,6,-0.9
Alert,1955,7,0.0
Alert,1955,8,0.2
Alert,1955,9,-8.4
Alert,1955,10,-13.9
Alert,1955,11,-24.8
Alert,1955,12,-29.4
Alert,1956,1,-31.5
Alert,1956,2,-29.3
Alert,1956,3,-32.6
Alert,1956,4,-19.6
Alert,1956,5,-15.7
Alert,1956,6,-1.4
Alert,1956,7,5.3
Alert,1956,8,0.5
Alert,1956,9,-12.0
Alert,1956,10,-20.9
Alert,1956,11,-24.8
Alert,1956,12,-25.0
Alert,1957,1,-32.1
Alert,1957,2,-27.4
Alert,1957,3,-26.7
Alert,1957,4,-25.9
Alert,1957,5,-11.5
Alert,1957,6,-0.3
Alert,1957,7,4.4
Alert,1957,8,0.5
Alert,1957,9,-9.3
Alert,1957,10,-16.9
Alert,1957,11,-25.9
Alert,1957,12,-33.2
Alert,1958,1,-23.7
Alert,1958,2,-32.0
Alert,1958,3,-27.9
Alert,1958,4,-25.8
Alert,1958,5,-8.4
Alert,1958,6,-0.4
Alert,1958,7,3.7
Alert,1958,8,0.7
Alert,1958,9,-7.6
Alert,1958,10,-17.8
Alert,1958,11,-27.0
Alert,1958,12,-26.8
Alert,1959,1,-29.4
Alert,1959,2,-30.3
Alert,1959,3,-30.2
Alert,1959,4,-21.1
Alert,1959,5,-11.6
Alert,1959,6,-1.2
Alert,1959,7,1.4
Alert,1959,8,-0.6
Alert,1959,9,-11.4
Alert,1959,10,-21.2
Alert,1959,11,-19.9
Alert,1959,12,-28.4
Alert,1960,1,-27.0
Alert,1960,2,-29.5
Alert,1960,3,-33.7
Alert,1960,4,-25.3
Alert,1960,5,-8.9
Alert,1960,6,-0.3
Alert,1960,7,4.2
Alert,1960,8,-0.1
Alert,1960,9,-8.3
Alert,1960,10,-18.6
Alert,1960,11,-24.9
Alert,1960,12,-28.0
Alert,1961,1,-30.3
Alert,1961,2,-32.2
Alert,1961,3,-34.0
Alert,1961,4,-22.8
Alert,1961,5,-14.2
Alert,1961,6,-2.1
Alert,1961,7,4.1
Alert,1961,8,-2.6
Alert,1961,9,-11.5
Alert,1961,10,-18.0
Alert,1961,11,-21.9
Alert,1961,12,-26.9
Alert,1962,1,-29.7
Alert,1962,2,-31.2
Alert,1962,3,-27.0
Alert,1962,4,-22.8
Alert,1962,5,-10.7
Alert,1962,6,0.5
Alert,1962,7,4.7
Alert,1962,8,1.0
Alert,1962,9,-9.6
Alert,1962,10,-19.0
Alert,1962,11,-23.2
Alert,1962,12,-26.3
Alert,1963,1,-30.6
Alert,1963,2,-28.0
Alert,1963,3,-30.9
Alert,1963,4,-20.4
Alert,1963,5,-12.6
Alert,1963,6,-3.3
Alert,1963,7,1.9
Alert,1963,8,1.6
Alert,1963,9,-11.1
Alert,1963,10,-17.2
Alert,1963,11,-23.0
Alert,1963,12,-26.1
Alert,1964,1,-31.1
Alert,1964,2,-31.1
Alert,1964,3,-29.5
Alert,1964,4,-24.7
Alert,1964,5,-12.3
Alert,1964,6,-0.2
Alert,1964,7,1.8
Alert,1964,8,0.8
Alert,1964,9,-10.7
Alert,1964,10,-19.3
Alert,1964,11,-27.0
Alert,1964,12,-27.9
Alert,1965,1,-29.5
Alert,1965,2,-28.7
Alert,1965,3,-28.9
Alert,1965,4,-23.6
Alert,1965,5,-9.0
Alert,1965,6,-3.0
Alert,1965,7,1.7
Alert,1965,8,-0.6
Alert,1965,9,-10.2
