city,season,year,temp,temp_max
Alert,Autumn,1950,-18.6,-15.0
Alert,Autumn,1951,-17.1,-14.0
Alert,Autumn,1952,-17.4,-14.4
Alert,Autumn,1953,-16.7,-13.8
Alert,Autumn,1954,-16.4,-13.1
Alert,Autumn,1955,-15.7,-12.6
Alert,Autumn,1956,-19.2,-16.1
Alert,Autumn,1957,-17.4,-14.3
Alert,Autumn,1958,-17.5,-14.6
Alert,Autumn,1959,-17.5,-14.0
Alert,Autumn,1960,-17.3,-14.2
Alert,Autumn,1961,-17.1,-13.5
Alert,Autumn,1962,-17.3,-13.9
Alert,Autumn,1963,-17.1,-13.8
Alert,Autumn,1964,-19.0,-16.2
Alert,Autumn,1965,-15.6,-12.2
Alert,Autumn,1966,-20.3,-17.4
Alert,Autumn,1967,-17.3,-14.1
Alert,Autumn,1968,-17.8,-14.8
Alert,Autumn,1969,-17.4,-14.1
Alert,Autumn,1970,-16.4,-12.8
Alert,Autumn,1971,-17.5,-14.6
Alert,Autumn,1972,-16.7,-13.4
Alert,Autumn,1973,-17.2,-13.7
Alert,Autumn,1974,-17.3,-13.6
Alert,Autumn,1975,-18.1,-14.4
Alert,Autumn,1976,-18.9,-15.8
Alert,Autumn,1977,-18.4,-15.2
Alert,Autumn,1978,-20.6,-17.6
Alert,Autumn,1979,-18.3,-15.5
Alert,Autumn,1980,-17.5,-14.2
Alert,Autumn,1981,-14.2,-11.1
Alert,Autumn,1982,-18.2,-15.2
Alert,Autumn,1983,-17.4,-14.4
Alert,Autumn,1984,-17.2,-14.3
Alert,Autumn,1985,-18.2,-15.1
Alert,Autumn,1986,-18.3,-15.3
Alert,Autumn,1987,-17.1,-14.2
Alert,Autumn,1988,-16.4,-13.3
Alert,Autumn,1989,-17.4,-14.0
Alert,Autumn,1990,-19.3,-16.1
Alert,Autumn,1991,-15.6,-12.5
Alert,Autumn,1992,-17.5,-14.5
Alert,Autumn,1993,-17.6,-14.6
Alert,Autumn,1994,-14.6,-11.6
Alert,Autumn,1995,-15.7,-12.4
Alert,Autumn,1996,-15.5,-12.2
Alert,Autumn,1997,-16.3,-12.8
Alert,Autumn,1998,-14.3,-11.2
Alert,Autumn,1999,-15.7,-12.9
Alert,Autumn,2000,-17.5,-14.1
Alert,Autumn,2001,-16.7,-13.4
Alert,Autumn,2002,-14.5,-11.0
Alert,Autumn,2003,-16.0,-12.7
Alert,Autumn,2004,-19.1,-15.6
Alert,Autumn,2005,-16.3,-12.7
Alert,Autumn,2006,-14.1,-11.0
Alert,Autumn,2007,-15.2,-11.8
Alert,Autumn,2008,-16.0,-12.7
Alert,Autumn,2009,-14.8,-11.5
Alert,Autumn,2010,-16.7,-13.1
Alert,Autumn,2011,-16.1,-13.3
Alert,Autumn,2012,-15.7,-12.5
Alert,Autumn,2013,-17.2,-13.8
Alert,Autumn,2014,-16.2,-12.9
Alert,Autumn,2015,-15.1,-11.9
Alert,Autumn,2016,-12.7,-9.4
Alert,Autumn,2017,-18.2,-14.6
Alert,Autumn,2018,-15.8,-13.0
Alert,Autumn,2019,-14.1,-10.9
Alert,Autumn,2020,-15.4,-12.4
Alert,Spring,1951,-20.3,-16.5
Alert,Spring,1952,-20.4,-16.9
Alert,Spring,1953,-18.8,-14.4
Alert,Spring,1954,-21.6,-17.8
Alert,Spring,1955,-22.5,-19.0
Alert,Spring,1956,-22.6,-19.3
Alert,Spring,1957,-21.4,-17.8
Alert,Spring,1958,-20.7,-17.4
Alert,Spring,1959,-21.0,-17.7
Alert,Spring,1960,-22.6,-19.7
Alert,Spring,1961,-23.7,-20.4
Alert,Spring,1962,-20.2,-16.7
Alert,Spring,1963,-21.3,-18.0
Alert,Spring,1964,-22.2,-18.5
Alert,Spring,1965,-20.5,-17.2
Alert,Spring,1966,-23.1,-20.2
Alert,Spring,1967,-18.7,-15.2
Alert,Spring,1968,-22.2,-18.9
Alert,Spring,1969,-22.2,-18.6
Alert,Spring,1970,-22.2,-19.1
Alert,Spring,1971,-19.6,-16.4
Alert,Spring,1972,-22.5,-19.5
Alert,Spring,1973,-23.6,-20.5
Alert,Spring,1974,-22.6,-19.2
Alert,Spring,1975,-22.7,-19.3
Alert,Spring,1976,-23.3,-20.2
Alert,Spring,1977,-23.0,-20.1
Alert,Spring,1978,-21.5,-18.2
Alert,Spring,1979,-20.9,-17.6
Alert,Spring,1980,-21.8,-18.7
Alert,Spring,1981,-20.7,-17.4
Alert,Spring,1982,-21.7,-18.6
Alert,Spring,1983,-21.0,-18.0
Alert,Spring,1984,-22.6,-19.3
Alert,Spring,1985,-23.2,-20.0
Alert,Spring,1986,-22.8,-19.9
Alert,Spring,1987,-24.3,-21.4
Alert,Spring,1988,-18.6,-15.4
Alert,Spring,1989,-22.9,-19.8
Alert,Spring,1990,-17.8,-14.7
Alert,Spring,1991,-18.9,-15.6
Alert,Spring,1992,-21.8,-18.0
Alert,Spring,1993,-20.8,-17.5
Alert,Spring,1994,-21.6,-18.2
Alert,Spring,1995,-18.3,-15.1
Alert,Spring,1996,-19.3,-15.9
Alert,Spring,1997,-19.3,-16.1
Alert,Spring,1998,-19.4,-16.0
Alert,Spring,1999,-20.2,-17.1
Alert,Spring,2000,-23.0,-19.6
Alert,Spring,2001,-23.5,-20.0
Alert,Spring,2002,-22.6,-19.2
Alert,Spring,2003,-23.1,-20.0
Alert,Spring,2004,-23.0,-19.5
Alert,Spring,2005,-20.5,-17.0
Alert,Spring,2006,-19.4,-15.3
Alert,Spring,2007,-21.5,-18.4
Alert,Spring,2008,-21.9,-18.7
Alert,Spring,2009,-23.5,-20.0
Alert,Spring,2010,-18.3,-14.7
Alert,Spring,2011,-20.1,-16.5
Alert,Spring,2012,-22.3,-18.6
Alert,Spring,2013,-21.1,-17.0
Alert,Spring,2015,-22.4,-19.2
Alert,Spring,2016,-21.7,-18.8
Alert,Spring,2017,-21.6,-18.4
Alert,Spring,2018,-21.9,-18.7
Alert,Spring,2019,-19.5,-16.4
Alert,Spring,2020,-18.9,-15.3
Alert,Summer,1951,0.1,2.3
Alert,Summer,1952,0.2,2.5
Alert,Summer,1953,1.1,3.8
Alert,Summer,1954,1.8,4.3
Alert,Summer,1955,-0.2,1.8
Alert,Summer,1956,1.5,4.4
Alert,Summer,1957,1.5,3.9
Alert,Summer,1958,1.3,3.2
Alert,Summer,1959,-0.1,1.7
Alert,Summer,1960,1.3,3.4
Alert,Summer,1961,-0.2,1.8
Alert,Summer,1962,2.1,4.7
Alert,Summer,1963,0.1,2.9
Alert,Summer,1964,0.8,3.1
Alert,Summer,1965,-0.6,1.4
Alert,Summer,1966,1.5,3.9
Alert,Summer,1967,1.0,3.6
Alert,Summer,1968,-0.1,1.7
Alert,Summer,1969,0.8,3.1
Alert,Summer,1970,-0.5,1.3
Alert,Summer,1971,0.9,3.3
Alert,Summer,1972,-0.6,1.1
Alert,Summer,1973,0.4,2.6
Alert,Summer,1974,0.5,3.0
Alert,Summer,1975,0.3,2.7
Alert,Summer,1976,-0.2,2.0
Alert,Summer,1977,-0.5,1.3
Alert,Summer,1978,1.1,3.5
Alert,Summer,1979,-0.9,1.0
Alert,Summer,1980,0.2,2.7
Alert,Summer,1981,1.0,3.4
Alert,Summer,1982,0.6,2.7
Alert,Summer,1983,0.1,2.1
Alert,Summer,1984,0.7,2.8
Alert,Summer,1985,0.5,2.8
Alert,Summer,1986,0.7,2.8
Alert,Summer,1987,0.7,2.7
Alert,Summer,1988,0.7,2.8
