year,sector,ghg_mt
1990,Agriculture,51.0
1991,Agriculture,51.1
1992,Agriculture,53.4
1993,Agriculture,54.8
1994,Agriculture,56.3
1995,Agriculture,58.9
1996,Agriculture,60.5
1997,Agriculture,61.3
1998,Agriculture,61.4
1999,Agriculture,61.5
2000,Agriculture,62.6
2001,Agriculture,62.5
2002,Agriculture,62.2
2003,Agriculture,64.0
2004,Agriculture,65.0
2005,Agriculture,66.2
2006,Agriculture,64.8
2007,Agriculture,64.7
2008,Agriculture,64.0
2009,Agriculture,61.1
2010,Agriculture,61.2
2011,Agriculture,61.8
2012,Agriculture,63.9
2013,Agriculture,65.5
2014,Agriculture,64.7
2015,Agriculture,66.3
2016,Agriculture,67.2
2017,Agriculture,67.5
2018,Agriculture,69.2
2019,Agriculture,69.4
2020,Agriculture,70.0
2021,Agriculture,69.5
2022,Agriculture,69.9
2023,Agriculture,69.1
2024,Agriculture,69.8
1990,Buildings,71.6
1991,Buildings,70.9
1992,Buildings,72.8
1993,Buildings,76.4
1994,Buildings,76.8
1995,Buildings,77.6
1996,Buildings,83.9
1997,Buildings,81.4
1998,Buildings,73.2
1999,Buildings,77.1
2000,Buildings,83.6
2001,Buildings,80.3
2002,Buildings,84.7
2003,Buildings,90.0
2004,Buildings,88.5
2005,Buildings,84.7
2006,Buildings,79.6
2007,Buildings,85.4
2008,Buildings,85.3
2009,Buildings,83.7
2010,Buildings,81.5
2011,Buildings,85.9
2012,Buildings,84.4
2013,Buildings,85.1
2014,Buildings,85.2
2015,Buildings,84.5
2016,Buildings,85.9
2017,Buildings,88.0
2018,Buildings,92.0
2019,Buildings,93.9
2020,Buildings,88.2
2021,Buildings,84.8
2022,Buildings,88.3
2023,Buildings,82.7
2024,Buildings,81.4
1990,Electricity,94.4
1991,Electricity,95.7
1992,Electricity,102.1
1993,Electricity,92.9
1994,Electricity,94.9
1995,Electricity,98.0
1996,Electricity,97.9
1997,Electricity,109.1
1998,Electricity,121.7
1999,Electricity,118.8
2000,Electricity,128.4
2001,Electricity,128.7
2002,Electricity,123.1
2003,Electricity,126.9
2004,Electricity,118.1
2005,Electricity,115.9
2006,Electricity,111.2
2007,Electricity,117.9
2008,Electricity,108.3
2009,Electricity,93.2
2010,Electricity,94.7
2011,Electricity,86.0
2012,Electricity,82.5
2013,Electricity,79.8
2014,Electricity,75.2
2015,Electricity,74.5
2016,Electricity,75.2
2017,Electricity,72.5
2018,Electricity,62.6
2019,Electricity,61.6
2020,Electricity,53.8
2021,Electricity,52.5
2022,Electricity,49.0
2023,Electricity,50.7
2024,Electricity,49.6
1990,Heavy industry,97.6
1991,Heavy industry,97.4
1992,Heavy industry,94.8
1993,Heavy industry,94.3
1994,Heavy industry,99.9
1995,Heavy industry,100.8
1996,Heavy industry,103.5
1997,Heavy industry,103.4
1998,Heavy industry,99.8
1999,Heavy industry,97.5
2000,Heavy industry,97.3
2001,Heavy industry,91.7
2002,Heavy industry,92.1
2003,Heavy industry,91.0
2004,Heavy industry,93.4
2005,Heavy industry,88.6
2006,Heavy industry,88.5
2007,Heavy industry,86.7
2008,Heavy industry,85.1
2009,Heavy industry,71.9
2010,Heavy industry,75.8
2011,Heavy industry,81.9
2012,Heavy industry,81.9
2013,Heavy industry,80.5
2014,Heavy industry,83.0
2015,Heavy industry,80.2
2016,Heavy industry,77.5
2017,Heavy industry,78.1
2018,Heavy industry,80.9
2019,Heavy industry,80.3
2020,Heavy industry,76.8
2021,Heavy industry,79.1
2022,Heavy industry,79.8
2023,Heavy industry,79.2
2024,Heavy industry,77.5
1990,Oil and gas,118.2
1991,Oil and gas,119.7
1992,Oil and gas,129.3
1993,Oil and gas,138.1
1994,Oil and gas,143.9
1995,Oil and gas,151.0
1996,Oil and gas,159.0
1997,Oil and gas,160.7
1998,Oil and gas,165.3
1999,Oil and gas,171.5
2000,Oil and gas,179.1
2001,Oil and gas,182.3
2002,Oil and gas,188.1
2003,Oil and gas,192.3
2004,Oil and gas,193.6
2005,Oil and gas,197.6
2006,Oil and gas,205.6
2007,Oil and gas,209.4
2008,Oil and gas,205.6
2009,Oil and gas,200.2
2010,Oil and gas,205.9
2011,Oil and gas,212.1
2012,Oil and gas,218.6
2013,Oil and gas,225.1
2014,Oil and gas,229.7
2015,Oil and gas,227.9
2016,Oil and gas,210.0
2017,Oil and gas,218.0
2018,Oil and gas,224.5
2019,Oil and gas,222.8
2020,Oil and gas,202.7
2021,Oil and gas,209.4
2022,Oil and gas,206.0
2023,Oil and gas,203.9
2024,Oil and gas,207.6
1990,Transport,117.7
1991,Transport,113.1
1992,Transport,115.2
1993,Transport,118.1
1994,Transport,124.2
1995,Transport,126.3
1996,Transport,129.0
1997,Transport,133.4
1998,Transport,136.5
1999,Transport,140.5
2000,Transport,141.7
2001,Transport,141.8
2002,Transport,143.9
2003,Transport,149.2
2004,Transport,153.9
2005,Transport,156.2
2006,Transport,157.0
2007,Transport,162.2
2008,Transport,162.2
2009,Transport,161.1
2010,Transport,165.6
2011,Transport,163.8
2012,Transport,164.2
2013,Transport,165.9
2014,Transport,163.2
2015,Transport,161.5
2016,Transport,161.3
2017,Transport,164.3
2018,Transport,168.8
2019,Transport,168.8
2020,Transport,141.3
2021,Transport,146.8
2022,Transport,153.2
2023,Transport,152.4
2024,Transport,151.4
1990,Waste and others,57.4
1991,Waste and others,55.2
1992,Waste and others,53.8
1993,Waste and others,51.9
1994,Waste and others,52.6
1995,Waste and others,54.5
1996,Waste and others,54.5
1997,Waste and others,55.5
1998,Waste and others,53.5
1999,Waste and others,54.4
2000,Waste and others,56.0
2001,Waste and others,54.1
2002,Waste and others,54.5
2003,Waste and others,53.8
2004,Waste and others,54.7
2005,Waste and others,53.8
2006,Waste and others,52.5
2007,Waste and others,52.3
2008,Waste and others,50.8
