city,pollutant,unit,year,value,n_stations
Abbotsford,CO,ppm,1999,0.3,1
Abbotsford,CO,ppm,2000,0.52,1
Abbotsford,CO,ppm,2001,0.44,1
Abbotsford,CO,ppm,2003,0.45,1
Abbotsford,CO,ppm,2004,0.39,1
Abbotsford,CO,ppm,2005,0.34,1
Abbotsford,CO,ppm,2006,0.33,1
Abbotsford,CO,ppm,2007,0.29,1
Abbotsford,CO,ppm,2008,0.29,1
Abbotsford,CO,ppm,2009,0.26,1
Abbotsford,CO,ppm,2010,0.23,1
Abbotsford,CO,ppm,2011,0.22,1
Abbotsford,CO,ppm,2012,0.22,1
Abbotsford,CO,ppm,2013,0.2,2
Abbotsford,CO,ppm,2014,0.19,2
Abbotsford,CO,ppm,2015,0.21,2
Abbotsford,CO,ppm,2016,0.18,2
Abbotsford,CO,ppm,2017,0.18,2
Abbotsford,CO,ppm,2018,0.18,2
Abbotsford,CO,ppm,2019,0.17,2
Abbotsford,CO,ppm,2020,0.18,2
Abbotsford,CO,ppm,2021,0.13,1
Abbotsford,CO,ppm,2022,0.14,1
Abbotsford,CO,ppm,2023,0.17,1
Abbotsford,CO,ppm,2024,0.18,1
Calgary,CO,ppm,1974,3.01,1
Calgary,CO,ppm,1975,2.17,2
Calgary,CO,ppm,1976,1.68,2
Calgary,CO,ppm,1977,1.86,2
Calgary,CO,ppm,1978,1.97,2
Calgary,CO,ppm,1979,1.04,1
Calgary,CO,ppm,1980,1.71,2
Calgary,CO,ppm,1981,1.68,2
Calgary,CO,ppm,1982,1.5,2
Calgary,CO,ppm,1983,1.59,2
Calgary,CO,ppm,1984,1.39,2
Calgary,CO,ppm,1985,1.25,2
Calgary,CO,ppm,1986,1.39,2
Calgary,CO,ppm,1987,1.22,2
Calgary,CO,ppm,1988,1.2,2
Calgary,CO,ppm,1989,1.08,2
Calgary,CO,ppm,1990,0.95,2
Calgary,CO,ppm,1991,1.07,3
Calgary,CO,ppm,1992,0.96,3
Calgary,CO,ppm,1993,0.92,3
Calgary,CO,ppm,1994,0.88,3
Calgary,CO,ppm,1995,0.87,3
Calgary,CO,ppm,1996,0.8,3
Calgary,CO,ppm,1997,0.8,3
Calgary,CO,ppm,1998,0.8,3
Calgary,CO,ppm,1999,0.69,3
Calgary,CO,ppm,2000,0.62,3
Calgary,CO,ppm,2001,0.57,3
Calgary,CO,ppm,2003,0.52,3
Calgary,CO,ppm,2004,0.46,3
Calgary,CO,ppm,2005,0.42,3
Calgary,CO,ppm,2006,0.39,3
Calgary,CO,ppm,2007,0.34,3
Calgary,CO,ppm,2008,0.33,2
Calgary,CO,ppm,2009,0.28,3
Calgary,CO,ppm,2010,0.29,3
Calgary,CO,ppm,2011,0.23,2
Calgary,CO,ppm,2012,0.23,2
Calgary,CO,ppm,2013,0.21,2
Calgary,CO,ppm,2014,0.23,2
Calgary,CO,ppm,2015,0.21,2
Calgary,CO,ppm,2016,0.19,3
Calgary,CO,ppm,2017,0.2,2
Calgary,CO,ppm,2018,0.27,2
Calgary,CO,ppm,2019,0.22,3
Calgary,CO,ppm,2020,0.21,3
Calgary,CO,ppm,2021,0.22,3
Calgary,CO,ppm,2022,0.2,3
Calgary,CO,ppm,2023,0.26,3
Calgary,CO,ppm,2024,0.24,3
Edmonton,CO,ppm,1974,1.35,2
Edmonton,CO,ppm,1975,1.39,3
Edmonton,CO,ppm,1976,1.34,3
Edmonton,CO,ppm,1977,1.31,3
Edmonton,CO,ppm,1978,1.24,3
Edmonton,CO,ppm,1979,1.81,3
Edmonton,CO,ppm,1980,1.81,3
Edmonton,CO,ppm,1981,1.59,3
Edmonton,CO,ppm,1982,1.28,3
Edmonton,CO,ppm,1983,1.27,3
Edmonton,CO,ppm,1984,1.19,3
Edmonton,CO,ppm,1985,1.06,3
Edmonton,CO,ppm,1986,1.13,3
Edmonton,CO,ppm,1987,1.25,3
Edmonton,CO,ppm,1988,1.11,3
Edmonton,CO,ppm,1989,1.13,3
Edmonton,CO,ppm,1990,1.01,3
Edmonton,CO,ppm,1991,0.99,3
Edmonton,CO,ppm,1992,0.92,3
Edmonton,CO,ppm,1993,0.9,3
Edmonton,CO,ppm,1994,0.79,3
Edmonton,CO,ppm,1995,0.75,3
Edmonton,CO,ppm,1996,0.64,3
Edmonton,CO,ppm,1997,0.59,3
Edmonton,CO,ppm,1998,0.69,3
Edmonton,CO,ppm,1999,0.6,3
Edmonton,CO,ppm,2000,0.6,3
Edmonton,CO,ppm,2001,0.56,3
Edmonton,CO,ppm,2003,0.49,3
Edmonton,CO,ppm,2004,0.42,3
Edmonton,CO,ppm,2005,0.39,3
Edmonton,CO,ppm,2006,0.31,3
Edmonton,CO,ppm,2007,0.3,3
Edmonton,CO,ppm,2008,0.29,3
Edmonton,CO,ppm,2009,0.25,3
Edmonton,CO,ppm,2010,0.31,3
Edmonton,CO,ppm,2011,0.24,3
Edmonton,CO,ppm,2012,0.24,3
Edmonton,CO,ppm,2013,0.19,3
Edmonton,CO,ppm,2014,0.23,3
Edmonton,CO,ppm,2015,0.22,3
Edmonton,CO,ppm,2016,0.23,3
Edmonton,CO,ppm,2017,0.26,3
Edmonton,CO,ppm,2018,0.26,3
Edmonton,CO,ppm,2019,0.25,3
Edmonton,CO,ppm,2020,0.22,3
Edmonton,CO,ppm,2021,0.24,3
Edmonton,CO,ppm,2022,0.2,3
Edmonton,CO,ppm,2023,0.29,3
Edmonton,CO,ppm,2024,0.25,3
Fredericton,CO,ppm,2000,0.41,1
Fredericton,CO,ppm,2001,0.36,1
Fredericton,CO,ppm,2003,0.22,1
Fredericton,CO,ppm,2004,0.12,1
Fredericton,CO,ppm,2005,0.14,1
Fredericton,CO,ppm,2006,0.21,1
Fredericton,CO,ppm,2007,0.2,1
Fredericton,CO,ppm,2008,0.13,1
Fredericton,CO,ppm,2010,0.12,1
Fredericton,CO,ppm,2011,0.23,1
Fredericton,CO,ppm,2012,0.09,1
Fredericton,CO,ppm,2013,0.24,1
Fredericton,CO,ppm,2014,0.22,1
Fredericton,CO,ppm,2015,0.23,1
Fredericton,CO,ppm,2016,0.21,1
Halifax,CO,ppm,1977,0.76,2
Halifax,CO,ppm,1978,0.76,2
Halifax,CO,ppm,1979,1.59,1
Halifax,CO,ppm,1980,1.93,1
Halifax,CO,ppm,1981,2.65,1
Halifax,CO,ppm,1984,1.46,1
Halifax,CO,ppm,1988,0.83,1
Halifax,CO,ppm,1989,0.95,1
Halifax,CO,ppm,1992,0.77,1
Halifax,CO,ppm,1993,0.74,1
Halifax,CO,ppm,1994,0.61,1
Halifax,CO,ppm,1995,0.64,1
Halifax,CO,ppm,1996,0.56,1
Halifax,CO,ppm,1998,0.56,1
Halifax,CO,ppm,2000,0.51,1
Halifax,CO,ppm,2001,0.55,1
Halifax,CO,ppm,2003,0.7,1
Halifax,CO,ppm,2004,0.42,1
Halifax,CO,ppm,2006,0.03,1
Halifax,CO,ppm,2011,0.16,1
Halifax,CO,ppm,2012,0.18,1
Halifax,CO,ppm,2013,0.24,1
Halifax,CO,ppm,2015,0.2,1
Halifax,CO,ppm,2016,0.18,1
Halifax,CO,ppm,2017,0.12,1
Halifax,CO,ppm,2018,0.16,1
Halifax,CO,ppm,2019,0.12,1
Halifax,CO,ppm,2020,0.11,1
Halifax,CO,ppm,2021,0.09,1
Halifax,CO,ppm,2022,0.13,1
Halifax,CO,ppm,2023,0.16,1
Halifax,CO,ppm,2024,0.13,1
Hamilton,CO,ppm,1974,1.81,1
Hamilton,CO,ppm,1975,1.44,1
Hamilton,CO,ppm,1976,1.4,1
Hamilton,CO,ppm,1977,1.43,1
Hamilton,CO,ppm,1978,1.25,1
Hamilton,CO,ppm,1979,1.43,1
Hamilton,CO,ppm,1980,0.94,1
Hamilton,CO,ppm,1981,1.15,1
Hamilton,CO,ppm,1982,1.09,1
Hamilton,CO,ppm,1983,0.85,1
Hamilton,CO,ppm,1984,0.85,1
Hamilton,CO,ppm,1985,0.74,2
Hamilton,CO,ppm,1986,0.66,2
Hamilton,CO,ppm,1987,0.73,2
Hamilton,CO,ppm,1988,0.91,2
Hamilton,CO,ppm,1989,1.17,1
Hamilton,CO,ppm,1990,1.19,1
Hamilton,CO,ppm,1991,1.07,1
Hamilton,CO,ppm,1992,1.2,1
Hamilton,CO,ppm,1993,1.11,1
Hamilton,CO,ppm,1994,0.86,1
Hamilton,CO,ppm,1995,0.63,1
Hamilton,CO,ppm,1996,1.02,1
Hamilton,CO,ppm,1997,0.69,1
Hamilton,CO,ppm,1998,1.09,1
Hamilton,CO,ppm,1999,0.86,1
Hamilton,CO,ppm,2000,0.77,1
Hamilton,CO,ppm,2001,0.68,1
Hamilton,CO,ppm,2004,0.43,1
Hamilton,CO,ppm,2005,0.31,1
Hamilton,CO,ppm,2006,0.33,1
Hamilton,CO,ppm,2007,0.22,1
Hamilton,CO,ppm,2008,0.19,1
Hamilton,CO,ppm,2009,0.2,1
Hamilton,CO,ppm,2010,0.23,1
Hamilton,CO,ppm,2011,0.23,1
Hamilton,CO,ppm,2012,0.26,1
Hamilton,CO,ppm,2013,0.26,1
Hamilton,CO,ppm,2014,0.26,1
Hamilton,CO,ppm,2015,0.25,1
Hamilton,CO,ppm,2016,0.24,1
Hamilton,CO,ppm,2017,0.24,1
Hamilton,CO,ppm,2018,0.24,1
Hamilton,CO,ppm,2019,0.25,1
Hamilton,CO,ppm,2020,0.22,1
Hamilton,CO,ppm,2021,0.23,1
Hamilton,CO,ppm,2024,0.24,1
Kelowna,CO,ppm,2001,0.24,1
Kelowna,CO,ppm,2003,0.29,1
Kelowna,CO,ppm,2004,0.4,1
Kelowna,CO,ppm,2005,0.39,1
Kelowna,CO,ppm,2006,0.31,1
Kelowna,CO,ppm,2007,0.27,1
Kelowna,CO,ppm,2008,0.26,1
Kelowna,CO,ppm,2009,0.24,1
Kelowna,CO,ppm,2010,0.31,1
Kelowna,CO,ppm,2011,0.22,1
Kelowna,CO,ppm,2012,0.23,1
Kelowna,CO,ppm,2013,0.19,1
Kelowna,CO,ppm,2014,0.23,1
Kelowna,CO,ppm,2015,0.27,1
Kelowna,CO,ppm,2016,0.24,1
Kelowna,CO,ppm,2017,0.25,1
Kelowna,CO,ppm,2018,0.26,1
Kelowna,CO,ppm,2020,0.23,1
Kelowna,CO,ppm,2021,0.28,1
Kelowna,CO,ppm,2022,0.17,1
Kelowna,CO,ppm,2023,0.22,1
Kelowna,CO,ppm,2024,0.18,1
Kitchener–Waterloo,CO,ppm,1978,1.44,1
Kitchener–Waterloo,CO,ppm,1979,1.04,1
Kitchener–Waterloo,CO,ppm,1980,1.08,1
Kitchener–Waterloo,CO,ppm,1981,1.05,1
Kitchener–Waterloo,CO,ppm,1982,1.01,1
Kitchener–Waterloo,CO,ppm,1983,1.0,1
Kitchener–Waterloo,CO,ppm,1984,0.91,1
Kitchener–Waterloo,CO,ppm,1985,0.79,1
Kitchener–Waterloo,CO,ppm,1986,0.85,1
Kitchener–Waterloo,CO,ppm,1987,0.79,1
Kitchener–Waterloo,CO,ppm,1988,0.87,1
Kitchener–Waterloo,CO,ppm,1989,1.08,1
Kitchener–Waterloo,CO,ppm,1991,0.57,1
Kitchener–Waterloo,CO,ppm,1992,0.43,1
Kitchener–Waterloo,CO,ppm,1993,0.42,1
Kitchener–Waterloo,CO,ppm,1994,0.34,1
Kitchener–Waterloo,CO,ppm,1995,0.26,1
Kitchener–Waterloo,CO,ppm,1996,0.37,1
Kitchener–Waterloo,CO,ppm,1997,0.18,1
Kitchener–Waterloo,CO,ppm,1998,0.29,1
Kitchener–Waterloo,CO,ppm,1999,0.36,1
Kitchener–Waterloo,CO,ppm,2000,0.42,1
Kitchener–Waterloo,CO,ppm,2001,0.38,1
Kitchener–Waterloo,CO,ppm,2003,0.56,1
London,CO,ppm,1975,1.49,1
London,CO,ppm,1976,1.74,1
London,CO,ppm,1977,1.13,1
London,CO,ppm,1978,0.86,1
London,CO,ppm,1979,0.41,1
London,CO,ppm,1980,0.3,1
London,CO,ppm,1981,0.38,1
London,CO,ppm,1982,0.33,1
London,CO,ppm,1983,0.34,1
London,CO,ppm,1984,0.43,1
London,CO,ppm,1985,0.25,1
London,CO,ppm,1986,0.27,1
London,CO,ppm,1987,0.35,1
London,CO,ppm,1988,0.49,1
London,CO,ppm,1989,0.9,1
London,CO,ppm,1990,0.61,1
London,CO,ppm,1991,0.68,1
London,CO,ppm,1992,0.6,1
London,CO,ppm,1993,0.62,1
London,CO,ppm,1994,0.51,1
London,CO,ppm,1996,0.03,1
London,CO,ppm,1997,0.3,1
London,CO,ppm,1998,0.11,1
London,CO,ppm,1999,0.29,1
London,CO,ppm,2000,0.16,1
London,CO,ppm,2001,0.12,1
London,CO,ppm,2003,0.65,1
London,CO,ppm,2004,0.46,1
London,CO,ppm,2005,0.17,1
London,CO,ppm,2006,0.19,1
London,CO,ppm,2007,0.16,1
London,CO,ppm,2008,0.16,1
London,CO,ppm,2009,0.16,1
London,CO,ppm,2010,0.2,1
Moncton,CO,ppm,1999,0.9,1
Moncton,CO,ppm,2000,0.48,1
Moncton,CO,ppm,2001,0.66,1
Moncton,CO,ppm,2003,0.47,1
Moncton,CO,ppm,2004,0.61,1
Moncton,CO,ppm,2005,0.34,1
Moncton,CO,ppm,2006,0.24,1
Moncton,CO,ppm,2007,0.24,1
Moncton,CO,ppm,2008,0.27,1
Moncton,CO,ppm,2009,0.26,1
