city,pollutant,unit,year,month,date,value
Abbotsford,CO,ppm,1998,10,1998-10-01,0.6
Abbotsford,CO,ppm,1998,11,1998-11-01,0.54
Abbotsford,CO,ppm,1998,12,1998-12-01,0.45
Abbotsford,CO,ppm,1999,1,1999-01-01,0.54
Abbotsford,CO,ppm,1999,2,1999-02-01,0.25
Abbotsford,CO,ppm,1999,3,1999-03-01,0.22
Abbotsford,CO,ppm,1999,4,1999-04-01,0.22
Abbotsford,CO,ppm,1999,5,1999-05-01,0.11
Abbotsford,CO,ppm,1999,6,1999-06-01,0.05
Abbotsford,CO,ppm,1999,7,1999-07-01,0.14
Abbotsford,CO,ppm,1999,8,1999-08-01,0.29
Abbotsford,CO,ppm,1999,9,1999-09-01,0.47
Abbotsford,CO,ppm,1999,10,1999-10-01,0.51
Abbotsford,CO,ppm,1999,11,1999-11-01,0.5
Abbotsford,CO,ppm,2000,1,2000-01-01,0.76
Abbotsford,CO,ppm,2000,2,2000-02-01,0.51
Abbotsford,CO,ppm,2000,3,2000-03-01,0.68
Abbotsford,CO,ppm,2000,4,2000-04-01,0.39
Abbotsford,CO,ppm,2000,5,2000-05-01,0.09
Abbotsford,CO,ppm,2000,6,2000-06-01,0.14
Abbotsford,CO,ppm,2000,7,2000-07-01,0.26
Abbotsford,CO,ppm,2000,8,2000-08-01,0.42
Abbotsford,CO,ppm,2000,9,2000-09-01,0.54
Abbotsford,CO,ppm,2000,10,2000-10-01,0.61
Abbotsford,CO,ppm,2000,11,2000-11-01,0.95
Abbotsford,CO,ppm,2000,12,2000-12-01,0.93
Abbotsford,CO,ppm,2001,1,2001-01-01,0.7
Abbotsford,CO,ppm,2001,2,2001-02-01,0.61
Abbotsford,CO,ppm,2001,3,2001-03-01,0.51
Abbotsford,CO,ppm,2001,4,2001-04-01,0.36
Abbotsford,CO,ppm,2001,5,2001-05-01,0.31
Abbotsford,CO,ppm,2001,6,2001-06-01,0.26
Abbotsford,CO,ppm,2001,7,2001-07-01,0.29
Abbotsford,CO,ppm,2001,8,2001-08-01,0.38
Abbotsford,CO,ppm,2001,9,2001-09-01,0.4
Abbotsford,CO,ppm,2001,10,2001-10-01,0.4
Abbotsford,CO,ppm,2001,11,2001-11-01,0.48
Abbotsford,CO,ppm,2001,12,2001-12-01,0.6
Abbotsford,CO,ppm,2003,1,2003-01-01,0.6
Abbotsford,CO,ppm,2003,2,2003-02-01,0.64
Abbotsford,CO,ppm,2003,3,2003-03-01,0.42
