country_code,year,co2_productivity,country_name
AUS,1990,2.29,Australia
AUS,1991,2.27,Australia
AUS,1992,2.33,Australia
AUS,1993,2.38,Australia
AUS,1994,2.45,Australia
AUS,1995,2.44,Australia
AUS,1996,2.44,Australia
AUS,1997,2.48,Australia
AUS,1998,2.45,Australia
AUS,1999,2.53,Australia
AUS,2000,2.54,Australia
AUS,2001,2.58,Australia
AUS,2002,2.6,Australia
AUS,2003,2.72,Australia
AUS,2004,2.71,Australia
AUS,2005,2.78,Australia
AUS,2006,2.84,Australia
AUS,2007,2.87,Australia
AUS,2008,2.85,Australia
AUS,2009,2.9,Australia
AUS,2010,2.97,Australia
AUS,2011,3.01,Australia
AUS,2012,3.1,Australia
AUS,2013,3.24,Australia
AUS,2014,3.37,Australia
AUS,2015,3.42,Australia
AUS,2016,3.53,Australia
AUS,2017,3.56,Australia
AUS,2018,3.69,Australia
AUS,2019,3.66,Australia
AUS,2020,3.95,Australia
AUS,2021,4.27,Australia
AUS,2022,4.42,Australia
AUS,2023,4.44,Australia
AUS,2024,4.4,Australia
CAN,1990,2.46,Canada
CAN,1991,2.44,Canada
CAN,1992,2.39,Canada
CAN,1993,2.47,Canada
CAN,1994,2.48,Canada
CAN,1995,2.49,Canada
CAN,1996,2.46,Canada
CAN,1997,2.48,Canada
CAN,1998,2.54,Canada
CAN,1999,2.62,Canada
CAN,2000,2.65,Canada
CAN,2001,2.74,Canada
CAN,2002,2.72,Canada
CAN,2003,2.66,Canada
CAN,2004,2.82,Canada
CAN,2005,2.84,Canada
CAN,2006,2.97,Canada
CAN,2007,2.87,Canada
CAN,2008,3.0,Canada
CAN,2009,3.06,Canada
CAN,2010,3.08,Canada
CAN,2011,3.11,Canada
CAN,2012,3.18,Canada
CAN,2013,3.2,Canada
CAN,2014,3.26,Canada
CAN,2015,3.32,Canada
CAN,2016,3.36,Canada
CAN,2017,3.4,Canada
CAN,2018,3.42,Canada
CAN,2019,3.52,Canada
CAN,2020,3.68,Canada
CAN,2021,3.85,Canada
CAN,2022,3.91,Canada
CAN,2023,3.96,Canada
CAN,2024,3.99,Canada
CHE,1990,9.95,Switzerland
CHE,1991,9.25,Switzerland
CHE,1992,9.21,Switzerland
CHE,1993,9.65,Switzerland
CHE,1994,10.03,Switzerland
CHE,1995,9.84,Switzerland
CHE,1996,9.71,Switzerland
CHE,1997,10.19,Switzerland
CHE,1998,10.13,Switzerland
CHE,1999,10.23,Switzerland
CHE,2000,10.88,Switzerland
CHE,2001,10.69,Switzerland
CHE,2002,11.07,Switzerland
CHE,2003,10.73,Switzerland
CHE,2004,10.93,Switzerland
CHE,2005,11.11,Switzerland
CHE,2006,11.67,Switzerland
CHE,2007,12.7,Switzerland
CHE,2008,12.74,Switzerland
CHE,2009,12.84,Switzerland
CHE,2010,12.8,Switzerland
CHE,2011,14.37,Switzerland
CHE,2012,14.0,Switzerland
CHE,2013,13.9,Switzerland
CHE,2014,15.65,Switzerland
CHE,2015,16.14,Switzerland
CHE,2016,16.3,Switzerland
CHE,2017,16.94,Switzerland
CHE,2018,18.0,Switzerland
CHE,2019,18.27,Switzerland
CHE,2020,19.12,Switzerland
CHE,2021,19.32,Switzerland
CHE,2022,21.92,Switzerland
CHE,2023,22.59,Switzerland
CHE,2024,22.47,Switzerland
DEU,1990,3.48,Germany
DEU,1991,3.75,Germany
DEU,1992,4.0,Germany
DEU,1993,3.98,Germany
DEU,1994,4.14,Germany
DEU,1995,4.21,Germany
DEU,1996,4.1,Germany
DEU,1997,4.33,Germany
DEU,1998,4.46,Germany
DEU,1999,4.75,Germany
DEU,2000,4.91,Germany
DEU,2001,4.88,Germany
DEU,2002,4.95,Germany
DEU,2003,4.91,Germany
DEU,2004,5.07,Germany
DEU,2005,5.24,Germany
DEU,2006,5.36,Germany
DEU,2007,5.75,Germany
DEU,2008,5.75,Germany
DEU,2009,5.84,Germany
DEU,2010,5.78,Germany
DEU,2011,6.23,Germany
DEU,2012,6.14,Germany
DEU,2013,6.02,Germany
DEU,2014,6.49,Germany
DEU,2015,6.53,Germany
DEU,2016,6.63,Germany
DEU,2017,6.96,Germany
DEU,2018,7.27,Germany
DEU,2019,7.89,Germany
DEU,2020,8.23,Germany
DEU,2021,8.17,Germany
DEU,2022,8.45,Germany
DEU,2023,9.32,Germany
DEU,2024,9.92,Germany
DNK,1990,4.45,Denmark
DNK,1991,3.76,Denmark
DNK,1992,4.24,Denmark
DNK,1993,4.06,Denmark
DNK,1994,4.01,Denmark
DNK,1995,4.36,Denmark
DNK,1996,3.65,Denmark
DNK,1997,4.36,Denmark
DNK,1998,4.77,Denmark
DNK,1999,5.19,Denmark
DNK,2000,5.81,Denmark
DNK,2001,5.69,Denmark
DNK,2002,5.75,Denmark
DNK,2003,5.23,Denmark
DNK,2004,5.97,Denmark
DNK,2005,6.53,Denmark
DNK,2006,5.83,Denmark
DNK,2007,6.43,Denmark
DNK,2008,6.79,Denmark
DNK,2009,6.7,Denmark
DNK,2010,6.75,Denmark
DNK,2011,7.69,Denmark
DNK,2012,8.71,Denmark
DNK,2013,8.44,Denmark
DNK,2014,9.57,Denmark
DNK,2015,10.42,Denmark
DNK,2016,10.31,Denmark
DNK,2017,11.35,Denmark
DNK,2018,11.54,Denmark
DNK,2019,13.14,Denmark
DNK,2020,14.08,Denmark
DNK,2021,14.13,Denmark
DNK,2022,15.0,Denmark
DNK,2023,16.74,Denmark
DNK,2024,18.38,Denmark
FIN,1990,3.46,Finland
FIN,1991,3.21,Finland
FIN,1992,3.27,Finland
FIN,1993,3.17,Finland
FIN,1994,2.93,Finland
FIN,1995,3.27,Finland
FIN,1996,3.04,Finland
FIN,1997,3.34,Finland
FIN,1998,3.73,Finland
FIN,1999,3.95,Finland
FIN,2000,4.33,Finland
FIN,2001,3.99,Finland
FIN,2002,3.91,Finland
FIN,2003,3.52,Finland
FIN,2004,3.89,Finland
FIN,2005,4.89,Finland
FIN,2006,4.2,Finland
FIN,2007,4.55,Finland
FIN,2008,5.29,Finland
FIN,2009,5.05,Finland
FIN,2010,4.53,Finland
FIN,2011,5.27,Finland
FIN,2012,5.79,Finland
FIN,2013,5.65,Finland
FIN,2014,6.11,Finland
FIN,2015,6.63,Finland
FIN,2016,6.37,Finland
FIN,2017,6.98,Finland
FIN,2018,6.88,Finland
FIN,2019,7.51,Finland
FIN,2020,8.28,Finland
FIN,2021,8.54,Finland
FIN,2022,9.13,Finland
FIN,2023,10.22,Finland
FIN,2024,11.07,Finland
FRA,1990,6.59,France
FRA,1991,6.22,France
FRA,1992,6.51,France
FRA,1993,6.83,France
FRA,1994,7.1,France
FRA,1995,7.1,France
FRA,1996,6.88,France
FRA,1997,7.22,France
FRA,1998,7.04,France
FRA,1999,7.39,France
FRA,2000,7.73,France
FRA,2001,7.79,France
FRA,2002,8.0,France
FRA,2003,7.95,France
FRA,2004,8.16,France
FRA,2005,8.26,France
FRA,2006,8.68,France
FRA,2007,9.11,France
FRA,2008,9.25,France
FRA,2009,9.34,France
