country_code,year,co2_per_capita,country_name
AUS,1990,15.15,Australia
AUS,1991,15.04,Australia
AUS,1992,15.1,Australia
AUS,1993,15.18,Australia
AUS,1994,15.36,Australia
AUS,1995,15.77,Australia
AUS,1996,16.13,Australia
AUS,1997,16.38,Australia
AUS,1998,17.26,Australia
AUS,1999,17.39,Australia
AUS,2000,17.49,Australia
AUS,2001,17.61,Australia
AUS,2002,17.8,Australia
AUS,2003,17.58,Australia
AUS,2004,18.05,Australia
AUS,2005,17.95,Australia
AUS,2006,17.95,Australia
AUS,2007,18.12,Australia
AUS,2008,17.92,Australia
AUS,2009,17.89,Australia
AUS,2010,17.7,Australia
AUS,2011,17.35,Australia
AUS,2012,17.1,Australia
AUS,2013,16.52,Australia
AUS,2014,15.86,Australia
AUS,2015,15.81,Australia
AUS,2016,15.87,Australia
AUS,2017,15.68,Australia
AUS,2018,15.36,Australia
AUS,2019,15.04,Australia
AUS,2020,14.34,Australia
AUS,2021,13.91,Australia
AUS,2022,13.54,Australia
AUS,2023,13.44,Australia
AUS,2024,13.05,Australia
CAN,1990,14.74,Canada
CAN,1991,14.34,Canada
CAN,1992,14.63,Canada
CAN,1993,14.36,Canada
CAN,1994,14.74,Canada
CAN,1995,14.91,Canada
CAN,1996,15.23,Canada
CAN,1997,15.56,Canada
CAN,1998,15.65,Canada
CAN,1999,15.83,Canada
CAN,2000,16.32,Canada
CAN,2001,15.91,Canada
CAN,2002,16.34,Canada
CAN,2003,16.81,Canada
CAN,2004,16.19,Canada
CAN,2005,16.44,Canada
CAN,2006,16.0,Canada
CAN,2007,16.72,Canada
CAN,2008,15.99,Canada
CAN,2009,15.02,Canada
CAN,2010,15.26,Canada
CAN,2011,15.43,Canada
CAN,2012,15.19,Canada
CAN,2013,15.27,Canada
CAN,2014,15.26,Canada
CAN,2015,14.96,Canada
CAN,2016,14.78,Canada
CAN,2017,14.87,Canada
CAN,2018,14.96,Canada
CAN,2019,14.62,Canada
CAN,2020,13.14,Canada
CAN,2021,13.23,Canada
CAN,2022,13.48,Canada
CAN,2023,13.31,Canada
CAN,2024,13.28,Canada
CHE,1990,6.07,Switzerland
CHE,1991,6.39,Switzerland
CHE,1992,6.35,Switzerland
CHE,1993,5.99,Switzerland
