country_code,year,pct_above_who,country_name
AUS,1990,98.75,Australia
AUS,1995,98.04,Australia
AUS,2000,98.92,Australia
AUS,2001,99.17,Australia
AUS,2002,99.13,Australia
AUS,2003,98.86,Australia
AUS,2004,98.78,Australia
AUS,2005,98.83,Australia
AUS,2006,98.66,Australia
AUS,2007,98.26,Australia
AUS,2008,98.73,Australia
AUS,2009,99.17,Australia
AUS,2010,99.11,Australia
AUS,2011,99.13,Australia
AUS,2012,99.18,Australia
AUS,2013,99.13,Australia
AUS,2014,99.09,Australia
AUS,2015,98.81,Australia
AUS,2016,99.14,Australia
AUS,2017,99.15,Australia
AUS,2018,99.2,Australia
AUS,2019,99.21,Australia
AUS,2020,98.97,Australia
CAN,1990,98.38,Canada
CAN,1995,98.37,Canada
CAN,2000,98.87,Canada
CAN,2001,98.7,Canada
CAN,2002,98.59,Canada
CAN,2003,99.26,Canada
CAN,2004,98.84,Canada
CAN,2005,98.18,Canada
CAN,2006,98.5,Canada
CAN,2007,97.82,Canada
CAN,2008,97.47,Canada
CAN,2009,94.41,Canada
CAN,2010,95.74,Canada
CAN,2011,90.98,Canada
CAN,2012,93.3,Canada
CAN,2013,93.14,Canada
CAN,2014,92.74,Canada
CAN,2015,91.78,Canada
CAN,2016,77.52,Canada
CAN,2017,90.63,Canada
CAN,2018,89.8,Canada
CAN,2019,74.59,Canada
CAN,2020,80.81,Canada
CHE,1990,99.99,Switzerland
CHE,1995,99.99,Switzerland
CHE,2000,99.99,Switzerland
CHE,2001,99.99,Switzerland
CHE,2002,99.99,Switzerland
CHE,2003,99.99,Switzerland
CHE,2004,99.94,Switzerland
CHE,2005,99.94,Switzerland
CHE,2006,99.95,Switzerland
CHE,2007,99.94,Switzerland
CHE,2008,99.94,Switzerland
CHE,2009,99.94,Switzerland
CHE,2010,99.94,Switzerland
CHE,2011,99.94,Switzerland
CHE,2012,99.95,Switzerland
CHE,2013,99.93,Switzerland
CHE,2014,99.92,Switzerland
CHE,2015,99.93,Switzerland
CHE,2016,99.92,Switzerland
CHE,2017,99.89,Switzerland
CHE,2018,99.89,Switzerland
CHE,2019,99.78,Switzerland
CHE,2020,99.71,Switzerland
DEU,1990,99.98,Germany
DEU,1995,99.98,Germany
DEU,2000,99.98,Germany
DEU,2001,99.98,Germany
DEU,2002,99.98,Germany
DEU,2003,99.98,Germany
DEU,2004,99.98,Germany
DEU,2005,99.98,Germany
DEU,2006,99.98,Germany
DEU,2007,99.98,Germany
DEU,2008,99.98,Germany
DEU,2009,99.98,Germany
DEU,2010,99.98,Germany
DEU,2011,99.98,Germany
DEU,2012,99.98,Germany
DEU,2013,99.98,Germany
DEU,2014,99.98,Germany
DEU,2015,99.98,Germany
DEU,2016,99.98,Germany
DEU,2017,99.98,Germany
DEU,2018,99.98,Germany
DEU,2019,99.98,Germany
DEU,2020,99.98,Germany
DNK,1990,99.22,Denmark
DNK,1995,99.21,Denmark
DNK,2000,99.2,Denmark
DNK,2001,99.2,Denmark
DNK,2002,99.2,Denmark
DNK,2003,99.2,Denmark
DNK,2004,99.2,Denmark
DNK,2005,99.19,Denmark
DNK,2006,99.19,Denmark
DNK,2007,99.19,Denmark
DNK,2008,99.19,Denmark
DNK,2009,99.19,Denmark
