country_code,year,pm25,country_name
AUS,1990,7.17,Australia
AUS,1995,7.01,Australia
AUS,2000,7.15,Australia
AUS,2001,7.29,Australia
AUS,2002,7.36,Australia
AUS,2003,7.67,Australia
AUS,2004,6.81,Australia
AUS,2005,6.8,Australia
AUS,2006,7.37,Australia
AUS,2007,7.04,Australia
AUS,2008,6.92,Australia
AUS,2009,7.65,Australia
AUS,2010,7.3,Australia
AUS,2011,7.18,Australia
AUS,2012,7.39,Australia
AUS,2013,7.3,Australia
AUS,2014,7.26,Australia
AUS,2015,7.06,Australia
AUS,2016,7.09,Australia
AUS,2017,7.29,Australia
AUS,2018,7.59,Australia
AUS,2019,9.17,Australia
AUS,2020,8.11,Australia
CAN,1990,10.0,Canada
CAN,1995,9.83,Canada
CAN,2000,9.48,Canada
CAN,2001,9.63,Canada
CAN,2002,9.43,Canada
CAN,2003,9.53,Canada
CAN,2004,8.73,Canada
CAN,2005,9.28,Canada
CAN,2006,8.86,Canada
CAN,2007,8.55,Canada
CAN,2008,8.27,Canada
CAN,2009,7.37,Canada
CAN,2010,7.55,Canada
CAN,2011,7.15,Canada
CAN,2012,7.35,Canada
CAN,2013,7.03,Canada
CAN,2014,7.15,Canada
CAN,2015,6.89,Canada
CAN,2016,6.21,Canada
CAN,2017,6.82,Canada
CAN,2018,6.87,Canada
CAN,2019,6.02,Canada
CAN,2020,6.35,Canada
CHE,1990,18.67,Switzerland
CHE,1995,17.98,Switzerland
CHE,2000,16.18,Switzerland
CHE,2001,15.4,Switzerland
CHE,2002,14.99,Switzerland
CHE,2003,16.26,Switzerland
CHE,2004,13.78,Switzerland
CHE,2005,14.24,Switzerland
CHE,2006,15.21,Switzerland
CHE,2007,13.64,Switzerland
CHE,2008,13.32,Switzerland
CHE,2009,14.11,Switzerland
CHE,2010,13.16,Switzerland
CHE,2011,13.76,Switzerland
CHE,2012,12.6,Switzerland
CHE,2013,12.36,Switzerland
CHE,2014,10.55,Switzerland
CHE,2015,11.63,Switzerland
CHE,2016,10.58,Switzerland
CHE,2017,9.86,Switzerland
CHE,2018,10.08,Switzerland
CHE,2019,9.39,Switzerland
CHE,2020,9.0,Switzerland
DEU,1990,21.77,Germany
DEU,1995,20.45,Germany
DEU,2000,18.14,Germany
DEU,2001,17.06,Germany
DEU,2002,17.69,Germany
DEU,2003,18.37,Germany
DEU,2004,16.22,Germany
DEU,2005,16.55,Germany
DEU,2006,17.35,Germany
DEU,2007,16.02,Germany
DEU,2008,15.11,Germany
DEU,2009,15.22,Germany
DEU,2010,16.18,Germany
DEU,2011,15.71,Germany
