country_code,country_name,year,co2_per_capita
CAN,Canada,1950,11.216
CAN,Canada,1951,11.551
CAN,Canada,1952,11.007
CAN,Canada,1953,10.781
CAN,Canada,1954,10.638
CAN,Canada,1955,10.775
CAN,Canada,1956,11.745
CAN,Canada,1957,10.986
CAN,Canada,1958,10.65
CAN,Canada,1959,10.532
CAN,Canada,1960,10.767
CAN,Canada,1961,10.623
CAN,Canada,1962,11.12
CAN,Canada,1963,11.121
CAN,Canada,1964,12.296
CAN,Canada,1965,12.797
CAN,Canada,1966,12.919
CAN,Canada,1967,13.8
CAN,Canada,1968,14.626
CAN,Canada,1969,14.599
CAN,Canada,1970,15.916
CAN,Canada,1971,16.091
CAN,Canada,1972,17.13
CAN,Canada,1973,16.937
CAN,Canada,1974,17.071
CAN,Canada,1975,17.141
CAN,Canada,1976,17.009
CAN,Canada,1977,17.184
CAN,Canada,1978,17.329
CAN,Canada,1979,18.223
CAN,Canada,1980,18.05
CAN,Canada,1981,17.292
CAN,Canada,1982,16.486
CAN,Canada,1983,16.068
CAN,Canada,1984,16.565
CAN,Canada,1985,16.266
CAN,Canada,1986,15.441
CAN,Canada,1987,16.238
CAN,Canada,1988,16.922
CAN,Canada,1989,16.915
CAN,Canada,1990,16.482
CAN,Canada,1991,15.974
CAN,Canada,1992,16.259
CAN,Canada,1993,16.096
CAN,Canada,1994,16.415
CAN,Canada,1995,16.678
CAN,Canada,1996,17.058
CAN,Canada,1997,17.366
CAN,Canada,1998,17.462
CAN,Canada,1999,17.774
CAN,Canada,2000,18.344
CAN,Canada,2001,17.908
CAN,Canada,2002,17.893
CAN,Canada,2003,18.255
CAN,Canada,2004,17.935
CAN,Canada,2005,17.583
CAN,Canada,2006,17.287
CAN,Canada,2007,17.828
CAN,Canada,2008,17.167
CAN,Canada,2009,15.997
CAN,Canada,2010,16.209
CAN,Canada,2011,16.288
CAN,Canada,2012,16.086
CAN,Canada,2013,16.11
CAN,Canada,2014,15.854
CAN,Canada,2015,15.655
CAN,Canada,2016,15.231
CAN,Canada,2017,15.395
CAN,Canada,2018,15.42
CAN,Canada,2019,15.325
CAN,Canada,2020,13.733
CAN,Canada,2021,13.977
CAN,Canada,2022,14.107
CAN,Canada,2023,13.88
CAN,Canada,2024,13.42
CHN,China,1950,0.145
CHN,China,1951,0.184
CHN,China,1952,0.227
CHN,China,1953,0.232
CHN,China,1954,0.273
CHN,China,1955,0.316
CHN,China,1956,0.35
CHN,China,1957,0.406
CHN,China,1958,0.814
CHN,China,1959,1.103
CHN,China,1960,1.22
CHN,China,1961,0.87
CHN,China,1962,0.691
CHN,China,1963,0.667
CHN,China,1964,0.654
CHN,China,1965,0.692
CHN,China,1966,0.74
CHN,China,1967,0.605
CHN,China,1968,0.634
CHN,China,1969,0.758
CHN,China,1970,0.981
CHN,China,1971,1.077
CHN,China,1972,1.122
CHN,China,1973,1.142
CHN,China,1974,1.142
CHN,China,1975,1.291
CHN,China,1976,1.318
CHN,China,1977,1.421
CHN,China,1978,1.561
CHN,China,1979,1.574
CHN,China,1980,1.52
CHN,China,1981,1.48
CHN,China,1982,1.585
CHN,China,1983,1.646
CHN,China,1984,1.767
CHN,China,1985,1.884
CHN,China,1986,1.953
CHN,China,1987,2.059
CHN,China,1988,2.174
CHN,China,1989,2.171
CHN,China,1990,2.153
CHN,China,1991,2.237
CHN,China,1992,2.306
CHN,China,1993,2.434
CHN,China,1994,2.559
CHN,China,1995,2.747
CHN,China,1996,2.843
CHN,China,1997,2.83
CHN,China,1998,2.682
CHN,China,1999,2.817
CHN,China,2000,2.87
CHN,China,2001,2.912
CHN,China,2002,3.185
CHN,China,2003,3.735
CHN,China,2004,4.002
CHN,China,2005,4.49
CHN,China,2006,4.921
CHN,China,2007,5.261
CHN,China,2008,5.617
CHN,China,2009,5.871
CHN,China,2010,6.37
CHN,China,2011,6.999
CHN,China,2012,7.132
CHN,China,2013,7.21
CHN,China,2014,7.188
CHN,China,2015,7.061
CHN,China,2016,6.943
CHN,China,2017,7.08
CHN,China,2018,7.292
CHN,China,2019,7.526
CHN,China,2020,7.641
CHN,China,2021,7.911
CHN,China,2022,8.218
CHN,China,2023,8.556
CHN,China,2024,8.658
IND,India,1950,0.176
IND,India,1951,0.18
IND,India,1952,0.186
IND,India,1953,0.185
IND,India,1954,0.191
IND,India,1955,0.203
IND,India,1956,0.206
IND,India,1957,0.226
IND,India,1958,0.23
IND,India,1959,0.238
IND,India,1960,0.255
IND,India,1961,0.27
IND,India,1962,0.29
IND,India,1963,0.304
IND,India,1964,0.291
IND,India,1965,0.314
IND,India,1966,0.318
IND,India,1967,0.312
IND,India,1968,0.333
