country_code,country_name,year,co2_per_gdp
AUS,Australia,1820,0.022
AUS,Australia,1821,0.011
AUS,Australia,1822,0.014
AUS,Australia,1823,0.016
AUS,Australia,1824,0.015
AUS,Australia,1825,0.009
AUS,Australia,1826,0.019
AUS,Australia,1827,0.017
AUS,Australia,1828,0.011
AUS,Australia,1829,0.017
AUS,Australia,1830,0.013
AUS,Australia,1831,0.003
AUS,Australia,1832,0.023
AUS,Australia,1833,0.021
AUS,Australia,1834,0.025
AUS,Australia,1835,0.03
AUS,Australia,1836,0.03
AUS,Australia,1837,0.036
AUS,Australia,1838,0.038
AUS,Australia,1839,0.048
AUS,Australia,1840,0.052
AUS,Australia,1841,0.066
AUS,Australia,1842,0.079
AUS,Australia,1843,0.044
AUS,Australia,1844,0.034
AUS,Australia,1845,0.031
AUS,Australia,1846,0.048
AUS,Australia,1847,0.042
AUS,Australia,1848,0.039
AUS,Australia,1849,0.04
AUS,Australia,1850,0.059
AUS,Australia,1851,0.045
AUS,Australia,1852,0.034
AUS,Australia,1853,0.04
AUS,Australia,1854,0.049
AUS,Australia,1855,0.055
AUS,Australia,1856,0.058
AUS,Australia,1857,0.067
AUS,Australia,1858,0.075
AUS,Australia,1859,0.08
AUS,Australia,1860,0.098
AUS,Australia,1861,0.092
AUS,Australia,1862,0.13
AUS,Australia,1863,0.116
AUS,Australia,1864,0.131
AUS,Australia,1865,0.142
AUS,Australia,1866,0.176
AUS,Australia,1867,0.152
AUS,Australia,1868,0.179
AUS,Australia,1869,0.17
AUS,Australia,1870,0.151
AUS,Australia,1871,0.164
AUS,Australia,1872,0.168
AUS,Australia,1873,0.179
AUS,Australia,1874,0.191
AUS,Australia,1875,0.173
AUS,Australia,1876,0.175
AUS,Australia,1877,0.185
AUS,Australia,1878,0.182
AUS,Australia,1879,0.181
AUS,Australia,1880,0.161
AUS,Australia,1881,0.18
AUS,Australia,1882,0.227
AUS,Australia,1883,0.238
AUS,Australia,1884,0.258
AUS,Australia,1885,0.261
AUS,Australia,1886,0.255
AUS,Australia,1887,0.24
AUS,Australia,1888,0.266
AUS,Australia,1889,0.273
AUS,Australia,1890,0.247
AUS,Australia,1891,0.29
AUS,Australia,1892,0.31
AUS,Australia,1893,0.293
AUS,Australia,1894,0.32
AUS,Australia,1895,0.351
AUS,Australia,1896,0.346
AUS,Australia,1897,0.404
AUS,Australia,1898,0.377
AUS,Australia,1899,0.385
AUS,Australia,1900,0.425
AUS,Australia,1901,0.493
AUS,Australia,1902,0.486
AUS,Australia,1903,0.443
AUS,Australia,1904,0.427
AUS,Australia,1905,0.441
AUS,Australia,1906,0.492
AUS,Australia,1907,0.51
AUS,Australia,1908,0.535
AUS,Australia,1909,0.429
AUS,Australia,1910,0.487
AUS,Australia,1911,0.533
AUS,Australia,1912,0.56
AUS,Australia,1913,0.575
AUS,Australia,1914,0.63
AUS,Australia,1915,0.574
AUS,Australia,1916,0.515
AUS,Australia,1917,0.564
AUS,Australia,1918,0.633
AUS,Australia,1919,0.568
AUS,Australia,1920,0.646
AUS,Australia,1921,0.556
AUS,Australia,1922,0.554
AUS,Australia,1923,0.545
AUS,Australia,1924,0.561
AUS,Australia,1925,0.563
AUS,Australia,1926,0.549
AUS,Australia,1927,0.572
AUS,Australia,1928,0.53
AUS,Australia,1929,0.501
AUS,Australia,1930,0.534
AUS,Australia,1931,0.498
AUS,Australia,1932,0.482
AUS,Australia,1933,0.484
AUS,Australia,1934,0.486
AUS,Australia,1935,0.507
AUS,Australia,1936,0.528
AUS,Australia,1937,0.539
AUS,Australia,1938,0.52
AUS,Australia,1939,0.585
AUS,Australia,1940,0.511
AUS,Australia,1941,0.511
AUS,Australia,1942,0.49
AUS,Australia,1943,0.464
AUS,Australia,1944,0.478
