country_code,country_name,year,consumption_co2_pc
AUS,Australia,1990,14.287
AUS,Australia,1991,14.143
AUS,Australia,1992,14.135
AUS,Australia,1993,14.037
AUS,Australia,1994,14.412
AUS,Australia,1995,14.573
AUS,Australia,1996,14.735
AUS,Australia,1997,14.924
AUS,Australia,1998,15.708
AUS,Australia,1999,15.89
AUS,Australia,2000,15.265
AUS,Australia,2001,15.531
AUS,Australia,2002,16.378
AUS,Australia,2003,17.281
AUS,Australia,2004,17.545
AUS,Australia,2005,17.333
AUS,Australia,2006,17.684
AUS,Australia,2007,17.957
AUS,Australia,2008,17.429
AUS,Australia,2009,18.304
AUS,Australia,2010,18.031
AUS,Australia,2011,17.76
AUS,Australia,2012,18.079
AUS,Australia,2013,16.621
AUS,Australia,2014,16.296
AUS,Australia,2015,16.169
AUS,Australia,2016,16.026
AUS,Australia,2017,16.013
AUS,Australia,2018,15.382
AUS,Australia,2019,15.055
AUS,Australia,2020,14.541
AUS,Australia,2021,13.99
AUS,Australia,2022,13.934
AUS,Australia,2023,14.069
CAN,Canada,1990,17.891
CAN,Canada,1991,17.652
CAN,Canada,1992,18.032
CAN,Canada,1993,17.298
CAN,Canada,1994,17.301
CAN,Canada,1995,17.452
CAN,Canada,1996,17.598
CAN,Canada,1997,18.345
CAN,Canada,1998,18.489
CAN,Canada,1999,18.521
CAN,Canada,2000,18.825
CAN,Canada,2001,18.143
CAN,Canada,2002,18.567
CAN,Canada,2003,18.4
CAN,Canada,2004,18.425
CAN,Canada,2005,18.987
CAN,Canada,2006,18.111
CAN,Canada,2007,18.674
CAN,Canada,2008,17.95
CAN,Canada,2009,17.29
CAN,Canada,2010,18.091
CAN,Canada,2011,17.844
CAN,Canada,2012,17.588
CAN,Canada,2013,17.468
CAN,Canada,2014,16.812
CAN,Canada,2015,15.939
CAN,Canada,2016,15.04
CAN,Canada,2017,15.067
CAN,Canada,2018,14.925
CAN,Canada,2019,14.534
CAN,Canada,2020,13.175
CAN,Canada,2021,13.625
CAN,Canada,2022,13.659
CAN,Canada,2023,13.23
CHE,Switzerland,1990,12.923
CHE,Switzerland,1991,12.843
CHE,Switzerland,1992,14.08
CHE,Switzerland,1993,12.69
CHE,Switzerland,1994,12.368
CHE,Switzerland,1995,12.781
CHE,Switzerland,1996,13.993
CHE,Switzerland,1997,13.116
CHE,Switzerland,1998,15.126
CHE,Switzerland,1999,11.944
CHE,Switzerland,2000,12.631
CHE,Switzerland,2001,15.164
CHE,Switzerland,2002,13.458
CHE,Switzerland,2003,13.812
CHE,Switzerland,2004,13.908
CHE,Switzerland,2005,14.926
CHE,Switzerland,2006,16.45
CHE,Switzerland,2007,15.494
CHE,Switzerland,2008,14.539
CHE,Switzerland,2009,15.584
CHE,Switzerland,2010,14.491
CHE,Switzerland,2011,16.122
CHE,Switzerland,2012,21.922
CHE,Switzerland,2013,18.925
CHE,Switzerland,2014,19.537
CHE,Switzerland,2015,19.273
