country_code,country_name,year,per_capita_electricity
AUS,Australia,1985,7809.7373046875
AUS,Australia,1986,8060.35888671875
AUS,Australia,1987,8320.8388671875
AUS,Australia,1988,8640.056640625
AUS,Australia,1989,8976.806640625
AUS,Australia,1990,9088.5634765625
AUS,Australia,1991,9102.8505859375
AUS,Australia,1992,9196.9833984375
AUS,Australia,1993,9331.568359375
AUS,Australia,1994,9506.53125
AUS,Australia,1995,9683.4052734375
AUS,Australia,1996,9840.1533203125
AUS,Australia,1997,10212.3974609375
AUS,Australia,1998,10665.9228515625
AUS,Australia,1999,10941.2861328125
AUS,Australia,2000,11333.0888671875
AUS,Australia,2001,11580.4248046875
AUS,Australia,2002,11405.25390625
AUS,Australia,2003,11400.41796875
AUS,Australia,2004,11434.8115234375
AUS,Australia,2005,11369.5888671875
AUS,Australia,2006,11558.2060546875
AUS,Australia,2007,11605.5966796875
AUS,Australia,2008,11482.1328125
AUS,Australia,2009,11472.2412109375
AUS,Australia,2010,11334.78125
AUS,Australia,2011,11400.4677734375
AUS,Australia,2012,10968.5322265625
AUS,Australia,2013,10740.10546875
AUS,Australia,2014,10495.6005859375
AUS,Australia,2015,10605.8974609375
AUS,Australia,2016,10613.662109375
AUS,Australia,2017,10471.4541015625
AUS,Australia,2018,10455.140625
AUS,Australia,2019,10434.5244140625
AUS,Australia,2020,10299.572265625
AUS,Australia,2021,10303.810546875
AUS,Australia,2022,10416.40234375
AUS,Australia,2023,10325.080078125
AUS,Australia,2024,10543.1005859375
AUS,Australia,2025,10615.3974609375
CAN,Canada,1985,17703.869140625
CAN,Canada,1986,17877.357421875
CAN,Canada,1987,18703.11328125
CAN,Canada,1988,18791.478515625
CAN,Canada,1989,18201.1171875
CAN,Canada,1990,17294.09765625
CAN,Canada,1991,18005.8984375
CAN,Canada,1992,18197.390625
CAN,Canada,1993,18391.27734375
CAN,Canada,1994,18974.42578125
CAN,Canada,1995,18937.03515625
CAN,Canada,1996,19203.0625
CAN,Canada,1997,19040.544921875
CAN,Canada,1998,18529.240234375
CAN,Canada,1999,18881.826171875
CAN,Canada,2000,19546.287109375
CAN,Canada,2001,18830.267578125
CAN,Canada,2002,19019.46875
CAN,Canada,2003,18477.857421875
CAN,Canada,2004,18625.896484375
CAN,Canada,2005,19127.51953125
CAN,Canada,2006,18572.8125
CAN,Canada,2007,19164.3515625
CAN,Canada,2008,18987.36328125
CAN,Canada,2009,18147.67578125
CAN,Canada,2010,17751.025390625
CAN,Canada,2011,18470.892578125
CAN,Canada,2012,18227.2109375
CAN,Canada,2013,18578.25
CAN,Canada,2014,18324.216796875
CAN,Canada,2015,18382.6171875
CAN,Canada,2016,18351.26953125
CAN,Canada,2017,18184.658203125
CAN,Canada,2018,17728.919921875
CAN,Canada,2019,17354.396484375
CAN,Canada,2020,17182.533203125
CAN,Canada,2021,16965.701171875
CAN,Canada,2022,17106.091796875
CAN,Canada,2023,16320.7314453125
CAN,Canada,2024,16022.92578125
CAN,Canada,2025,16259.486328125
CHE,Switzerland,1985,8706.3017578125
CHE,Switzerland,1986,8825.9365234375
CHE,Switzerland,1987,9125.564453125
CHE,Switzerland,1988,9180.228515625
CHE,Switzerland,1989,8214.8798828125
CHE,Switzerland,1990,8344.1123046875
CHE,Switzerland,1991,8542.3486328125
CHE,Switzerland,1992,8657.0908203125
CHE,Switzerland,1993,8872.1064453125
CHE,Switzerland,1994,9456.40234375
CHE,Switzerland,1995,8928.7470703125
CHE,Switzerland,1996,8106.51611328125
CHE,Switzerland,1997,8872.994140625
CHE,Switzerland,1998,8900.8896484375
CHE,Switzerland,1999,9604.7275390625
CHE,Switzerland,2000,9203.783203125
CHE,Switzerland,2001,9832.017578125
CHE,Switzerland,2002,8986.44140625
CHE,Switzerland,2003,8909.8564453125
CHE,Switzerland,2004,8649.5537109375
CHE,Switzerland,2005,7777.36376953125
CHE,Switzerland,2006,8307.80078125
CHE,Switzerland,2007,8804.0556640625
CHE,Switzerland,2008,8772.8828125
CHE,Switzerland,2009,8616.3173828125
CHE,Switzerland,2010,8440.0859375
CHE,Switzerland,2011,7945.03271484375
CHE,Switzerland,2012,8517.3916015625
CHE,Switzerland,2013,8489.4716796875
CHE,Switzerland,2014,8556.5283203125
CHE,Switzerland,2015,7975.67333984375
CHE,Switzerland,2016,7295.60693359375
CHE,Switzerland,2017,7115.28662109375
CHE,Switzerland,2018,7783.859375
CHE,Switzerland,2019,8227.3154296875
CHE,Switzerland,2020,7927.70654296875
CHE,Switzerland,2021,7245.87841796875
CHE,Switzerland,2022,7019.87451171875
CHE,Switzerland,2023,7899.15966796875
CHE,Switzerland,2024,8783.92578125
CHE,Switzerland,2025,7250.697265625
DEU,Germany,1985,6710.904296875
DEU,Germany,1986,6718.83251953125
DEU,Germany,1987,6820.72998046875
DEU,Germany,1988,7010.0791015625
DEU,Germany,1989,7086.3662109375
DEU,Germany,1990,6803.08447265625
DEU,Germany,1991,6674.953125
DEU,Germany,1992,6595.0537109375
DEU,Germany,1993,6390.2392578125
DEU,Germany,1994,6371.85986328125
DEU,Germany,1995,6470.625
DEU,Germany,1996,6664.3408203125
DEU,Germany,1997,6631.5380859375
DEU,Germany,1998,6697.318359375
DEU,Germany,1999,6724.79931640625
DEU,Germany,2000,6955.6123046875
DEU,Germany,2001,7065.94140625
DEU,Germany,2002,7113.09716796875
DEU,Germany,2003,7331.849609375
DEU,Germany,2004,7425.7509765625
DEU,Germany,2005,7475.49609375
DEU,Germany,2006,7713.400390625
DEU,Germany,2007,7762.74609375
DEU,Germany,2008,7795.3876953125
DEU,Germany,2009,7264.5703125
DEU,Germany,2010,7722.4169921875
DEU,Germany,2011,7482.26416015625
DEU,Germany,2012,7659.8818359375
DEU,Germany,2013,7769.9619140625
DEU,Germany,2014,7603.5859375
DEU,Germany,2015,7787.3916015625
DEU,Germany,2016,7751.5615234375
DEU,Germany,2017,7754.86083984375
DEU,Germany,2018,7584.1591796875
DEU,Germany,2019,7181.61669921875
DEU,Germany,2020,6776.97900390625
DEU,Germany,2021,6915.77294921875
DEU,Germany,2022,6741.65087890625
DEU,Germany,2023,5993.265625
DEU,Germany,2024,5866.078125
DEU,Germany,2025,5952.65625
DNK,Denmark,1985,5698.81494140625
DNK,Denmark,1986,6011.5107421875
DNK,Denmark,1987,5751.6171875
DNK,Denmark,1988,5472.0107421875
DNK,Denmark,1989,4468.10546875
DNK,Denmark,1990,5045.6875
DNK,Denmark,1991,7071.7021484375
DNK,Denmark,1992,5917.19189453125
DNK,Denmark,1993,6510.37890625
DNK,Denmark,1994,7756.15478515625
DNK,Denmark,1995,6989.76806640625
DNK,Denmark,1996,10142.3671875
DNK,Denmark,1997,8351.875
DNK,Denmark,1998,7714.54931640625
DNK,Denmark,1999,7275.71484375
DNK,Denmark,2000,6713.91162109375
DNK,Denmark,2001,7005.26708984375
DNK,Denmark,2002,7273.10986328125
DNK,Denmark,2003,8527.7744140625
DNK,Denmark,2004,7445.51806640625
DNK,Denmark,2005,6657.3798828125
DNK,Denmark,2006,8356.896484375
DNK,Denmark,2007,7166.392578125
DNK,Denmark,2008,6640.25830078125
DNK,Denmark,2009,6563.26123046875
DNK,Denmark,2010,6984.6689453125
DNK,Denmark,2011,6302.45166015625
DNK,Denmark,2012,5466.8251953125
DNK,Denmark,2013,6163.4814453125
DNK,Denmark,2014,5677.03125
DNK,Denmark,2015,5063.60498046875
DNK,Denmark,2016,5307.0810546875
DNK,Denmark,2017,5359.7783203125
DNK,Denmark,2018,5214.1728515625
DNK,Denmark,2019,5051.06298828125
DNK,Denmark,2020,4900.9443359375
DNK,Denmark,2021,5620.84130859375
DNK,Denmark,2022,5956.39306640625
DNK,Denmark,2023,5697.5849609375
DNK,Denmark,2024,5865.41015625
DNK,Denmark,2025,5547.67431640625
FIN,Finland,1985,10075.7568359375
FIN,Finland,1986,9952.30859375
FIN,Finland,1987,10748.8310546875
FIN,Finland,1988,10813.626953125
FIN,Finland,1989,10748.0576171875
FIN,Finland,1990,10901.267578125
FIN,Finland,1991,11559.888671875
