date,component,measure,value,source
1962-03-31,Regular Force,strength,126474,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1969-03-31,Regular Force,strength,98340,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1972-03-31,Regular Force,strength,84933,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1976-03-31,Regular Force,strength,79738,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1978-03-31,Regular Force,strength,81137,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1979-03-31,Regular Force,strength,80591,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1980-03-31,Regular Force,strength,80299,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1981-03-31,Regular Force,strength,80861,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1982-03-31,Regular Force,strength,82858,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1983-03-31,Regular Force,strength,82905,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1984-03-31,Regular Force,strength,81675,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1985-03-31,Regular Force,strength,83740,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1986-03-31,Regular Force,strength,84373,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
2012-03-31,Primary Reserve,average paid strength,26140,"DND, Departmental Performance Report 2011-12, Section IV Reserve Force (total strength, monthly average, all classes) — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-performance/2011-12/section-iv-reserve-force.html"
2013-03-31,Primary Reserve,average paid strength,24209,"DND, Departmental Performance Report 2012-13, Section IV Reserve Force (average paid strength, all classes) — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-performance/2012-13/section-iv-reserve-force.html"
2014-03-31,Primary Reserve,average paid strength,22467,"DND, Departmental Performance Report 2013-14, Canada's Reserve Force — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-performance/2013-14/section-iv-canadas-reserve-force.html"
2015-03-31,Primary Reserve,average paid strength,21707,"DND, Departmental Performance Report 2014-15, Canada's Reserve Force — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-performance/2014-15/canadas-reserve-force.html"
2016-03-31,Primary Reserve,average paid strength,21636,"DND, Departmental Performance Report 2015-16, Canada's Reserve Force — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-performance/2015-16/supporting-documents/canadas-reserve-force.html"
2017-03-31,Primary Reserve,average paid strength,21873,"DND, Departmental Results Report 2016-17, Canada's Reserve Force — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-performance/2016-17/supporting-documents/canadas-reserve-force.html"
2018-03-31,Primary Reserve,average paid strength,21885,"DND, Departmental Results Report 2017-18, Canada's Reserve Force — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-results-report/departmental-results-2017-18-index/supporting-documents-index/canadas-reserve-force.html"
2019-03-31,Primary Reserve,average paid strength,23128,"DND, Departmental Results Report 2018-19, Analysis of trends in spending and human resources — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-results-report/2018-19-index/trends-spending-human-resources.html"
2020-03-31,Primary Reserve,average paid strength,24442,"DND, Departmental Results Report 2019-20, Analysis of trends in spending and human resources — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-results-report/2019-20-index/trends-spending-human-resources.html"
2021-03-31,Primary Reserve,average paid strength,23935,"DND, Departmental Results Report 2021-22, Spending and human resources (FY 2020-21 figure) — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-results-report/2021-22-index/spending-hr.html"
2022-03-31,Primary Reserve,average paid strength,22799,"DND, Departmental Results Report 2021-22, Spending and human resources — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-results-report/2021-22-index/spending-hr.html"
2023-03-31,Primary Reserve,average paid strength,22217,"DND, Departmental Results Report 2022-23, Spending and human resources — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-results-report/2022-23-index/spending-hr.html"
2024-03-31,Primary Reserve,average paid strength,22642,"DND, Departmental Results Report 2023-24, Spending and human resources (Table 8.10) — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-results-report/2023-24-index/spending-hr.html"
2025-03-31,Primary Reserve,average paid strength,23561,"DND, Departmental Results Report 2024-25 (Table 8.9) — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-results-report/2024-25-index.html"
2017-03-31,Primary Reserve,total strength,26800,"DND, Departmental Results Report 2016-17, Canada's Reserve Force (approximately, as of 31 March 2017) — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-performance/2016-17/supporting-documents/canadas-reserve-force.html"
2018-03-31,Primary Reserve,total strength,27200,"DND, Departmental Results Report 2017-18, Canada's Reserve Force (approximately, as of 31 March 2018) — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-results-report/departmental-results-2017-18-index/supporting-documents-index/canadas-reserve-force.html"
