CAF Regular Force Members by Rank - Membres de la Force régulière des FAC par grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year - Année financière,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
GOFO - offr gén,82,74,69,72,76,73,74,71,74,79,83,79,85,93,95,100,101,96,103,103,108,117,123,124,129,130,127,131,136
Col / Capt(N) - col / capv,246,243,261,277,280,293,296,316,319,330,320,325,304,312,320,336,333,335,321,332,333,348,359,368,363,363,372,388,398
LCol / Cdr - lcol / capf,899,907,893,932,956,1016,1056,1076,1099,1128,1148,1179,1211,1242,1256,1278,1288,1272,1273,1262,1276,1307,1299,1297,1325,1374,1410,1483,1489
Maj / LCdr - maj / capc,3072,3017,2960,2970,3021,3072,3139,3156,3196,3273,3307,3361,3432,3509,3633,3657,3731,3743,3785,3779,3745,3740,3752,3776,3833,3816,3838,3964,4116
Capt / Lt(N) - capt / ltv,6507,6251,6059,5888,5777,5782,5768,5813,5910,5925,5867,5851,5786,5911,6147,6469,6747,6892,6829,6776,6633,6529,6490,6616,6565,6693,6806,6791,6806
Lt / SLt - lt / ens1,817,777,862,988,1037,980,1083,1252,1326,1348,1457,1596,1734,1800,1813,1726,1501,1432,1439,1449,1486,1812,1915,1933,2138,1972,1949,1954,1789
2Lt / A_Slt - slt / ens2,392,486,507,540,607,726,870,832,846,885,981,1185,1138,1245,1147,941,932,919,801,879,1008,1002,1155,1350,1062,1146,1214,1139,1637
OCdt / NCdt - élof / aspm,1269,1338,1414,1369,1308,1420,1506,1555,1522,1592,1851,1802,2012,2038,1952,1875,1747,1639,1608,1513,1646,1815,2006,1906,1786,1773,1792,2020,2618
CWO / CPO1 - adjuc / pm1,619,602,580,583,599,628,642,667,659,660,635,594,589,589,600,588,578,565,543,534,557,558,495,480,472,488,495,503,505
MWO / CPO2 - adjum / pm2,1773,1735,1653,1629,1692,1734,1770,1781,1806,1888,1920,1978,2015,2067,2106,2167,2171,2103,2070,2057,2045,2045,2099,2077,2048,1984,2018,2108,2135
WO / PO1 - adj / m1,3915,3806,3648,3581,3589,3591,3641,3668,3700,3680,3718,3698,3678,3822,3923,4034,4105,4152,4067,4035,3956,3919,3929,3907,3867,3811,3737,3821,3849
Sgt / PO2 - sgt / m2,7336,7054,6766,6592,6618,6618,6638,6770,6712,6766,6834,6952,6968,7030,7204,7308,7388,7365,7280,7259,7086,6963,6913,6827,6809,6465,6321,6349,6287
MCpl / MS - cplc / matc,9189,8980,8685,8478,8391,8445,8355,8400,8375,8519,8495,8486,8604,8971,8989,9040,9134,9161,9033,9015,8875,8912,8911,8762,8804,8613,8267,8156,8157
Cpl / S1 - cpl / mat1,20797,20202,19787,19283,18344,17723,17112,16475,16268,16880,16949,16089,15664,16201,17085,18229,19123,19564,18854,18268,17829,17516,17205,17240,17318,17437,18041,16781,16438
Pte / Avr / S2-S3 - std / avr / mat2-mat3,4762,5615,5497,5169,5312,7284,9229,9740,9820,10155,10606,11661,12735,13344,11997,10192,8912,7934,8423,9341,9793,10713,10926,11089,9120,8960,7106,8126,9396
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From DRWA Data Mart (updated February 2026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The fiscal years shown are named by the calendar years they end in, e.g., ""2020"" is fiscal year 19/20 and refers to 31 Mar 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
