fy_end,fiscal_year,statcan_financial_assets,statcan_gross_debt,statcan_net_debt,pa_total_liabilities,pa_financial_assets,pa_net_debt,pa_nonfinancial_assets,pa_accumulated_deficit,pa_accumulated_deficit_pct_gdp,gdp,gdp_basis,statcan_net_debt_pct_gdp,pa_net_debt_pct_gdp
1867,1866-67,17.0,93.0,76.0,,,,,,,,,,
1868,1867-68,21.0,97.0,76.0,,,,,,,,,,
1869,1868-69,36.0,112.0,76.0,,,,,,,,,,
1870,1869-70,38.0,116.0,78.0,,,,,,,,,,
1871,1870-71,38.0,116.0,78.0,,,,,,,,,,
1872,1871-72,40.0,122.0,82.0,,,,,,,,,,
1873,1872-73,30.0,130.0,100.0,,,,,,,,,,
1874,1873-74,33.0,141.0,108.0,,,,,,,,,,
1875,1874-75,36.0,152.0,116.0,,,,,,,,,,
1876,1875-76,36.0,161.0,125.0,,,,,,,,,,
1877,1876-77,42.0,175.0,133.0,,,,,,,,,,
1878,1877-78,35.0,175.0,140.0,,,,,,,,,,
1879,1878-79,37.0,180.0,143.0,,,,,,,,,,
1880,1879-80,43.0,195.0,152.0,,,,,,,,,,
1881,1880-81,45.0,200.0,155.0,,,,,,,,,,
1882,1881-82,51.0,205.0,154.0,,,,,,,,,,
1883,1882-83,45.0,203.0,158.0,,,,,,,,,,
1884,1883-84,61.0,243.0,182.0,,,,,,,,,,
1885,1884-85,69.0,265.0,196.0,,,,,,,,,,
1886,1885-86,40.0,263.0,223.0,,,,,,,,,,
1887,1886-87,46.0,273.0,227.0,,,,,,,,,,
1888,1887-88,50.0,285.0,235.0,,,,,,,,,,
1889,1888-89,50.0,288.0,238.0,,,,,,,,,,
1890,1889-90,48.0,286.0,238.0,,,,,,,,,,
1891,1890-91,53.0,291.0,238.0,,,,,,,,,,
1892,1891-92,55.0,296.0,241.0,,,,,,,,,,
1893,1892-93,58.0,300.0,242.0,,,,,,,,,,
1894,1893-94,62.0,308.0,246.0,,,,,,,,,,
1895,1894-95,65.0,318.0,253.0,,,,,,,,,,
1896,1895-96,68.0,326.0,258.0,,,,,,,,,,
1897,1896-97,71.0,333.0,262.0,,,,,,,,,,
1898,1897-98,75.0,339.0,264.0,,,,,,,,,,
1899,1898-99,79.0,345.0,266.0,,,,,,,,,,
1900,1899-00,82.0,347.0,265.0,,,,,,,,,,
1901,1900-01,87.0,355.0,268.0,,,,,,,,,,
1902,1901-02,94.0,366.0,272.0,,,,,,,,,,
1903,1902-03,99.0,361.0,262.0,,,,,,,,,,
1904,1903-04,104.0,365.0,261.0,,,,,,,,,,
1905,1904-05,111.0,377.0,266.0,,,,,,,,,,
1906,1905-06,125.0,392.0,267.0,,,,,,,,,,
1907,1906-07,116.0,380.0,264.0,,,,,,,,,,
1908,1907-08,131.0,409.0,278.0,,,,,,,,,,
1909,1908-09,155.0,479.0,324.0,,,,,,,,,,
1910,1909-10,135.0,471.0,336.0,,,,,,,,,,
1911,1910-11,135.0,475.0,340.0,,,,,,,,,,
1912,1911-12,168.0,508.0,340.0,,,,,,,,,,
1913,1912-13,170.0,484.0,314.0,,,,,,,,,,
1914,1913-14,208.0,544.0,336.0,,,,,,,,,,
1915,1914-15,251.0,700.0,449.0,,,,,,,,,,
1916,1915-16,322.0,937.0,615.0,,,,,,,,,,
1917,1916-17,502.0,1381.0,879.0,,,,,,,,,,
1918,1917-18,671.0,1863.0,1192.0,,,,,,,,,,
1919,1918-19,1102.0,2677.0,1575.0,,,,,,,,,,
1920,1919-20,793.0,3042.0,2249.0,,,,,,,,,,
1921,1920-21,588.0,2929.0,2341.0,,,,,,,,,,
1922,1921-22,510.0,2932.0,2422.0,,,,,,,,,,
1923,1922-23,468.0,2922.0,2454.0,,,,,,,,,,
1924,1923-24,437.0,2855.0,2418.0,,,,,,,,,,
1925,1924-25,440.0,2858.0,2418.0,,,,,,,,,,
1926,1925-26,421.0,2811.0,2390.0,,,,,,,,,,
1927,1926-27,423.0,2771.0,2348.0,,,,,,,5454.920950411139,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",43.04,
1928,1927-28,429.0,2726.0,2297.0,,,,,,,5894.8339302830045,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",38.97,
1929,1928-29,473.0,2699.0,2226.0,,,,,,,6413.189224638047,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",34.71,
1930,1929-30,423.0,2601.0,2178.0,,,,,,,6507.532008273218,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",33.47,
1931,1930-31,407.0,2669.0,2262.0,,,,,,,6063.378903294153,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",37.31,
1932,1931-32,518.0,2894.0,2376.0,,,,,,,4974.7267820208845,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",47.76,
1933,1932-33,466.0,3062.0,2596.0,,,,,,,4042.9592897139687,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",64.21,
1934,1933-34,480.0,3210.0,2730.0,,,,,,,3701.6292185844727,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",73.75,
1935,1934-35,677.0,3523.0,2846.0,,,,,,,4207.264137617918,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",67.64,
1936,1935-36,484.0,3490.0,3006.0,,,,,,,4559.194521515411,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",65.93,
1937,1936-37,520.0,3604.0,3084.0,,,,,,,4912.184936689704,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",62.78,
1938,1937-38,504.0,3606.0,3102.0,,,,,,,5555.623921707108,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",55.84,
1939,1938-39,533.0,3686.0,3153.0,,,,,,,5588.484891287898,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",56.42,
1940,1939-40,758.0,4029.0,3271.0,,,,,,,5958.435806890985,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",54.9,
1941,1940-41,1359.0,5008.0,3649.0,,,,,,,7115.989961156232,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",51.28,
1942,1941-42,2585.0,6630.0,4045.0,,,,,,,8779.179034454926,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",46.07,
1943,1942-43,2632.0,8815.0,6183.0,,,,,,,10881.221056348686,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",56.82,
1944,1943-44,3063.0,11803.0,8740.0,,,,,,,11716.525702466832,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",74.6,
1945,1944-45,3615.0,14913.0,11298.0,,,,,,,12559.250567522575,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",89.96,
1946,1945-46,4472.0,17893.0,13421.0,,,,,,,12575.15103667457,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",106.73,
1947,1946-47,4647.0,17695.0,13048.0,,,,,,,12598.471724764162,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",103.57,
1948,1947-48,4818.0,17190.0,12372.0,,,,,,,14281.80139232205,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",86.63,
1949,1948-49,5161.0,16937.0,11776.0,,,,,,,16440.025071886193,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",71.63,
1950,1949-50,5100.0,16726.0,11626.0,,,,,,,17808.525450234574,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",65.28,
1951,1950-51,5291.0,16718.0,11427.0,,,,,,,19601.03833930283,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",58.3,
1952,1951-52,5656.0,16819.0,11163.0,,,,,,,22939.076829945014,"GNP, Historical Statistics of Canada 11-516-X series F13, linked to 36-10-0104-01 at 1961 (x1.060)",48.66,
