country_code,country_name,year,personnel_thousands,population,per_1000,estimate
CAN,Canada,2014,65.9,35434066.0,1.8597922123868031,False
CAN,Canada,2015,70.3,35704498.0,1.9689395997109382,False
CAN,Canada,2016,70.5,36110803.0,1.952324350139763,False
CAN,Canada,2017,68.2,36545075.0,1.8661885356645183,False
CAN,Canada,2018,70.3,37072620.0,1.8962781697112316,False
CAN,Canada,2019,71.8,37618495.0,1.9086356325525518,False
CAN,Canada,2020,70.3,38028638.0,1.8486068315147126,False
CAN,Canada,2021,68.2,38239864.0,1.7834791462647461,False
CAN,Canada,2022,67.4,38950132.0,1.7304177557087612,False
CAN,Canada,2023,68.6,40049088.0,1.7128979316582689,False
CAN,Canada,2024,70.6,41262329.0,1.7110037584160604,False
CAN,Canada,2025,70.9,41651653.0,1.7022133551338288,True
CAN,Canada,2026,77.1,41651653.0,1.8510669912668292,True
DEU,Germany,2014,178.8,80982500.0,2.207884419473343,False
DEU,Germany,2015,177.2,81686611.0,2.1692661481573765,False
DEU,Germany,2016,177.9,82348669.0,2.1603263557301697,False
DEU,Germany,2017,179.8,82657002.0,2.175254311788371,False
DEU,Germany,2018,181.5,82905782.0,2.189232109287625,False
DEU,Germany,2019,183.8,83092962.0,2.2119803600213457,False
DEU,Germany,2020,183.9,83160871.0,2.211376549916126,False
DEU,Germany,2021,183.9,83196078.0,2.210440737362643,False
DEU,Germany,2022,183.2,83177813.0,2.202510421859733,False
DEU,Germany,2023,181.7,83287273.0,2.181605825898514,False
DEU,Germany,2024,181.4,83516593.0,2.1720234684381823,False
DEU,Germany,2025,182.3,83491249.0,2.1834623650198357,True
DEU,Germany,2026,183.2,83491249.0,2.194241937858661,True
DNK,Denmark,2014,16.9,5643475.0,2.9946088181483925,False
DNK,Denmark,2015,17.2,5683483.0,3.026313266002555,False
DNK,Denmark,2016,17.3,5728010.0,3.0202461238719907,False
DNK,Denmark,2017,16.7,5764980.0,2.896801029665324,False
DNK,Denmark,2018,17.2,5793636.0,2.968774703830203,False
DNK,Denmark,2019,16.3,5814422.0,2.8033740929020974,False
DNK,Denmark,2020,16.9,5831404.0,2.8981013834747174,False
DNK,Denmark,2021,16.9,5856733.0,2.8855677730229465,False
DNK,Denmark,2022,16.7,5903037.0,2.829052231927396,False
DNK,Denmark,2023,17.3,5946952.0,2.9090532427367832,False
DNK,Denmark,2024,17.7,5976992.0,2.9613558124220343,False
DNK,Denmark,2025,18.0,6009169.0,2.9954224951902666,True
DNK,Denmark,2026,18.5,6009169.0,3.0786286756122183,True
FIN,Finland,2014,32.5,5461512.0,5.95073305707284,False
FIN,Finland,2015,31.0,5479531.0,5.657418490743095,False
FIN,Finland,2016,31.3,5495303.0,5.695773281291314,False
FIN,Finland,2017,31.0,5508214.0,5.627958536106259,False
FIN,Finland,2018,31.8,5515525.0,5.765543624586962,False
FIN,Finland,2019,31.1,5521606.0,5.632419263525866,False
FIN,Finland,2020,31.3,5529543.0,5.660503951230689,False
FIN,Finland,2021,31.1,5541017.0,5.612688067912442,False
FIN,Finland,2022,30.5,5556106.0,5.489456104689148,False
FIN,Finland,2023,25.9,5583911.0,4.638326076472207,False
FIN,Finland,2024,27.0,5619911.0,4.804346545701524,False
FIN,Finland,2025,27.7,5646436.0,4.905749396610535,True
FIN,Finland,2026,28.1,5646436.0,4.976590543131986,True
FRA,France,2014,207.0,66312067.0,3.1216037949774664,False
FRA,France,2015,204.8,66548272.0,3.077465332232819,False
FRA,France,2016,208.1,66724104.0,3.1188129555100508,False
FRA,France,2017,208.2,66918020.0,3.1112695803013897,False
FRA,France,2018,208.2,67158348.0,3.1001358163247255,False
FRA,France,2019,207.8,67382061.0,3.083906857642719,False
FRA,France,2020,207.6,67601110.0,3.0709554917071626,False
FRA,France,2021,207.6,67842811.0,3.0600147154869513,False
FRA,France,2022,207.1,68184457.0,3.03734911315639,False
FRA,France,2023,205.3,68372286.0,3.0026785999227816,False
FRA,France,2024,201.3,68551653.0,2.9364718601315127,False
FRA,France,2025,201.7,68720337.0,2.9350845587384122,True
FRA,France,2026,202.0,68720337.0,2.9394500786572104,True
GBR,United Kingdom,2014,168.7,64619000.0,2.610687259165261,False
GBR,United Kingdom,2015,141.4,65087000.0,2.1724768386928264,False
GBR,United Kingdom,2016,139.5,65606000.0,2.1263299088498004,False
GBR,United Kingdom,2017,149.4,65964000.0,2.2648717482263057,False
GBR,United Kingdom,2018,146.6,66287000.0,2.2115950337170185,False
GBR,United Kingdom,2019,144.0,66628000.0,2.1612535270456865,False
GBR,United Kingdom,2020,147.3,66740000.0,2.207072220557387,False
GBR,United Kingdom,2021,148.2,66978000.0,2.212666845829974,False
GBR,United Kingdom,2022,143.6,67636000.0,2.123129694245668,False
GBR,United Kingdom,2023,132.5,68526000.0,1.933572658552958,False
GBR,United Kingdom,2024,128.9,69281000.0,1.8605389645068633,False
GBR,United Kingdom,2025,126.1,69487000.0,1.8147279347216025,True
GBR,United Kingdom,2026,125.9,69487000.0,1.8118496985047563,True
ITA,Italy,2014,183.5,60320707.0,3.0420730977175054,False
ITA,Italy,2015,178.4,60229605.0,2.9619985055522116,False
ITA,Italy,2016,176.3,60115223.0,2.9327014224001133,False
ITA,Italy,2017,174.6,60002252.0,2.909890782099312,False
ITA,Italy,2018,174.1,59877221.0,2.9076165709160082,False
ITA,Italy,2019,176.4,59729081.0,2.9533352438488043,False
ITA,Italy,2020,173.4,59438851.0,2.9172838485723758,False
ITA,Italy,2021,170.3,59133173.0,2.8799401648884966,False
ITA,Italy,2022,170.0,59013667.0,2.8806886377692815,False
ITA,Italy,2023,169.2,58984216.0,2.8685640239754986,False
