country_code,year,net_debt,country_name
AUS,1989,-18.2968418565713,Australia
AUS,1990,-18.1235016187949,Australia
AUS,1991,-14.9758303595608,Australia
AUS,1992,-12.2441106763194,Australia
AUS,1993,-5.43044991959846,Australia
AUS,1994,-4.00202728560938,Australia
AUS,1995,-2.50619626410613,Australia
AUS,1996,-1.4304437095953,Australia
AUS,1997,-6.31470826333336,Australia
AUS,1998,-16.2032517643955,Australia
AUS,1999,-20.7047913736815,Australia
AUS,2000,-19.8467875607059,Australia
AUS,2001,-17.8457344745033,Australia
AUS,2002,-19.396967753534,Australia
AUS,2003,-22.8065262462066,Australia
AUS,2004,-24.6894068755988,Australia
AUS,2005,-24.5223463687151,Australia
AUS,2006,-27.4529652430224,Australia
AUS,2007,-29.0766808285166,Australia
AUS,2008,-26.4634192556375,Australia
AUS,2009,-23.3262562148248,Australia
AUS,2010,-19.5966237928045,Australia
AUS,2011,-12.0722283176966,Australia
AUS,2012,-8.89776060689913,Australia
AUS,2013,-10.5653383937428,Australia
AUS,2014,-7.94096249715384,Australia
AUS,2015,-9.75457569451827,Australia
AUS,2016,-11.1009799414568,Australia
AUS,2017,-11.3465129614791,Australia
AUS,2018,-10.969575435012,Australia
AUS,2019,-8.24279047893397,Australia
AUS,2020,4.84114130023462,Australia
AUS,2021,4.46302869917916,Australia
AUS,2022,1.05897649929371,Australia
AUS,2023,0.465971819745195,Australia
AUS,2024,3.3395023180446,Australia
AUS,2025,7.3712881185827,Australia
AUS,2026,8.84927235448076,Australia
CAN,1970,12.9679724699188,Canada
CAN,1971,11.7835356120648,Canada
CAN,1972,10.7817211066944,Canada
CAN,1973,8.09309141005964,Canada
CAN,1974,5.82780176341088,Canada
CAN,1975,8.94733894185581,Canada
CAN,1976,9.87106766807385,Canada
CAN,1977,10.7352891520927,Canada
CAN,1978,12.6477770954313,Canada
CAN,1979,14.0644914212363,Canada
CAN,1980,14.8946756948778,Canada
CAN,1981,13.9560118352382,Canada
CAN,1982,19.7929002690925,Canada
CAN,1983,26.4025341542835,Canada
CAN,1984,30.4455391909502,Canada
CAN,1985,36.258484217784,Canada
CAN,1986,40.7773920858563,Canada
CAN,1987,40.3885161130495,Canada
CAN,1988,39.4387746437715,Canada
CAN,1989,42.5552627983799,Canada
CAN,1990,46.1798041986999,Canada
CAN,1991,54.6832095278673,Canada
CAN,1992,59.5063443368651,Canada
CAN,1993,69.8241184840911,Canada
CAN,1994,69.4365457364654,Canada
CAN,1995,70.4786194672814,Canada
CAN,1996,75.2299862531605,Canada
CAN,1997,69.5603610437897,Canada
CAN,1998,66.3784304469309,Canada
CAN,1999,53.7734379573124,Canada
CAN,2000,45.8475088850535,Canada
CAN,2001,44.347394549615,Canada
CAN,2002,43.8361925250525,Canada
CAN,2003,39.7483317354016,Canada
CAN,2004,39.2917436220317,Canada
CAN,2005,34.4441787013133,Canada
CAN,2006,29.8606712263231,Canada
CAN,2007,26.2515838320146,Canada
CAN,2008,26.6599317699441,Canada
CAN,2009,31.6822521500839,Canada
CAN,2010,33.9679288952059,Canada
CAN,2011,37.3412894581534,Canada
CAN,2012,36.6671756418697,Canada
CAN,2013,31.6097226070011,Canada
CAN,2014,29.7058295712362,Canada
CAN,2015,26.5748645651893,Canada
CAN,2016,25.2652755938555,Canada
CAN,2017,18.0349717678023,Canada
CAN,2018,16.3321144620752,Canada
CAN,2019,15.221846130838,Canada
CAN,2020,26.7643221631622,Canada
CAN,2021,19.3105735506255,Canada
CAN,2022,7.9376878169124,Canada
CAN,2023,9.08768073395362,Canada
CAN,2024,7.36947857699617,Canada
CAN,2025,6.10350350628109,Canada
CAN,2026,6.52060561942264,Canada
CHE,1999,8.48975399327326,Switzerland
CHE,2000,5.57475084192242,Switzerland
CHE,2001,5.38203288189535,Switzerland
CHE,2002,10.2268953715753,Switzerland
CHE,2003,11.2436317917563,Switzerland
CHE,2004,13.6416705131523,Switzerland
CHE,2005,11.6336637074673,Switzerland
CHE,2006,8.32704280302307,Switzerland
CHE,2007,5.78782164700848,Switzerland
CHE,2008,9.25481295356509,Switzerland
CHE,2009,5.3601119821327,Switzerland
CHE,2010,7.91184018610014,Switzerland
CHE,2011,6.86009225445629,Switzerland
CHE,2012,4.74170856361549,Switzerland
CHE,2013,5.4788613904314,Switzerland
CHE,2014,0.213684838461835,Switzerland
CHE,2015,3.84907018958256,Switzerland
CHE,2016,1.21885865577919,Switzerland
CHE,2017,-13.3181409505916,Switzerland
CHE,2018,-10.7382130982538,Switzerland
CHE,2019,-19.022969988767,Switzerland
CHE,2020,-19.5399253585704,Switzerland
CHE,2021,-20.8665516318967,Switzerland
CHE,2022,-4.64947829395106,Switzerland
CHE,2023,-3.87383974587608,Switzerland
CHE,2024,-14.064595463228,Switzerland
