country_code,country_name,year,tax_type,pct_gdp
AUS,Australia,2010,Goods & services,7.230783
AUS,Australia,2010,Income & profits,14.252763
AUS,Australia,2010,Other,0.0
AUS,Australia,2010,Payroll,1.303575
AUS,Australia,2010,Property,2.361409
AUS,Australia,2010,Social security,0.0
AUS,Australia,2011,Goods & services,7.002088
AUS,Australia,2011,Income & profits,15.183263
AUS,Australia,2011,Other,0.0
AUS,Australia,2011,Payroll,1.353134
AUS,Australia,2011,Property,2.237766
AUS,Australia,2011,Social security,0.0
AUS,Australia,2012,Goods & services,7.534065
AUS,Australia,2012,Income & profits,15.535907
AUS,Australia,2012,Other,0.0
AUS,Australia,2012,Payroll,1.394159
AUS,Australia,2012,Property,2.342203
AUS,Australia,2012,Social security,0.0
AUS,Australia,2013,Goods & services,7.62743
AUS,Australia,2013,Income & profits,15.385994
AUS,Australia,2013,Other,0.0
AUS,Australia,2013,Payroll,1.388704
AUS,Australia,2013,Property,2.559129
AUS,Australia,2013,Social security,0.0
AUS,Australia,2014,Goods & services,7.271679
AUS,Australia,2014,Income & profits,15.698784
AUS,Australia,2014,Other,0.0
AUS,Australia,2014,Payroll,1.402321
AUS,Australia,2014,Property,2.786664
AUS,Australia,2014,Social security,0.0
AUS,Australia,2015,Goods & services,7.651905
AUS,Australia,2015,Income & profits,15.763484
AUS,Australia,2015,Other,0.0
AUS,Australia,2015,Payroll,1.408638
AUS,Australia,2015,Property,2.965654
AUS,Australia,2015,Social security,0.0
AUS,Australia,2016,Goods & services,7.436556
AUS,Australia,2016,Income & profits,15.785009
AUS,Australia,2016,Other,0.0
AUS,Australia,2016,Payroll,1.35402
AUS,Australia,2016,Property,2.962242
AUS,Australia,2016,Social security,0.0
AUS,Australia,2017,Goods & services,7.535538
AUS,Australia,2017,Income & profits,16.760557
AUS,Australia,2017,Other,0.0
AUS,Australia,2017,Payroll,1.385417
AUS,Australia,2017,Property,2.874088
AUS,Australia,2017,Social security,0.0
AUS,Australia,2018,Goods & services,7.306712
AUS,Australia,2018,Income & profits,17.194358
AUS,Australia,2018,Other,0.0
AUS,Australia,2018,Payroll,1.382568
AUS,Australia,2018,Property,2.727545
AUS,Australia,2018,Social security,0.0
AUS,Australia,2019,Goods & services,7.287061
AUS,Australia,2019,Income & profits,16.38977
AUS,Australia,2019,Other,0.0
AUS,Australia,2019,Payroll,1.296941
AUS,Australia,2019,Property,2.724076
AUS,Australia,2019,Social security,0.0
AUS,Australia,2020,Goods & services,7.497716
AUS,Australia,2020,Income & profits,16.676831
AUS,Australia,2020,Other,0.0
AUS,Australia,2020,Payroll,1.264873
AUS,Australia,2020,Property,2.853312
AUS,Australia,2020,Social security,0.0
AUS,Australia,2021,Goods & services,6.807665
AUS,Australia,2021,Income & profits,17.950555
