country_code,country_name,year,personnel,population,per_1000
AUS,Australia,1920,6000,,
AUS,Australia,1921,6000,,
AUS,Australia,1922,6000,,
AUS,Australia,1923,7000,,
AUS,Australia,1924,7000,,
AUS,Australia,1925,7000,,
AUS,Australia,1926,8000,,
AUS,Australia,1927,8000,,
AUS,Australia,1928,8000,,
AUS,Australia,1929,7000,,
AUS,Australia,1930,7000,,
AUS,Australia,1931,6000,,
AUS,Australia,1932,6000,,
AUS,Australia,1933,6000,,
AUS,Australia,1934,8000,,
AUS,Australia,1935,8000,,
AUS,Australia,1936,8000,,
AUS,Australia,1937,8000,,
AUS,Australia,1938,8000,,
AUS,Australia,1939,8000,,
AUS,Australia,1940,82000,,
AUS,Australia,1941,400000,,
AUS,Australia,1943,680000,,
AUS,Australia,1944,680000,,
AUS,Australia,1945,596000,,
AUS,Australia,1946,103000,,
AUS,Australia,1947,82000,,
AUS,Australia,1948,61000,,
AUS,Australia,1949,41000,,
AUS,Australia,1950,38000,,
AUS,Australia,1951,33000,,
AUS,Australia,1952,32000,,
AUS,Australia,1953,57000,,
AUS,Australia,1954,54000,,
AUS,Australia,1955,52000,,
AUS,Australia,1956,52000,,
AUS,Australia,1957,48000,,
AUS,Australia,1958,46000,,
AUS,Australia,1959,48000,,
AUS,Australia,1960,47000,10276477.0,4.573551811579008
AUS,Australia,1961,46000,10483000.0,4.388056853954021
AUS,Australia,1962,49000,10742000.0,4.56153416495997
AUS,Australia,1963,49000,10950000.0,4.474885844748858
AUS,Australia,1964,53000,11167000.0,4.7461269812841405
AUS,Australia,1965,53000,11388000.0,4.654021777309449
AUS,Australia,1966,59000,11651000.0,5.063943009183761
AUS,Australia,1967,72000,11799000.0,6.102212051868802
AUS,Australia,1968,80000,12009000.0,6.661670413856275
AUS,Australia,1969,82000,12263000.0,6.686781374867488
AUS,Australia,1970,86000,12507000.0,6.876149356360439
AUS,Australia,1971,86000,12937000.0,6.647599907242792
AUS,Australia,1972,86000,13177000.0,6.526523487895576
AUS,Australia,1973,71000,13380000.0,5.306427503736921
AUS,Australia,1974,68000,13723000.0,4.955184726371784
AUS,Australia,1975,70000,13893000.0,5.0385086014539695
AUS,Australia,1976,71000,14033000.0,5.0595026010119
AUS,Australia,1977,70000,14192000.0,4.932356257046224
AUS,Australia,1978,70000,14358000.0,4.875330826020337
AUS,Australia,1979,70000,14514000.0,4.822929585228056
AUS,Australia,1980,71000,14692000.0,4.832561938469915
AUS,Australia,1981,72000,14923260.0,4.824683078630272
AUS,Australia,1982,73000,15184247.0,4.807614101640997
AUS,Australia,1983,73000,15393472.0,4.742269970023656
AUS,Australia,1984,71000,15579391.0,4.557302657080755
AUS,Australia,1985,70000,15788312.0,4.4336595324440005
AUS,Australia,1986,71000,16018350.0,4.432416572243708
AUS,Australia,1987,70000,16263874.0,4.304017603677943
AUS,Australia,1988,71000,16532164.0,4.2946585819013166
AUS,Australia,1989,70000,16814416.0,4.163094335241854
AUS,Australia,1990,68000,17065128.0,3.984734248697109
AUS,Australia,1991,68000,17284036.0,3.9342662790102962
AUS,Australia,1992,68000,17478635.0,3.890463986461185
AUS,Australia,1993,68000,17634808.0,3.8560102270464185
AUS,Australia,1994,65000,17805468.0,3.6505639728200348
AUS,Australia,1995,65000,18004882.0,3.6101319630975643
AUS,Australia,1996,65000,18224767.0,3.56657508982145
AUS,Australia,1997,65000,18423037.0,3.528191361717398
AUS,Australia,1998,65000,18607584.0,3.4931993320572947
AUS,Australia,1999,55000,18812264.0,2.923624716302089
AUS,Australia,2000,51000,19028802.0,2.6801477045165534
AUS,Australia,2001,51000,19274701.0,2.645955441799071
AUS,Australia,2002,51000,19495210.0,2.616027218993794
AUS,Australia,2003,54000,19720737.0,2.7382343773460396
AUS,Australia,2004,53000,19932722.0,2.6589444231450177
AUS,Australia,2005,53000,20176844.0,2.6267735429782775
AUS,Australia,2006,53000,20450966.0,2.5915646234021414
AUS,Australia,2007,52000,20827622.0,2.4966844510621518
AUS,Australia,2008,51000,21249199.0,2.400090469292513
AUS,Australia,2009,55000,21691653.0,2.5355375175879864
AUS,Australia,2010,55000,22031750.0,2.4963972448852223
AUS,Australia,2011,57000,22340024.0,2.5514744299289918
AUS,Australia,2012,57000,22733465.0,2.507316856449292
AUS,Australia,2013,57000,23128129.0,2.4645313937845987
AUS,Australia,2014,56000,23475686.0,2.385446798019023
AUS,Australia,2015,57000,23815995.0,2.3933495115362593
AUS,Australia,2016,57000,24190907.0,2.3562572498831895
AUS,Australia,2017,58000,24592588.0,2.3584341753702374
AUS,Australia,2018,58000,24963258.0,2.323414676081143
AUS,Australia,2019,58000,25334826.0,2.2893387939589562
AUS,Australia,2020,57000,25649248.0,2.222287374662992
AUS,Australia,2021,60000,25685412.0,2.3359563007982898
AUS,Australia,2022,60000,26018721.0,2.3060318760480194
CAN,Canada,1920,4000,,
CAN,Canada,1921,4000,,
CAN,Canada,1922,4000,,
CAN,Canada,1923,4000,,
CAN,Canada,1924,4000,,
CAN,Canada,1925,4000,,
CAN,Canada,1926,4000,,
CAN,Canada,1927,4000,,
CAN,Canada,1928,5000,,
CAN,Canada,1929,4000,,
CAN,Canada,1930,5000,,
CAN,Canada,1931,6000,,
CAN,Canada,1932,5000,,
CAN,Canada,1933,5000,,
CAN,Canada,1934,5000,,
CAN,Canada,1935,4000,,
CAN,Canada,1936,6000,,
CAN,Canada,1937,6000,,
CAN,Canada,1938,6000,,
CAN,Canada,1939,6000,,
CAN,Canada,1940,21000,,
CAN,Canada,1941,280000,,
CAN,Canada,1942,400000,,
CAN,Canada,1943,740000,,
CAN,Canada,1944,728000,,
CAN,Canada,1945,801000,,
CAN,Canada,1946,46000,,
CAN,Canada,1947,43000,,
CAN,Canada,1948,40000,,
CAN,Canada,1949,47000,,
CAN,Canada,1950,45000,,
CAN,Canada,1951,62000,,
CAN,Canada,1952,102000,,
CAN,Canada,1953,104000,,
CAN,Canada,1954,108000,,
CAN,Canada,1955,112000,,
CAN,Canada,1956,116000,,
CAN,Canada,1957,121000,,
CAN,Canada,1958,119000,,
CAN,Canada,1959,120000,,
CAN,Canada,1960,121000,17909356.0,6.756245171518172
CAN,Canada,1961,124000,18271000.0,6.786711181653987
CAN,Canada,1962,124000,18614000.0,6.6616525196088965
CAN,Canada,1963,120000,18964000.0,6.327778949588694
CAN,Canada,1964,120000,19325000.0,6.2095730918499354
CAN,Canada,1965,120000,19678000.0,6.098180709421689
CAN,Canada,1966,110000,20048000.0,5.48683160415004
CAN,Canada,1967,105000,20412000.0,5.1440329218107
CAN,Canada,1968,105000,20744000.0,5.061704589278827
CAN,Canada,1969,100000,21028000.0,4.7555640098915735
CAN,Canada,1970,95000,21324000.0,4.455074094916526
CAN,Canada,1971,85000,21962032.0,3.870315825056625
CAN,Canada,1972,90000,22218463.0,4.050685234167638
CAN,Canada,1973,82000,22491777.0,3.6457768543588176
CAN,Canada,1974,82000,22807969.0,3.5952346304925262
CAN,Canada,1975,78000,23143275.0,3.3703095175596367
CAN,Canada,1976,78000,23449808.0,3.3262532469349004
CAN,Canada,1977,78000,23725843.0,3.287554419035817
CAN,Canada,1978,79000,23963203.0,3.2967212271247712
CAN,Canada,1979,79000,24201544.0,3.264254545081917
CAN,Canada,1980,82000,24515667.0,3.3447998783798134
CAN,Canada,1981,81000,24819915.0,3.263508356092275
CAN,Canada,1982,81000,25116942.0,3.2249148801633574
CAN,Canada,1983,81000,25366451.0,3.193194034120106
CAN,Canada,1984,82000,25607053.0,3.2022427571028964
CAN,Canada,1985,83000,25842116.0,3.2118112928523344
CAN,Canada,1986,85000,26100278.0,3.2566702929371094
CAN,Canada,1987,86000,26446601.0,3.251835651772415
CAN,Canada,1988,88000,26791747.0,3.2845935727894116
CAN,Canada,1989,88000,27276781.0,3.2261871369645854
CAN,Canada,1990,87000,27691138.0,3.1417993727812847
CAN,Canada,1991,86000,28037420.0,3.067329304907513
CAN,Canada,1992,82000,28371264.0,2.8902483865364617
CAN,Canada,1993,76000,28684764.0,2.6494901613971793
CAN,Canada,1994,75000,29000663.0,2.586147771863009
CAN,Canada,1995,70000,29302311.0,2.3888900776460944
CAN,Canada,1996,66000,29610218.0,2.2289602866145737
CAN,Canada,1997,61000,29905948.0,2.039728016647391
CAN,Canada,1998,60000,30155173.0,1.9897083661234507
CAN,Canada,1999,60000,30401286.0,1.9736007220220881
CAN,Canada,2000,59000,30685730.0,1.922717823561636
CAN,Canada,2001,57000,31020855.0,1.8374735319190914
CAN,Canada,2002,52000,31359199.0,1.658205619346336
CAN,Canada,2003,52000,31642461.0,1.6433614313374678
CAN,Canada,2004,57000,31938807.0,1.7846627771663481
CAN,Canada,2005,62000,32242732.0,1.9229139763962928
CAN,Canada,2006,62000,32571193.0,1.9035225390731005
CAN,Canada,2007,63000,32888886.0,1.9155407087974947
CAN,Canada,2008,64000,33247298.0,1.9249684590910214
CAN,Canada,2009,64000,33630069.0,1.9030588370187405
CAN,Canada,2010,66000,34005902.0,1.9408395636733884
CAN,Canada,2011,66000,34339221.0,1.9220005019915856
CAN,Canada,2012,66000,34713395.0,1.901283351858843
CAN,Canada,2013,66000,35080992.0,1.881360709526116
CAN,Canada,2014,66000,35434066.0,1.8626143553494539
CAN,Canada,2015,66000,35704498.0,1.848506594323214
CAN,Canada,2016,66000,36110803.0,1.8277079022585014
CAN,Canada,2017,63000,36545075.0,1.723898500687165
CAN,Canada,2018,63000,37072620.0,1.6993673498123412
CAN,Canada,2019,67000,37618495.0,1.7810388214626873
CAN,Canada,2020,67000,38028638.0,1.7618301239187162
CAN,Canada,2021,67000,38239864.0,1.752098281521085
CAN,Canada,2022,67000,38950132.0,1.7201482141318545
CHE,Switzerland,1816,0,,
CHE,Switzerland,1817,0,,
CHE,Switzerland,1818,0,,
CHE,Switzerland,1819,0,,
CHE,Switzerland,1820,0,,
CHE,Switzerland,1821,0,,
CHE,Switzerland,1822,0,,
CHE,Switzerland,1823,0,,
CHE,Switzerland,1824,0,,
CHE,Switzerland,1825,0,,
CHE,Switzerland,1826,0,,
CHE,Switzerland,1827,0,,
CHE,Switzerland,1828,0,,
CHE,Switzerland,1829,0,,
CHE,Switzerland,1830,0,,
CHE,Switzerland,1831,0,,
CHE,Switzerland,1832,0,,
CHE,Switzerland,1833,0,,
CHE,Switzerland,1834,0,,
CHE,Switzerland,1835,0,,
CHE,Switzerland,1836,0,,
CHE,Switzerland,1837,0,,
CHE,Switzerland,1838,0,,
CHE,Switzerland,1839,0,,
CHE,Switzerland,1840,0,,
CHE,Switzerland,1841,0,,
CHE,Switzerland,1842,0,,
CHE,Switzerland,1843,0,,
CHE,Switzerland,1844,0,,
CHE,Switzerland,1845,0,,
CHE,Switzerland,1846,0,,
CHE,Switzerland,1847,0,,
CHE,Switzerland,1848,0,,
CHE,Switzerland,1849,0,,
CHE,Switzerland,1850,0,,
CHE,Switzerland,1851,0,,
CHE,Switzerland,1852,0,,
CHE,Switzerland,1853,0,,
CHE,Switzerland,1854,0,,
CHE,Switzerland,1855,0,,
CHE,Switzerland,1856,0,,
CHE,Switzerland,1857,30000,,
CHE,Switzerland,1858,0,,
CHE,Switzerland,1859,0,,
CHE,Switzerland,1860,0,,
CHE,Switzerland,1861,0,,
CHE,Switzerland,1862,0,,
CHE,Switzerland,1863,0,,
CHE,Switzerland,1864,0,,
CHE,Switzerland,1865,0,,
CHE,Switzerland,1866,0,,
CHE,Switzerland,1867,0,,
CHE,Switzerland,1868,0,,
CHE,Switzerland,1869,0,,
CHE,Switzerland,1870,0,,
CHE,Switzerland,1871,0,,
CHE,Switzerland,1872,0,,
CHE,Switzerland,1873,0,,
CHE,Switzerland,1874,0,,
CHE,Switzerland,1875,0,,
CHE,Switzerland,1876,0,,
CHE,Switzerland,1877,0,,
CHE,Switzerland,1878,0,,
CHE,Switzerland,1879,0,,
CHE,Switzerland,1880,0,,
CHE,Switzerland,1881,0,,
