year,category,low,high,peak_month,missions,source
1949,UN-led,8,8,1949-06,UNMOGIP 8,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-commission-india-pakistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1950,UN-led,8,8,1950-01,UNMOGIP 8,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-commission-india-pakistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1951,UN-led,8,8,1951-01,UNMOGIP 8,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-commission-india-pakistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1952,UN-led,8,8,1952-01,UNMOGIP 8,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-commission-india-pakistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1953,UN-led,8,8,1953-01,UNMOGIP 8,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-commission-india-pakistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1954,Other non-UN,112,146,1954-08,ICSC Vietnam 60–82; ICSC Cambodia 32; ICSC Laos 20–32,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html
1954,UN-led,12,12,1954-06,UNMOGIP 8; UNTSO 4,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-commission-india-pakistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html
1955,Other non-UN,108,137,1955-01,ICSC Vietnam 82; ICSC Laos 20–32; ICSC Cambodia 6–23,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html
1955,UN-led,13,13,1955-01,UNMOGIP 9; UNTSO 4,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html
1956,Other non-UN,94,137,1956-01,ICSC Vietnam 68–82; ICSC Laos 20–32; ICSC Cambodia 6–23,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html
1956,UN-led,118,518,1956-11,UNEF I 100–500; UNMOGIP 9; UNTSO 9,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/rapid-step.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html
1957,Other non-UN,94,137,1957-01,ICSC Vietnam 68–82; ICSC Laos 20–32; ICSC Cambodia 6–23,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html
1957,UN-led,1030,1195,1957-03,"UNEF I 1,007–1,172; UNTSO 14; UNMOGIP 9",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/rapid-step.html | https://undocs.org/A/3694 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
