mission,mission_name,category,start,end,low,high,police,basis,evidence,source
UNMOGIP,UN Military Observer Group in India and Pakistan (from UNCIP),UN-led,1949-02,1949-05,4,4,0,exact,Four military observers dispatched to Kashmir in February 1949 for UNCIP,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-commission-india-pakistan.html
UNMOGIP,UN Military Observer Group in India and Pakistan (from UNCIP),UN-led,1949-06,1954-12,8,8,0,exact,Commitment doubled to eight in June 1949; eight of UNMOGIP's original 34 observers,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-commission-india-pakistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
UNMOGIP,UN Military Observer Group in India and Pakistan (from UNCIP),UN-led,1955-01,1963-12,9,9,0,reported,A ninth observer was added in 1955,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
UNMOGIP,UN Military Observer Group in India and Pakistan (from UNCIP),UN-led,1964-01,1975-03,17,17,0,reported,Nine observers plus the RCAF Caribou detachment of three officers and five ground crew provided from 1964; the 424 Squadron detachment was disbanded on 1 April 1975,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
UNMOGIP,UN Military Observer Group in India and Pakistan (from UNCIP),UN-led,1975-04,1978-06,9,9,0,reported,Reduced to the original nine observers after the air detachment left,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
UNMOGIP,UN Military Observer Group in India and Pakistan (from UNCIP),UN-led,1978-07,1978-12,1,9,0,bounded,Reduced from nine to one by the end of 1978 (the date of the reduction is not given),https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
UNMOGIP,UN Military Observer Group in India and Pakistan (from UNCIP),UN-led,1979-01,1979-01,1,1,0,reported,Eliminated altogether in early 1979; Canadian participation ended 20 January 1979,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
UNTSO,UN Truce Supervision Organization (Operation JADE),UN-led,1954-06,1955-12,4,4,0,exact,Major-General E.L.M. Burns and three other officers seconded from June 1954,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html
UNTSO,UN Truce Supervision Organization (Operation JADE),UN-led,1956-01,1956-12,9,9,0,reported,Increased to nine in 1956,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html
UNTSO,UN Truce Supervision Organization (Operation JADE),UN-led,1957-01,1958-12,14,14,0,reported,Increased to 14 in 1957,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html
UNTSO,UN Truce Supervision Organization (Operation JADE),UN-led,1959-01,1959-12,17,17,0,reported,Increased to 17 in 1959,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html
UNTSO,UN Truce Supervision Organization (Operation JADE),UN-led,1960-01,1990-12,20,20,0,reported,"Remained at 20 through the 1960s, 1970s and 1980s",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html
UNOGIL,UN Observation Group in Lebanon,UN-led,1958-06,1958-12,77,77,0,reported,"Successive drafts of 1, 10, 7 and 56 officers and men from 15 June 1958; total contingent 77 (71 officers, 6 non-commissioned officers); all home by Christmas 1958",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/united-nations-observer-group-lebanon.html
UNSF,UN Security Force in West New Guinea (UNTEA),UN-led,1962-09,1963-04,12,12,0,exact,Eleven members of 116 Air Transport Unit plus the air advisor; in West New Guinea from 3 September 1962; UNSF ended 30 April 1963,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-security-force-west-new-guinea.html
UNYOM,UN Yemen Observation Mission,UN-led,1963-06,1963-12,50,50,0,reported,The fifty-man air unit (134 Air Transport Unit) in Sana'a from 22 to 25 June 1963,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/united-nations-yemen-observation-mission.html
UNYOM,UN Yemen Observation Mission,UN-led,1964-01,1964-09,28,50,0,bounded,Establishment reduced to 28 after 134 ATU became a detachment of 115 ATU on 15 December 1963; operations ended 4 September 1964,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/united-nations-yemen-observation-mission.html
UNIPOM,UN India–Pakistan Observation Mission,UN-led,1965-09,1965-12,90,90,0,reported,"Initial strength 90: the force commander, twelve army observers and the RCAF detachment with two Caribou and three Otter aircraft, from 26 September 1965",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-india-pakistan-observer-mission-unipom.html
UNIPOM,UN India–Pakistan Observation Mission,UN-led,1966-01,1966-03,79,79,0,reported,Reduced to 79 by December 1965; army observers withdrawn from their posts by 1 March and the aircraft from 15 March 1966,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-india-pakistan-observer-mission-unipom.html
DOMREP,Mission of the Representative of the Secretary-General in the Dominican Republic,UN-led,1965-06,1966-10,1,1,0,exact,"One officer, Lieutenant-Colonel Paul Mayer, June 1965 to October 1966",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/caribbean/mission-representative-secretary-general-dominican-republic.html
UNGOMAP,UN Good Offices Mission in Afghanistan and Pakistan,UN-led,1988-05,1989-04,5,5,0,exact,Five observers arrived in Pakistan on 2 May 1988 on a one-year posting,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-good-offices-mission-afghanistan-pakistan.html
UNGOMAP,UN Good Offices Mission in Afghanistan and Pakistan,UN-led,1989-05,1990-03,3,3,0,exact,Three replacements arrived in May 1989 and left when UNGOMAP ended on 15 March 1990,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-good-offices-mission-afghanistan-pakistan.html
UNEF I,"UN Emergency Force, Egypt (Operation RAPID STEP)",UN-led,1956-11,1956-12,100,500,0,bounded,RCAF airlift to Abu Suweir from 21 November 1956 and advance elements in Egypt in December; the main body of nearly 500 sailed in HMCS Magnificent on 29 December; no Canadian strength for December 1956 is stated,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/rapid-step.html
