date,level,net_debt,liabilities,financial_assets,debt_securities,interest,expenditure,revenue,gdp_4q,net_debt_pct_gdp,liabilities_pct_gdp
1990-01-01,Federal,351128,408614,57486,297363,10093,41463,28947,680521.0,51.6,60.04
1990-01-01,Provincial and territorial,80771,245755,164984,154794,4419,39039,36632,680521.0,11.87,36.11
1990-01-01,Local,27707,51165,23458,21240,769,14765,14925,680521.0,4.07,7.52
1990-01-01,CPP and QPP,-53201,0,53201,0,0,3360,3933,680521.0,-7.82,0.0
1990-04-01,Federal,358858,413398,54540,300756,10460,36057,32632,686979.0,52.24,60.18
1990-04-01,Provincial and territorial,85950,250497,164547,162455,4865,39136,37352,686979.0,12.51,36.46
1990-04-01,Local,27783,52026,24243,21691,1049,16139,17245,686979.0,4.04,7.57
1990-04-01,CPP and QPP,-54153,0,54153,0,0,3379,4879,686979.0,-7.88,0.0
1990-07-01,Federal,366635,421381,54746,309814,10745,37733,31005,691617.0,53.01,60.93
1990-07-01,Provincial and territorial,91148,256090,164942,165873,4736,39563,37575,691617.0,13.18,37.03
1990-07-01,Local,29465,53593,24128,22038,878,15743,14448,691617.0,4.26,7.75
1990-07-01,CPP and QPP,-53991,0,53991,0,0,3434,3449,691617.0,-7.81,0.0
1990-10-01,Federal,374184,429557,55373,321132,10846,39760,28927,695501.0,53.8,61.76
1990-10-01,Provincial and territorial,97385,265538,168153,174266,4747,40971,39103,695501.0,14.0,38.18
1990-10-01,Local,31153,54445,23292,23220,1269,16869,15947,695501.0,4.48,7.83
1990-10-01,CPP and QPP,-55227,0,55227,0,0,3495,3458,695501.0,-7.94,0.0
1991-01-01,Federal,389247,448482,59235,328929,10755,43281,28250,696021.0,55.92,64.44
1991-01-01,Provincial and territorial,105822,278568,172746,182280,5137,42818,36937,696021.0,15.2,40.02
1991-01-01,Local,33480,58365,24885,25007,811,16210,15597,696021.0,4.81,8.39
1991-01-01,CPP and QPP,-56201,0,56201,0,0,3699,4128,696021.0,-8.07,0.0
1991-04-01,Federal,396050,455399,59349,336842,10456,39606,32679,697508.0,56.78,65.29
1991-04-01,Provincial and territorial,107369,281141,173772,187639,4954,42697,37311,697508.0,15.39,40.31
1991-04-01,Local,31931,58652,26721,25201,1094,17592,18748,697508.0,4.58,8.41
1991-04-01,CPP and QPP,-57699,0,57699,0,0,3794,5291,697508.0,-8.27,0.0
1991-07-01,Federal,406009,466853,60844,346512,10346,40422,31753,699286.0,58.06,66.76
1991-07-01,Provincial and territorial,116984,292450,175466,196637,4541,42701,38269,699286.0,16.73,41.82
1991-07-01,Local,33703,60736,27033,25815,920,16932,15689,699286.0,4.82,8.69
1991-07-01,CPP and QPP,-57366,0,57366,0,0,3792,3633,699286.0,-8.2,0.0
1991-10-01,Federal,413275,473309,60034,354054,9754,40655,34647,701773.0,58.89,67.44
1991-10-01,Provincial and territorial,128291,305903,177612,208530,5041,44488,39806,701773.0,18.28,43.59
1991-10-01,Local,36023,61148,25125,27262,1330,18247,16639,701773.0,5.13,8.71
1991-10-01,CPP and QPP,-57802,0,57802,0,0,3839,3423,701773.0,-8.24,0.0
1992-01-01,Federal,423254,482699,59445,359456,10856,45749,33614,705773.0,59.97,68.39
1992-01-01,Provincial and territorial,121626,301924,180298,197075,5487,46992,38552,705773.0,17.23,42.78
