year,gnp_market_prices,source
1926,5146.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1927,5561.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1928,6050.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1929,6139.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1930,5720.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1931,4693.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1932,3814.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1933,3492.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1934,3969.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1935,4301.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1936,4634.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1937,5241.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1938,5272.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1939,5621.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1940,6713.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1941,8282.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1942,10265.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1943,11053.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1944,11848.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1945,11863.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1946,11885.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1947,13473.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1948,15509.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1949,16800.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1950,18491.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1951,21640.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1952,24588.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1953,25833.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1954,25918.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1955,28528.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1956,32058.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1957,33513.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1958,34777.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1959,36846.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1960,38359.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1961,39646.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1962,42927.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1963,45978.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1964,50280.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1965,55364.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1966,61828.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1967,66409.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1968,72586.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1969,79815.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1970,85685.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1971,94450.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1972,105234.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1973,123560.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1974,147528.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1975,165343.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
1976,191031.0,"Statistics Canada, Historical Statistics of Canada (11-516-X), series F13"
