country_code,country_name,period,year,rate_pct,source
FRA,France,2024,2024,5.2894,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
FRA,France,2025–2027,2025,4.5872,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
GBR,United Kingdom,2024,2024,5.3592,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
GBR,United Kingdom,2025–2027,2025,4.7454,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
USA,United States,2024,2024,26.9493,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
USA,United States,2025–2027,2025,26.1584,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
AUS,Australia,2024,2024,2.111,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
AUS,Australia,2025–2027,2025,2.04,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
CAN,Canada,2024,2024,2.628,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
CAN,Canada,2025–2027,2025,2.543,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
DNK,Denmark,2024,2024,0.553,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
DNK,Denmark,2025–2027,2025,0.531,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
FIN,Finland,2024,2024,0.417,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
