date,personnel_type,count
1990-11-30,Experts and staff officers,0.0
1990-11-30,Police,0.0
1990-11-30,Troops,1002.0
1990-12-31,Experts and staff officers,0.0
1990-12-31,Police,0.0
1990-12-31,Troops,1002.0
1991-01-31,Experts and staff officers,0.0
1991-01-31,Police,0.0
1991-01-31,Troops,1002.0
1991-02-28,Experts and staff officers,0.0
1991-02-28,Police,0.0
1991-02-28,Troops,1002.0
1991-03-31,Experts and staff officers,0.0
1991-03-31,Police,0.0
1991-03-31,Troops,850.0
1991-04-30,Experts and staff officers,0.0
1991-04-30,Police,0.0
1991-04-30,Troops,1141.0
1991-05-31,Experts and staff officers,0.0
1991-05-31,Police,0.0
1991-05-31,Troops,1140.0
1991-06-30,Experts and staff officers,0.0
1991-06-30,Police,0.0
1991-06-30,Troops,1147.0
1991-07-31,Experts and staff officers,0.0
1991-07-31,Police,0.0
1991-07-31,Troops,1151.0
1991-08-31,Experts and staff officers,0.0
1991-08-31,Police,0.0
1991-08-31,Troops,1149.0
1991-09-30,Experts and staff officers,0.0
1991-09-30,Police,0.0
1991-09-30,Troops,1176.0
1991-10-31,Experts and staff officers,0.0
1991-10-31,Police,0.0
1991-10-31,Troops,978.0
1991-11-30,Experts and staff officers,0.0
1991-11-30,Police,0.0
1991-11-30,Troops,976.0
1991-12-31,Experts and staff officers,0.0
1991-12-31,Police,0.0
1991-12-31,Troops,956.0
1992-01-31,Experts and staff officers,0.0
1992-01-31,Police,0.0
1992-01-31,Troops,1024.0
1992-02-29,Experts and staff officers,0.0
1992-02-29,Police,0.0
1992-02-29,Troops,814.0
1992-03-31,Experts and staff officers,0.0
1992-03-31,Police,0.0
1992-03-31,Troops,1043.0
1992-04-30,Experts and staff officers,0.0
1992-04-30,Police,0.0
1992-04-30,Troops,2122.0
1992-05-31,Experts and staff officers,0.0
1992-05-31,Police,0.0
1992-05-31,Troops,2122.0
1992-06-30,Experts and staff officers,0.0
1992-06-30,Police,0.0
1992-06-30,Troops,2122.0
1992-07-31,Experts and staff officers,0.0
1992-07-31,Police,0.0
1992-07-31,Troops,2122.0
1992-08-31,Experts and staff officers,70.0
1992-08-31,Police,30.0
1992-08-31,Troops,2212.0
1992-09-30,Experts and staff officers,69.0
1992-09-30,Police,30.0
1992-09-30,Troops,2179.0
1992-10-31,Experts and staff officers,69.0
1992-10-31,Police,45.0
1992-10-31,Troops,2169.0
1992-11-30,Experts and staff officers,68.0
1992-11-30,Police,45.0
1992-11-30,Troops,3102.0
1992-12-31,Experts and staff officers,68.0
1992-12-31,Police,45.0
1992-12-31,Troops,3172.0
1993-01-31,Experts and staff officers,68.0
1993-01-31,Police,45.0
1993-01-31,Troops,3220.0
1993-02-28,Experts and staff officers,64.0
1993-02-28,Police,45.0
1993-02-28,Troops,3171.0
1993-03-31,Experts and staff officers,65.0
1993-03-31,Police,45.0
1993-03-31,Troops,3155.0
1993-04-30,Experts and staff officers,69.0
1993-04-30,Police,45.0
1993-04-30,Troops,3222.0
1993-05-31,Experts and staff officers,67.0
1993-05-31,Police,45.0
1993-05-31,Troops,3093.0
1993-06-30,Experts and staff officers,65.0
1993-06-30,Police,45.0
1993-06-30,Troops,2829.0
1993-07-31,Experts and staff officers,62.0
1993-07-31,Police,45.0
1993-07-31,Troops,2699.0
1993-08-31,Experts and staff officers,65.0
1993-08-31,Police,45.0
1993-08-31,Troops,2495.0
1993-09-30,Experts and staff officers,64.0
1993-09-30,Police,45.0
1993-09-30,Troops,2393.0
1993-10-31,Experts and staff officers,65.0
1993-10-31,Police,45.0
1993-10-31,Troops,2412.0
1993-11-30,Experts and staff officers,65.0
1993-11-30,Police,44.0
1993-11-30,Troops,2190.0
1993-12-31,Experts and staff officers,66.0
1993-12-31,Police,46.0
1993-12-31,Troops,1976.0
1994-01-31,Experts and staff officers,67.0
1994-01-31,Police,46.0
1994-01-31,Troops,2178.0
1994-02-28,Experts and staff officers,66.0
1994-02-28,Police,46.0
1994-02-28,Troops,2205.0
1994-03-31,Experts and staff officers,67.0
1994-03-31,Police,46.0
1994-03-31,Troops,2199.0
1994-04-30,Experts and staff officers,66.0
1994-04-30,Police,45.0
1994-04-30,Troops,2194.0
1994-05-31,Experts and staff officers,67.0
1994-05-31,Police,45.0
1994-05-31,Troops,2294.0
1994-06-30,Experts and staff officers,60.0
