country_code,country_name,date,personnel,rank
NPL,Nepal,2026-06-30,4278.0,1
IND,India,2026-06-30,4254.0,2
BGD,Bangladesh,2026-06-30,4022.0,3
RWA,Rwanda,2026-06-30,4020.0,4
PAK,Pakistan,2026-06-30,2092.0,5
IDN,Indonesia,2026-06-30,1963.0,6
GHA,Ghana,2026-06-30,1929.0,7
CHN,China,2026-06-30,1640.0,8
MAR,Morocco,2026-06-30,1332.0,9
EGY,Egypt,2026-06-30,1011.0,10
TZA,United Republic of Tanzania,2026-06-30,1005.0,11
ETH,Ethiopia,2026-06-30,921.0,12
URY,Uruguay,2026-06-30,835.0,13
SEN,Senegal,2026-06-30,830.0,14
CMR,Cameroon,2026-06-30,783.0,15
MWI,Malawi,2026-06-30,763.0,16
ITA,Italy,2026-06-30,748.0,17
ESP,Spain,2026-06-30,673.0,18
TUN,Tunisia,2026-06-30,672.0,19
UGA,Uganda,2026-06-30,647.0,20
ZMB,Zambia,2026-06-30,630.0,21
FRA,France,2026-06-30,620.0,22
BDI,Burundi,2026-06-30,611.0,23
MNG,Mongolia,2026-06-30,549.0,24
MYS,Malaysia,2026-06-30,539.0,25
KHM,Cambodia,2026-06-30,456.0,26
KEN,Kenya,2026-06-30,436.0,27
KOR,Republic of Korea,2026-06-30,430.0,28
ZAF,South Africa,2026-06-30,400.0,29
LKA,Sri Lanka,2026-06-30,315.0,30
IRL,Ireland,2026-06-30,300.0,31
MRT,Mauritania,2026-06-30,290.0,32
THA,Thailand,2026-06-30,287.0,33
VNM,Viet Nam,2026-06-30,275.0,34
ARG,Argentina,2026-06-30,261.0,35
GBR,United Kingdom of Great Britain and Northern Ireland,2026-06-30,256.0,36
SVK,Slovakia,2026-06-30,236.0,37
PER,Peru,2026-06-30,207.0,38
DEU,Germany,2026-06-30,200.0,39
NGA,Nigeria,2026-06-30,194.0,40
GTM,Guatemala,2026-06-30,193.0,41
JOR,Jordan,2026-06-30,187.0,42
CIV,Côte d’Ivoire,2026-06-30,181.0,43
SRB,Serbia,2026-06-30,181.0,43
BTN,Bhutan,2026-06-30,180.0,45
AUT,Austria,2026-06-30,175.0,46
DJI,Djibouti,2026-06-30,172.0,47
FIN,Finland,2026-06-30,168.0,48
PRT,Portugal,2026-06-30,167.0,49
FJI,Fiji,2026-06-30,158.0,50
KAZ,Kazakhstan,2026-06-30,155.0,51
POL,Poland,2026-06-30,147.0,52
COG,Congo,2026-06-30,140.0,53
BRA,Brazil,2026-06-30,65.0,54
BFA,Burkina Faso,2026-06-30,65.0,54
RUS,Russian Federation,2026-06-30,57.0,56
TGO,Togo,2026-06-30,55.0,57
GMB,Gambia,2026-06-30,52.0,58
NER,Niger,2026-06-30,47.0,59
SLV,El Salvador,2026-06-30,36.0,60
ZWE,Zimbabwe,2026-06-30,35.0,61
NOR,Norway,2026-06-30,33.0,62
ARM,Armenia,2026-06-30,33.0,62
HUN,Hungary,2026-06-30,30.0,64
AUS,Australia,2026-06-30,28.0,65
PHL,Philippines,2026-06-30,27.0,66
CAN,Canada,2026-06-30,27.0,66
CHE,Switzerland,2026-06-30,25.0,68
SLE,Sierra Leone,2026-06-30,24.0,69
BRN,Brunei Darussalam,2026-06-30,21.0,70
PRY,Paraguay,2026-06-30,20.0,71
USA,United States of America,2026-06-30,17.0,72
GIN,Guinea,2026-06-30,17.0,72
BIH,Bosnia and Herzegovina,2026-06-30,16.0,74
CHL,Chile,2026-06-30,16.0,74
LBR,Liberia,2026-06-30,15.0,76
TCD,Chad,2026-06-30,15.0,76
TUR,Türkiye,2026-06-30,14.0,78
BEN,Benin,2026-06-30,14.0,78
MEX,Mexico,2026-06-30,13.0,80
HRV,Croatia,2026-06-30,12.0,81
NLD,Netherlands,2026-06-30,12.0,81
SWE,Sweden,2026-06-30,11.0,83
NZL,New Zealand,2026-06-30,10.0,84
DNK,Denmark,2026-06-30,10.0,84
BOL,Bolivia (Plurinational State of),2026-06-30,10.0,84
KGZ,Kyrgyzstan,2026-06-30,10.0,84
HND,Honduras,2026-06-30,10.0,84
ECU,Ecuador,2026-06-30,9.0,89
WSM,Samoa,2026-06-30,8.0,90
SLB,Solomon Islands,2026-06-30,8.0,90
SVN,Slovenia,2026-06-30,8.0,90
KIR,Kiribati,2026-06-30,7.0,93
NAM,Namibia,2026-06-30,7.0,93
MLI,Mali,2026-06-30,7.0,93
LVA,Latvia,2026-06-30,5.0,96
VUT,Vanuatu,2026-06-30,5.0,96
MDA,Republic of Moldova,2026-06-30,5.0,96
COL,Colombia,2026-06-30,4.0,99
ROU,Romania,2026-06-30,4.0,99
CZE,Czechia,2026-06-30,4.0,99
JPN,Japan,2026-06-30,4.0,99
MNE,Montenegro,2026-06-30,3.0,103
EST,Estonia,2026-06-30,3.0,103
DOM,Dominican Republic,2026-06-30,3.0,103
DZA,Algeria,2026-06-30,2.0,106
ALB,Albania,2026-06-30,2.0,106
MDG,Madagascar,2026-06-30,2.0,106
CYP,Cyprus,2026-06-30,2.0,106
BWA,Botswana,2026-06-30,2.0,106
CUB,Cuba,2026-06-30,2.0,106
AZE,Azerbaijan,2026-06-30,2.0,106
MKD,North Macedonia,2026-06-30,2.0,106
GNQ,Equatorial Guinea,2026-06-30,1.0,114
BEL,Belgium,2026-06-30,1.0,114
GRC,Greece,2026-06-30,1.0,114
QAT,Qatar,2026-06-30,1.0,114
TJK,Tajikistan,2026-06-30,1.0,114
