climate_id,station,province,lat,lon,jan_temp,jul_temp,annual_temp,annual_precip
2101200,Watson Lake A,YT,60.1165,-128.8223,-22.54,15.28,-2.37,416.37
2300902,Kugluktuk A,NU,67.8167,-115.1439,-27.3,10.88,-10.26,247.22
2204100,Yellowknife A,NT,62.4628,-114.4403,-25.6,16.95,-4.28,288.58
2202800,Norman Wells A,NT,65.2825,-126.8003,-26.06,17.06,-5.12,294.37
2303986,Whale Cove A,NU,62.24,-92.5981,-30.6,9.75,-9.98,350.64
2400800,Clyde A,NU,70.4861,-68.5167,-29.11,5.02,-12.58,
2100160,Beaver Creek A,YT,62.4103,-140.8675,-25.21,14.08,-4.87,417.26
2303401,Rankin Inlet A,NU,62.8167,-92.1167,-30.83,10.5,-10.51,310.07
1030230,Alberni Robertson Creek,BC,49.3372,-124.982,1.99,18.28,9.59,2153.59
1064320,Kitimat Townsite,BC,54.0536,-128.6342,-1.72,16.67,7.35,2210.7
1162265,Darfield,BC,51.2918,-120.1825,-4.54,19.07,7.35,485.05
1175122,Mica Dam,BC,52.0531,-118.5853,-4.87,16.67,5.62,1373.89
1066481,Prince Rupert A,BC,54.2925,-130.4447,2.41,13.38,7.5,2619.11
1103332,Haney Ubc Rf Admin,BC,49.2645,-122.5732,3.22,17.52,9.9,2179.99
1152850,Fernie,BC,49.4887,-115.0733,-5.18,16.81,5.28,1227.06
1096468,Prince George Stp,BC,53.88,-122.7675,-6.71,16.57,5.3,558.06
1160899,Blue River A,BC,52.129,-119.2895,-7.25,16.42,4.77,1024.43
8403506,St John'S A,NL,47.6222,-52.7428,-4.51,15.84,5.03,1534.19
8504175,Wabush Lake A,NL,52.9272,-66.8742,-22.23,13.76,-3.13,839.52
3073146,High Level A,AB,58.6214,-117.1647,-20.4,16.48,-1.0,372.14
1157630,Sparwood,BC,49.7453,-114.8828,-6.46,15.79,4.43,613.31
110N666,N Van Seymour Hatchery,BC,49.4375,-122.9669,2.11,16.96,9.11,3859.7
1101158,Burnaby Simon Fraser U,BC,49.2784,-122.918,3.61,16.97,9.61,2009.94
1023042,Gabriola Island,BC,49.1539,-123.7336,3.88,16.99,9.6,957.52
