name,type,lat,lon,area_km2
Georgian Bay Islands National Park,National Park,44.8864,-79.8759,13
Point Pelee National Park,National Park,41.9591,-82.5208,15
Thousand Islands National Park,National Park,44.3623,-76.0061,23
Sable Island National Park Reserve,National Park Reserve,43.9439,-59.9063,27
Prince Edward Island National Park,National Park,46.4532,-63.1507,35
Mingan Archipelago National Park Reserve,National Park Reserve,50.2245,-63.5483,97
Bruce Peninsula National Park,National Park,45.1942,-81.4888,150
Elk Island National Park,National Park,53.6076,-112.862,193
Fundy National Park,National Park,45.6191,-65.0354,206
Kouchibouguac National Park,National Park,46.8239,-64.9411,238
Forillon National Park,National Park,48.8904,-64.3554,246
Mount Revelstoke National Park,National Park,51.0934,-118.0449,264
Terra Nova National Park,National Park,48.5253,-53.9656,405
Kejimkujik National Park and National Historic Site,National Park,44.3411,-65.2713,406
Waterton Lakes National Park,National Park,49.0815,-113.933,499
La Mauricie National Park,National Park,46.7868,-72.9665,537
Pacific Rim National Park Reserve,National Park Reserve,48.8385,-125.196,538
Grasslands National Park,National Park,49.1033,-107.1722,767
Cape Breton Highlands National Park,National Park,46.7324,-60.6412,952
Yoho National Park,National Park,51.3832,-116.5258,1290
Glacier National Park,National Park,51.2685,-117.524,1353
Kootenay National Park,National Park,50.9613,-116.0405,1381
Gwaii Haanas National Park Reserve and Haida Heritage Site,National Park Reserve,52.4299,-131.4744,1476
Pukaskwa National Park,National Park,48.2892,-85.9038,1850
Gros Morne National Park,National Park,49.6298,-57.739,1867
Riding Mountain National Park,National Park,50.8296,-100.1998,3089
Prince Albert National Park ,National Park,53.9626,-106.3697,3954
Vuntut National Park,National Park,68.3881,-139.8702,4345
Nááts'ihch'oh National Park Reserve ,National Park Reserve,62.6716,-128.5459,4900
Banff National Park,National Park,51.543,-116.1139,6901
Torngat Mountains National Park,National Park,59.2248,-63.9933,9697
Ivvavik National Park,National Park,69.1039,-139.8489,9779
Akami–Uapishku - KakKasuak - Mealy Mountains National Park Reserve,National Park Reserve,53.5725,-58.3478,10710
Qausuittuq National Park,National Park,76.14,-100.9497,11018
Jasper National Park,National Park,52.8503,-117.9766,11236
Wapusk National Park,National Park,57.794,-93.2295,11486
Aulavik National Park,National Park,73.7479,-119.5946,12191
Thaidene Nene National Park Reserve,National Park Reserve,62.7088,-108.6432,14075
Tuktut Nogait National Park,National Park,68.7376,-121.7981,18893
Auyuittuq National Park,National Park,67.3636,-65.993,19514
Ukkusiksalik National Park,National Park,65.8418,-89.7046,20864
Kluane National Park and Reserve,National Park Reserve,60.6323,-139.1929,22062
Sirmilik National Park,National Park,73.0721,-79.7853,22190
Nahanni National Park Reserve,National Park Reserve,61.6093,-125.8664,30667
Quttinirpaaq National Park,National Park,82.1127,-71.6376,37871
Wood Buffalo National Park,National Park,59.347,-113.2359,45549
