lat,lon,size_ha,province,cause,year
56.9791,-117.3245,0.0,Alberta,Human,2023
58.1582,-117.9711,0.0,Alberta,Other / unknown,2023
54.7114,-110.9418,0.0,Alberta,Other / unknown,2023
51.2576,-126.8576,0.0,British Columbia,Other / unknown,2023
51.0051,-116.2287,0.0,British Columbia,Other / unknown,2023
55.3165,-115.4988,0.0,Alberta,Other / unknown,2023
51.2708,-115.0099,0.0,Alberta,Human,2023
49.1357,-115.1836,0.0,British Columbia,Other / unknown,2023
56.1013,-125.1343,0.0,British Columbia,Other / unknown,2023
54.2578,-126.2572,0.0,British Columbia,Other / unknown,2023
50.1782,-119.403,0.0,British Columbia,Other / unknown,2023
55.4456,-128.2317,0.0,British Columbia,Other / unknown,2023
54.6021,-116.2838,0.0,Alberta,Other / unknown,2023
49.4353,-117.2832,0.0,British Columbia,Other / unknown,2023
52.5193,-121.5877,0.0,British Columbia,Other / unknown,2023
50.5123,-125.2903,0.0,British Columbia,Other / unknown,2023
56.4887,-111.3489,0.0,Alberta,Human,2023
51.0705,-118.5806,0.0,British Columbia,Other / unknown,2023
52.2709,-121.6627,0.0,British Columbia,Other / unknown,2023
49.7857,-113.9687,0.0,Alberta,Other / unknown,2023
56.1061,-121.7421,0.0,British Columbia,Other / unknown,2023
52.6243,-122.1342,0.0,British Columbia,Other / unknown,2023
52.4042,-122.0907,0.0,British Columbia,Other / unknown,2023
55.5069,-116.746,0.0,Alberta,Human,2023
55.6382,-121.7564,0.0,British Columbia,Other / unknown,2023
58.8722,-133.011,0.0,British Columbia,Other / unknown,2023
53.6335,-120.5468,0.0,British Columbia,Other / unknown,2023
52.5434,-119.11,0.0,British Columbia,Other / unknown,2023
53.058,-115.0048,0.0,Alberta,Human,2023
51.5122,-118.4596,0.0,British Columbia,Other / unknown,2023
50.9296,-118.7389,0.0,British Columbia,Other / unknown,2023
58.325,-122.6708,0.0,British Columbia,Other / unknown,2023
50.94,-118.7008,0.0,British Columbia,Other / unknown,2023
51.0649,-126.5352,0.0,British Columbia,Other / unknown,2023
53.8029,-116.4705,0.0,Alberta,Other / unknown,2023
55.1748,-112.4679,0.0,Alberta,Human,2023
55.2135,-126.5455,0.0,British Columbia,Other / unknown,2023
58.8443,-123.0637,0.0,British Columbia,Other / unknown,2023
58.6657,-117.479,0.0,Alberta,Other / unknown,2023
50.3212,-125.947,0.0,British Columbia,Other / unknown,2023
58.8154,-122.8147,0.0,British Columbia,Other / unknown,2023
58.9402,-122.1217,0.0,British Columbia,Other / unknown,2023
49.7345,-125.6641,0.0,British Columbia,Other / unknown,2023
56.0214,-127.9578,0.0,British Columbia,Other / unknown,2023
49.6425,-120.6492,0.0,British Columbia,Other / unknown,2023
55.968,-110.8362,0.0,Alberta,Human,2023
50.8384,-121.4116,0.0,British Columbia,Other / unknown,2023
55.1079,-126.5289,0.0,British Columbia,Other / unknown,2023
55.3184,-127.6466,0.0,British Columbia,Other / unknown,2023
50.9631,-117.5692,0.0,British Columbia,Other / unknown,2023
49.0651,-120.8564,0.0,British Columbia,Other / unknown,2023
50.381,-119.2228,0.0,British Columbia,Other / unknown,2023
50.9591,-119.0326,0.0,British Columbia,Other / unknown,2023
54.3905,-126.0291,0.0,British Columbia,Other / unknown,2023
54.3807,-123.5217,0.0,British Columbia,Other / unknown,2023
53.2987,-126.8695,0.0,British Columbia,Other / unknown,2023
54.9991,-127.9198,0.0,British Columbia,Other / unknown,2023
49.8365,-120.7082,0.0,British Columbia,Other / unknown,2023
54.2979,-125.6144,0.0,British Columbia,Other / unknown,2023
58.4787,-114.5362,0.0,Alberta,Human,2023
50.2591,-119.1784,0.0,British Columbia,Other / unknown,2023
53.2352,-117.1503,0.0,Alberta,Other / unknown,2023
55.3944,-127.7022,0.0,British Columbia,Other / unknown,2023
54.0456,-123.0571,0.0,British Columbia,Other / unknown,2023
57.1286,-121.6462,0.0,British Columbia,Other / unknown,2023
54.464,-118.6526,0.0,Alberta,Human,2023
51.2842,-114.8612,0.0,Alberta,Human,2023
49.6743,-120.5883,0.0,British Columbia,Other / unknown,2023
49.6747,-120.9556,0.0,British Columbia,Other / unknown,2023
50.9377,-126.8155,0.0,British Columbia,Other / unknown,2023
54.1447,-127.1753,0.0,British Columbia,Other / unknown,2023
51.3491,-118.688,0.0,British Columbia,Other / unknown,2023
53.5984,-115.3803,0.0,Alberta,Unknown,2023
