jurisdiction,admin_level,source_agency,source_dataset,source_url,licence,boundary_type
Canada,federal,Natural Resources Canada (Canada Lands Survey System),National Parks and National Park Reserves of Canada Legislative Boundaries,https://open.canada.ca/data/en/dataset/9e1507cd-f25c-4c64-995b-6563bf9d65bd,Open Government Licence – Canada,legislative (legal)
Ontario,provincial,Ontario Parks / Land Information Ontario,Provincial Park Regulated (Land Information Ontario),https://geohub.lio.gov.on.ca/datasets/lio::provincial-park-regulated,Open Government Licence – Ontario,regulated (official)
Alberta,provincial,Alberta Environment and Protected Areas,Parks and Protected Areas of Alberta,https://open.alberta.ca/opendata/gda-6b96341f-2e19-4885-98af-66d12ed4f8dd,Open Government Licence – Alberta,official (Order-in-Council)
British Columbia,provincial,BC Parks / DataBC,"BC Parks, Ecological Reserves, and Protected Areas",https://catalogue.data.gov.bc.ca/dataset/1130248f-f1a3-4956-8b2e-38d29d3e4af7,Open Government Licence – British Columbia,official
Québec,provincial,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs (MELCCFP)",Registre des aires protégées et des AMCE au Québec,https://www.donneesquebec.ca/recherche/dataset/aires-protegees-au-quebec,Creative Commons Attribution 4.0 (CC-BY) – Québec,official
Manitoba,provincial,Manitoba Parks (Manitoba Government),Manitoba Parks,https://geoportal.gov.mb.ca/,Manitoba Open Data Licence,official
Saskatchewan,provincial,"Saskatchewan Ministry of Parks, Culture and Sport",Saskatchewan Provincial Parks (as legislated),https://gis.saskatchewan.ca/,Government of Saskatchewan Standard Unrestricted Use Data License v2.0,official (as legislated)
New Brunswick,provincial,GeoNB / NB Department of Natural Resources and Energy Development,GeoNB — Provincial Parks,https://geonb.snb.ca/,Open Government Licence – New Brunswick,official
Nova Scotia,provincial,Nova Scotia Environment and Climate Change,Nova Scotia Protected Areas System,https://data.novascotia.ca/,Open Government Licence – Nova Scotia,official
Yukon,territorial,Government of Yukon (Geomatics Yukon),GeoYukon — Parks and Protected Areas,https://mapservices.gov.yk.ca/,Open Government Licence – Yukon,official (1:1M)
Gatineau Park (NCC),federal,National Capital Commission (NCC),NCC Gatineau Park Land Use Designations 2021,https://open.canada.ca/data/en/dataset/706bf577-0603-4bef-85da-d5c3736081a0,Open Government Licence – Canada,official (land-use plan extent)
Ottawa Greenbelt (NCC),federal,National Capital Commission (NCC),NCC Greenbelt Land Use Designations 2013,https://open.canada.ca/data/en/dataset/420259e4-304f-4b46-a7f8-ffc76a66c2fa,Open Government Licence – Canada,conservation land (not a park)
Ontario Greenbelt,provincial,Land Information Ontario / Government of Ontario,Greenbelt Outer Boundary (Land Information Ontario),https://geohub.lio.gov.on.ca/datasets/lio::greenbelt-outer-boundary,Open Government Licence – Ontario,"protected countryside (land-use designation, not a park)"
