name,province,Latitude,Longitude,elevation_m
Mount Logan,Yukon,60.5671,-140.4053544,5922.1
Mount St. Elias,Yukon,60.2932694,-140.9282551,5452.6
Mount Lucania,Yukon,61.0233333,-140.4655556,5215.3
King Peak,Yukon,60.5833333,-140.6547222,5110.7
Mount Steele,Yukon,61.0932017,-140.3107453,5025.6
Mount Wood,Yukon,61.2327778,-140.5125,4813.1
Mount Vancouver,Yukon,60.3361111,-139.6947222,4730.6
Mount Macaulay,Yukon,61.2102778,-140.5263889,4700.1
Fairweather Mountain,British Columbia,58.9063889,-137.5266667,4655.3
Mount Hubbard,Yukon,60.3191667,-139.0713889,4547.9
Mount Quincy Adams,British Columbia,58.9,-137.5,4364.0
McArthur Peak,Yukon,60.6066917,-140.2142322,4240.1
Mount Augusta,Yukon,60.3077778,-140.4586111,4210.1
Mount Kennedy,Yukon,60.3408333,-138.9686111,4196.3
Mount Waddington,British Columbia,51.373611,-125.263333,3930.9
Mount Queen Mary,Yukon,60.6285412,-139.7244642,3907.4
Mount Robson,British Columbia,53.110556,-119.156389,3902.3
Mount Columbia,British Columbia,52.1472222,-117.4416666,3677.9
Mount Columbia,Alberta,52.1475,-117.4405556,3677.9
North Twin,Alberta,52.2236111,-117.4341667,3660.9
Mount Badham,Yukon,60.8561111,-139.8677778,3653.9
Mount Clemenceau,British Columbia,52.2475,-117.957778,3609.1
Mount Alberta,Alberta,52.2872222,-117.4766667,3552.5
Mount Assiniboine,British Columbia,50.8694444,-115.6508333,3547.1
Mount Assiniboine,Alberta,50.8697222,-115.6511111,3547.1
Mount Temple,Alberta,51.3505556,-116.2066667,3512.6
Mount Forbes,Alberta,51.8597222,-116.9316667,3508.9
Mount Sir Wilfrid Laurier,British Columbia,52.801389,-119.731667,3502.8
Mount Kitchener,Alberta,52.2161111,-117.3208333,3488.3
Mount Sir Sandford,British Columbia,51.656667,-117.867778,3480.1
Mount Lyell,Alberta,51.9594445,-117.095,3479.3
Mount Lyell,British Columbia,51.956667,-117.103333,3479.3
South Twin,Alberta,52.2038889,-117.4347222,3472.3
Mount Athabasca,Alberta,52.1805555,-117.2016667,3463.8
Snow Dome,British Columbia,52.1875,-117.316389,3456.1
Snow Dome,Alberta,52.1880556,-117.3169444,3456.1
Mount Bryce,British Columbia,52.041111,-117.330278,3449.2
