year,terrestrial_pct,marine_pct
1990,4.4,0.3
1991,4.4,0.3
1992,4.6,0.3
1993,4.7,0.3
1994,4.8,0.3
1995,5.1,0.3
1996,5.3,0.4
1997,5.3,0.4
1998,5.6,0.4
1999,5.8,0.4
2000,5.9,0.4
2001,6.2,0.4
2002,6.3,0.4
2003,6.8,0.5
2004,6.9,0.5
2005,7.2,0.5
2006,7.2,0.5
2007,7.4,0.5
2008,7.9,0.7
2009,8.2,0.7
2010,8.3,0.9
2011,8.6,0.9
2012,9.0,0.9
2013,9.3,0.9
2014,9.4,0.9
2015,10.0,0.9
2016,10.0,1.0
2017,10.1,4.6
2018,11.1,4.8
2019,11.9,12.4
2020,12.8,12.5
2021,13.3,12.5
2022,13.4,13.2
2023,13.6,13.2
2024,13.8,15.5
