caruid,name,province,dominant_ftype,total_farms,hover_detail,land_area_km2,cropland_ha,cropland_share
1001,"Census Agricultural Region 1, Newfoundland and Labrador",Newfoundland and Labrador,Vegetable & melon,173.0,173 farms<br>Vegetable & melon 24% · Greenhouse & nursery 17% · Beef cattle 13% · Other crop 12% · Fruit & tree nut 9% · Poultry & egg 8%,15020.0,2916.0,0.19
1002,"Census Agricultural Region 2, Newfoundland and Labrador",Newfoundland and Labrador,Vegetable & melon,91.0,91 farms<br>Vegetable & melon 30% · Greenhouse & nursery 16% · Other crop 15% · Fruit & tree nut 10% · Beef cattle 10% · Other animal 8%,54149.0,1604.0,0.03
1003,"Census Agricultural Region 3, Newfoundland and Labrador",Newfoundland and Labrador,Vegetable & melon,80.0,80 farms<br>Vegetable & melon 15% · Greenhouse & nursery 15% · Beef cattle 15% · Dairy 15% · Other crop 14% · Fruit & tree nut 8%,289001.0,3290.0,0.01
1101,"Census Agricultural Region 1, Prince Edward Island",Prince Edward Island,Fruit & tree nut,203.0,203 farms<br>Fruit & tree nut 26% · Beef cattle 18% · Vegetable & melon 16% · Oilseed & grain 12% · Other crop 10% · Greenhouse & nursery 5%,1688.0,25827.0,15.3
1102,"Census Agricultural Region 2, Prince Edward Island",Prince Edward Island,Beef cattle,588.0,588 farms<br>Beef cattle 25% · Dairy 16% · Oilseed & grain 12% · Vegetable & melon 12% · Fruit & tree nut 11% · Other crop 10%,1987.0,58908.0,29.65
1103,"Census Agricultural Region 3, Prince Edward Island",Prince Edward Island,Vegetable & melon,404.0,404 farms<br>Vegetable & melon 29% · Beef cattle 22% · Dairy 13% · Oilseed & grain 10% · Other crop 9% · Fruit & tree nut 8%,2006.0,67079.0,33.44
4604,"Census Agricultural Region 4, Manitoba",Manitoba,Oilseed & grain,679.0,679 farms<br>Oilseed & grain 51% · Beef cattle 26% · Other crop 15% · Other animal 5%,4707.0,224987.0,47.8
4605,"Census Agricultural Region 5, Manitoba",Manitoba,Oilseed & grain,582.0,582 farms<br>Oilseed & grain 55% · Beef cattle 22% · Other crop 14% · Other animal 6%,9826.0,224931.0,22.89
4606,"Census Agricultural Region 6, Manitoba",Manitoba,Oilseed & grain,1124.0,"1,124 farms<br>Oilseed & grain 44% · Beef cattle 29% · Other crop 18% · Other animal 6%",13631.0,360110.0,26.42
4607,"Census Agricultural Region 7, Manitoba",Manitoba,Oilseed & grain,1754.0,"1,754 farms<br>Oilseed & grain 50% · Beef cattle 25% · Other crop 9% · Other animal 7% · Dairy 2%",10767.0,662749.0,61.55
4608,"Census Agricultural Region 8, Manitoba",Manitoba,Oilseed & grain,2355.0,"2,355 farms<br>Oilseed & grain 61% · Beef cattle 17% · Other crop 7% · Other animal 5%",9775.0,794824.0,81.31
4609,"Census Agricultural Region 9, Manitoba",Manitoba,Oilseed & grain,1579.0,"1,579 farms<br>Oilseed & grain 36% · Beef cattle 18% · Other crop 11% · Other animal 10% · Poultry & egg 8% · Dairy 6%",6842.0,340273.0,49.73
4610,"Census Agricultural Region 10, Manitoba",Manitoba,Oilseed & grain,423.0,423 farms<br>Oilseed & grain 26% · Beef cattle 24% · Other crop 24% · Other animal 5% · Poultry & egg 5% · Hog & pig 5%,14802.0,85694.0,5.79
4611,"Census Agricultural Region 11, Manitoba",Manitoba,Oilseed & grain,730.0,730 farms<br>Oilseed & grain 42% · Beef cattle 21% · Other crop 13% · Other animal 12% · Dairy 3% · Poultry & egg 2%,4496.0,224167.0,49.86
