cmauid,name,unemployment,dwelling_value,median_income,value_to_income,crime_severity
001,St. John's,10.7,312000.0,85000.0,3.67,76.95
010,Grand Falls-Windsor,16.3,210000.0,66000.0,3.18,
011,Gander,15.3,250000.0,78000.0,3.21,
015,Corner Brook,14.1,240000.0,70000.0,3.43,
105,Charlottetown,9.0,348000.0,76500.0,4.55,
110,Summerside,10.2,250000.0,64500.0,3.88,
205,Halifax,11.4,348000.0,81000.0,4.3,73.95
210,Kentville,10.8,250000.0,67000.0,3.73,
215,Truro,12.3,200000.0,66000.0,3.03,
220,New Glasgow,13.6,160000.0,64000.0,2.5,
225,Cape Breton,19.7,160000.0,62000.0,2.58,
305,Moncton,8.4,200000.0,74500.0,2.68,93.83
310,Saint John,9.8,200000.0,74000.0,2.7,58.4
320,Fredericton,8.1,240000.0,79000.0,3.04,73.61
328,Bathurst,12.0,140000.0,62800.0,2.23,
329,Miramichi,12.0,151000.0,66500.0,2.27,
330,Campbellton,13.2,125000.0,54400.0,2.3,
13330,Campbellton (New Brunswick part),13.0,125000.0,54800.0,2.28,
24330,Campbellton (Quebec part),14.8,150000.0,52800.0,2.84,
335,Edmundston,8.5,150000.0,60800.0,2.47,
403,Matane,8.0,150000.0,56800.0,2.64,
404,Rimouski,7.3,224000.0,67000.0,3.34,
405,Rivière-du-Loup,6.6,214000.0,67000.0,3.19,
406,Baie-Comeau,5.6,150000.0,75000.0,2.0,
408,Saguenay,5.6,214000.0,70000.0,3.06,55.11
410,Alma,5.3,200000.0,67500.0,2.96,
411,Dolbeau-Mistassini,7.3,151000.0,63600.0,2.37,
412,Sept-Îles,5.5,220000.0,79000.0,2.78,
421,Québec,6.4,300000.0,76500.0,3.92,55.32
423,Sainte-Marie,4.9,240000.0,78000.0,3.08,
428,Saint-Georges,5.6,200000.0,64500.0,3.1,
430,Thetford Mines,6.7,150000.0,57200.0,2.62,
433,Sherbrooke,6.0,270000.0,65000.0,4.15,53.9
437,Cowansville,6.1,250000.0,58800.0,4.25,
440,Victoriaville,4.4,200000.0,63200.0,3.16,
442,Trois-Rivières,6.4,200000.0,62400.0,3.21,61.2
444,Shawinigan,7.5,150000.0,53600.0,2.8,
447,Drummondville,5.3,240000.0,64000.0,3.75,69.0
450,Granby,5.3,290000.0,68500.0,4.23,
452,Saint-Hyacinthe,6.0,300000.0,62000.0,4.84,
454,Sorel-Tracy,7.7,210000.0,61600.0,3.41,
456,Joliette,7.0,260000.0,61600.0,4.22,
