cmauid,name,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,population
001,St. John's,75.9,21.2,1.6,0.5,0.3,0.2,0.1,0.0,0.3,208815
010,Grand Falls-Windsor,85.4,13.3,0.3,0.1,0.6,0.2,0.0,0.0,0.2,13605
011,Gander,77.7,20.8,0.8,0.1,0.1,0.2,0.0,0.0,0.2,13075
015,Corner Brook,82.3,16.6,0.3,0.2,0.2,0.1,0.1,0.1,0.2,28975
105,Charlottetown,62.2,32.0,2.0,1.4,1.0,0.7,0.2,0.1,0.6,77385
110,Summerside,66.4,29.7,0.8,0.7,1.8,0.1,0.0,0.0,0.5,17675
205,Halifax,53.3,39.9,2.9,1.5,0.8,0.5,0.4,0.1,0.7,461140
210,Kentville,51.0,47.4,0.3,0.2,0.3,0.1,0.1,0.0,0.6,26600
215,Truro,55.2,42.4,0.3,0.6,0.4,0.1,0.1,0.2,0.7,45320
220,New Glasgow,63.6,35.1,0.4,0.1,0.1,0.1,0.1,0.1,0.4,33780
225,Cape Breton,75.5,21.7,0.5,0.7,0.6,0.1,0.1,0.3,0.5,96640
305,Moncton,62.4,32.9,2.3,0.9,0.6,0.2,0.2,0.0,0.6,154250
310,Saint John,61.1,35.4,1.8,0.5,0.2,0.2,0.2,0.0,0.6,128385
320,Fredericton,54.7,40.6,2.2,0.8,0.2,0.2,0.2,0.2,0.9,107165
328,Bathurst,83.2,15.8,0.5,0.1,0.0,0.0,0.0,0.0,0.2,30545
329,Miramichi,77.6,21.0,0.3,0.1,0.2,0.1,0.0,0.3,0.3,27040
330,Campbellton,81.2,16.8,0.5,0.3,0.3,0.1,0.1,0.2,0.6,12655
13330,Campbellton (New Brunswick part),81.0,16.9,0.5,0.3,0.4,0.1,0.1,0.0,0.5,11335
24330,Campbellton (Quebec part),81.9,15.8,0.0,0.0,0.0,0.0,0.0,0.8,1.1,1325
335,Edmundston,86.6,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,20925
403,Matane,80.7,18.9,0.2,0.0,0.0,0.0,0.0,0.0,0.2,18020
404,Rimouski,74.4,24.5,0.6,0.0,0.0,0.1,0.1,0.0,0.2,52475
405,Rivière-du-Loup,81.0,18.1,0.7,0.0,0.0,0.0,0.0,0.0,0.2,28680
406,Baie-Comeau,78.1,21.4,0.1,0.0,0.0,0.1,0.0,0.0,0.2,25720
408,Saguenay,78.0,21.2,0.5,0.0,0.0,0.0,0.0,0.0,0.2,157900
410,Alma,80.8,18.7,0.1,0.0,0.0,0.1,0.0,0.0,0.2,29325
411,Dolbeau-Mistassini,86.1,13.4,0.2,0.0,0.0,0.1,0.0,0.1,0.3,14725
412,Sept-Îles,76.2,22.0,0.7,0.0,0.0,0.0,0.0,0.3,0.9,27155
421,Québec,67.5,29.5,2.4,0.1,0.0,0.2,0.0,0.0,0.2,817105
423,Sainte-Marie,81.8,17.6,0.2,0.2,0.0,0.0,0.1,0.0,0.2,12640
428,Saint-Georges,82.8,16.4,0.6,0.0,0.0,0.0,0.0,0.0,0.2,33985
430,Thetford Mines,80.2,19.0,0.6,0.0,0.0,0.1,0.0,0.0,0.2,26425
433,Sherbrooke,64.1,32.2,2.9,0.1,0.0,0.2,0.1,0.0,0.4,220110
437,Cowansville,66.5,32.7,0.2,0.2,0.0,0.1,0.0,0.1,0.2,14285
440,Victoriaville,77.0,21.7,1.0,0.0,0.0,0.1,0.0,0.0,0.1,50555
442,Trois-Rivières,71.6,26.5,1.4,0.0,0.0,0.1,0.0,0.0,0.3,155535
444,Shawinigan,74.8,24.3,0.5,0.1,0.0,0.2,0.0,0.0,0.1,47640
447,Drummondville,72.5,25.9,1.4,0.0,0.0,0.1,0.0,0.0,0.2,98565
450,Granby,68.5,29.8,1.3,0.0,0.0,0.1,0.0,0.0,0.2,88250
452,Saint-Hyacinthe,71.6,25.3,2.5,0.0,0.0,0.2,0.0,0.0,0.3,57570
454,Sorel-Tracy,75.5,23.8,0.4,0.0,0.0,0.1,0.0,0.0,0.1,40460
456,Joliette,69.3,28.7,1.3,0.0,0.0,0.2,0.0,0.0,0.3,50165
462,Montréal,57.8,28.5,8.7,1.1,0.5,1.0,2.0,0.0,0.4,4206450
465,Salaberry-de-Valleyfield,72.4,26.5,0.7,0.0,0.0,0.1,0.0,0.0,0.2,41200
467,Sainte-Agathe-des-Monts,62.5,35.9,0.2,0.0,0.0,0.2,0.7,0.1,0.4,19415
468,Lachute,72.0,27.2,0.0,0.0,0.0,0.0,0.1,0.0,0.6,13360
480,Val-d'Or,70.2,27.7,1.2,0.0,0.0,0.1,0.0,0.7,0.2,33420
481,Amos,74.1,25.0,0.3,0.0,0.0,0.1,0.0,0.2,0.2,18215
485,Rouyn-Noranda,67.1,31.9,0.8,0.0,0.0,0.0,0.0,0.0,0.1,41290
501,Cornwall,68.3,26.0,3.0,1.4,0.3,0.1,0.2,0.2,0.6,59750
502,Hawkesbury,79.8,17.6,1.3,0.8,0.0,0.0,0.1,0.0,0.3,11645
24502,Hawkesbury (Quebec part),82.9,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1815
35502,Hawkesbury (Ontario part),79.2,17.7,1.6,0.9,0.0,0.0,0.2,0.0,0.3,9825
505,Ottawa - Gatineau,56.3,31.6,7.8,1.4,0.5,0.8,0.8,0.1,0.7,1464500
24505,Ottawa - Gatineau (Quebec part),62.7,31.7,4.3,0.2,0.1,0.3,0.2,0.1,0.5,347700
35505,Ottawa - Gatineau (Ontario part),54.3,31.6,8.9,1.8,0.6,1.0,1.0,0.0,0.8,1116795
512,Brockville,59.0,38.4,0.9,0.3,0.5,0.3,0.1,0.0,0.4,30885
515,Pembroke,69.7,28.5,0.3,0.2,0.2,0.2,0.1,0.1,0.7,23085
516,Petawawa,54.8,42.3,0.4,0.8,0.2,0.2,0.2,0.0,1.2,17290
521,Kingston,52.3,42.5,2.0,1.0,0.3,0.3,0.6,0.1,0.9,168075
522,Belleville - Quinte West,54.2,42.7,0.6,0.8,0.5,0.2,0.2,0.1,0.6,109250
527,Cobourg,55.3,42.7,0.4,0.3,0.0,0.3,0.1,0.0,0.8,19780
528,Port Hope,51.9,46.2,0.1,0.3,0.2,0.2,0.3,0.2,0.6,16885
529,Peterborough,53.2,42.7,1.1,1.0,0.3,0.3,0.3,0.2,1.0,125990
530,Kawartha Lakes,53.8,44.5,0.3,0.4,0.1,0.1,0.2,0.0,0.6,77230
531,Centre Wellington,57.2,40.0,0.5,0.8,0.7,0.1,0.2,0.0,0.4,30650
532,Oshawa,53.0,36.1,5.4,3.9,0.4,0.5,0.3,0.0,0.5,411400
533,Ingersoll,50.1,47.8,0.7,0.1,0.9,0.0,0.0,0.0,0.3,13545
535,Toronto,46.4,26.6,10.2,7.5,4.0,2.0,2.7,0.0,0.6,6142880
537,Hamilton,56.2,32.7,6.0,1.9,1.2,0.8,0.5,0.0,0.6,773440
539,St. Catharines - Niagara,60.9,33.9,2.5,0.8,0.5,0.5,0.3,0.0,0.6,425480
541,Kitchener - Cambridge - Waterloo,52.6,33.0,6.8,3.4,2.2,1.0,0.3,0.0,0.8,568065
543,Brantford,53.5,39.9,1.7,1.3,2.2,0.4,0.1,0.2,0.6,141910
544,Woodstock,50.6,41.6,1.6,1.3,3.8,0.3,0.1,0.0,0.6,45950
546,Tillsonburg,60.2,37.3,0.5,0.2,0.1,0.8,0.0,0.2,0.6,18300
547,Norfolk,63.3,35.6,0.2,0.2,0.1,0.1,0.1,0.1,0.3,66225
550,Guelph,50.8,38.4,4.2,2.4,1.5,1.3,0.4,0.0,0.8,163485
553,Stratford,54.8,41.6,0.4,1.0,0.4,0.6,0.3,0.1,0.9,32480
555,London,51.0,37.7,6.7,1.7,0.8,0.7,0.4,0.1,0.9,535780
556,Chatham-Kent,65.1,32.5,0.8,0.4,0.2,0.3,0.1,0.2,0.4,102095
559,Windsor,62.4,26.2,7.3,1.8,1.0,0.7,0.2,0.0,0.4,415505
562,Sarnia,58.2,38.8,0.9,0.9,0.3,0.1,0.1,0.2,0.5,96290
563,Essa,53.9,43.0,0.8,0.8,0.3,0.2,0.4,0.0,0.5,22790
565,Wasaga Beach,59.6,38.3,0.3,0.6,0.1,0.2,0.4,0.0,0.5,24585
566,Owen Sound,52.4,44.7,1.0,0.4,0.2,0.1,0.4,0.1,0.7,31875
567,Collingwood,52.1,44.2,0.9,0.6,0.3,0.4,0.9,0.0,0.6,24270
568,Barrie,54.1,39.8,2.2,1.3,0.6,0.4,0.9,0.1,0.6,210150
569,Orillia,49.4,47.5,0.5,0.7,0.2,0.3,0.3,0.2,0.9,32275
571,Midland,58.8,39.2,0.3,0.4,0.2,0.0,0.2,0.2,0.5,26360
575,North Bay,57.9,40.4,0.2,0.3,0.1,0.3,0.1,0.1,0.6,70175
580,Greater Sudbury / Grand Sudbury,63.7,33.1,0.9,0.8,0.3,0.2,0.1,0.3,0.6,167620
582,Elliot Lake,61.5,36.9,0.4,0.0,0.0,0.2,0.2,0.0,0.6,11225
586,Timmins,65.7,31.8,0.2,0.8,0.6,0.0,0.1,0.2,0.5,40315
590,Sault Ste. Marie,58.5,38.7,0.4,0.7,0.4,0.1,0.1,0.5,0.6,75425
595,Thunder Bay,56.0,40.2,0.8,1.0,0.2,0.2,0.1,0.5,0.8,120960
598,Kenora,47.6,49.4,0.2,0.2,0.1,0.2,0.1,1.2,0.8,14610
602,Winnipeg,51.2,36.6,3.0,1.8,4.1,0.9,1.4,0.4,0.7,819715
603,Winkler,83.4,14.6,0.7,0.2,0.7,0.0,0.1,0.0,0.2,32210
605,Steinbach,75.8,20.9,0.3,0.7,1.6,0.2,0.1,0.0,0.3,17575
607,Portage la Prairie,52.7,42.3,0.6,1.7,1.2,0.0,0.0,0.7,0.8,12835
610,Brandon,48.1,45.1,1.0,3.5,0.8,0.2,0.1,0.6,0.6,52750
640,Thompson,42.2,46.7,1.0,5.1,3.1,0.0,0.0,1.4,0.5,12880
705,Regina,53.3,35.9,4.3,2.7,1.8,0.7,0.1,0.5,0.7,244950
710,Yorkton,62.1,33.4,1.0,1.7,0.7,0.1,0.0,0.3,0.8,19505
715,Moose Jaw,54.3,42.5,0.6,0.9,0.3,0.4,0.0,0.2,0.8,34155
720,Swift Current,61.4,36.0,0.4,1.1,0.4,0.0,0.0,0.2,0.5,18060
725,Saskatoon,52.7,38.1,4.2,1.7,1.1,0.6,0.2,0.6,0.8,311520
735,North Battleford,59.8,35.3,0.6,0.4,0.6,0.3,0.2,1.9,1.0,18780
745,Prince Albert,59.4,35.9,1.2,1.1,0.5,0.1,0.0,1.1,0.5,43325
750,Estevan,61.7,36.4,0.7,0.4,0.3,0.0,0.0,0.0,0.4,12555
755,Weyburn,59.7,36.6,0.8,1.5,0.5,0.2,0.1,0.0,0.6,11820
805,Medicine Hat,53.3,42.9,1.3,0.4,0.5,0.5,0.1,0.1,0.9,74590
806,Brooks,54.7,29.5,12.7,0.5,0.1,2.0,0.0,0.0,0.4,14640
810,Lethbridge,53.4,41.7,1.5,1.0,0.3,0.9,0.1,0.3,0.7,120500
820,Okotoks,53.7,44.2,0.2,0.6,0.3,0.3,0.1,0.0,0.6,30020
821,High River,57.1,40.3,1.2,0.2,0.1,0.6,0.1,0.0,0.4,14110
825,Calgary,44.8,39.3,6.9,2.4,3.8,1.5,0.5,0.1,0.7,1465175
826,Strathmore,48.2,49.9,0.1,0.3,0.6,0.1,0.1,0.1,0.6,14110
828,Canmore,36.5,59.2,0.7,1.0,0.2,0.7,0.4,0.1,1.1,15525
830,Red Deer,51.4,43.9,2.1,0.8,0.3,0.6,0.1,0.2,0.7,98040
831,Sylvan Lake,43.3,55.1,0.4,0.1,0.1,0.2,0.2,0.0,0.6,16430
832,Lacombe,58.1,40.0,0.3,0.7,0.2,0.1,0.1,0.0,0.6,13070
833,Camrose,59.3,38.1,0.5,0.9,0.2,0.2,0.1,0.0,0.8,18185
835,Edmonton,46.9,38.6,6.2,2.6,3.2,1.2,0.3,0.3,0.9,1397750
840,Lloydminster,54.0,41.6,1.6,1.0,0.6,0.2,0.0,0.4,0.8,35920
47840,Lloydminster (Saskatchewan part),52.0,45.3,1.2,0.5,0.3,0.1,0.0,0.4,0.4,16690
48840,Lloydminster (Alberta part),55.7,38.4,2.0,1.4,0.8,0.2,0.1,0.4,1.1,19230
850,Grande Prairie,45.8,49.4,1.7,1.1,0.8,0.3,0.1,0.2,0.6,63175
860,Wood Buffalo,53.4,36.1,5.9,2.8,0.4,0.4,0.0,0.4,0.6,73290
865,Wetaskiwin,51.5,43.5,1.0,0.4,0.2,0.1,0.0,2.3,0.9,12115
905,Cranbrook,40.1,57.1,0.2,0.5,0.6,0.5,0.2,0.1,0.8,26300
907,Nelson,26.9,68.0,0.1,0.3,0.4,1.3,1.0,0.1,1.9,18710
910,Trail,42.2,54.7,0.2,0.6,0.7,0.2,0.3,0.0,1.0,13865
913,Penticton,40.5,55.5,0.3,0.4,1.7,0.3,0.2,0.5,0.7,46160
915,Kelowna,40.4,54.4,0.8,0.6,1.9,0.5,0.3,0.1,1.0,218530
918,Vernon,41.2,55.2,0.7,0.4,0.8,0.4,0.2,0.2,0.9,65325
920,Salmon Arm,41.6,55.2,0.6,0.0,0.5,0.4,0.1,0.2,1.4,18890
925,Kamloops,33.7,60.8,0.8,0.9,1.9,0.4,0.1,0.4,1.0,110545
930,Chilliwack,45.7,49.4,0.7,0.5,1.5,0.5,0.1,0.4,1.0,111560
932,Abbotsford - Mission,36.4,37.0,1.3,2.1,21.7,0.7,0.1,0.1,0.7,192110
933,Vancouver,33.1,47.1,4.2,2.6,8.5,2.7,0.8,0.1,0.9,2607010
934,Squamish,21.5,70.1,0.7,0.4,5.3,0.3,0.3,0.5,1.1,23960
935,Victoria,32.7,60.5,1.3,0.8,1.3,1.1,0.7,0.2,1.5,388475
936,Ladysmith,33.1,60.4,0.0,0.0,0.3,0.3,0.2,4.7,1.0,15235
937,Duncan,35.1,59.9,0.4,0.4,0.9,0.4,0.2,1.2,1.5,46430
938,Nanaimo,31.5,62.9,0.9,0.7,1.2,0.6,0.2,0.6,1.4,112410
939,Parksville,44.4,53.3,0.2,0.1,0.1,0.3,0.3,0.1,1.2,30015
940,Port Alberni,31.2,64.9,0.3,0.5,0.8,0.5,0.2,0.7,0.9,25375
943,Courtenay,32.9,63.8,0.3,0.2,0.3,0.4,0.3,0.2,1.6,62025
944,Campbell River,32.6,64.4,0.2,0.4,0.5,0.4,0.1,0.2,1.2,39935
945,Powell River,35.6,61.9,0.1,0.4,0.2,0.4,0.2,0.1,1.1,17460
950,Williams Lake,34.2,61.4,0.1,0.2,1.5,0.3,0.1,0.9,1.2,23340
952,Quesnel,31.9,65.3,0.0,0.3,0.8,0.1,0.1,0.7,0.7,22905
955,Prince Rupert,35.1,56.8,0.7,1.2,3.1,1.5,0.1,0.5,1.0,13295
965,Terrace,35.5,59.3,0.2,0.7,2.0,0.3,0.3,0.5,1.2,19515
970,Prince George,34.1,60.6,0.6,0.7,2.7,0.2,0.1,0.2,0.8,87910
975,Dawson Creek,38.7,57.8,0.2,0.5,1.2,0.3,0.1,0.1,1.4,17375
977,Fort St. John,36.7,58.4,0.9,1.0,1.7,0.2,0.1,0.2,0.8,28430
990,Whitehorse,35.7,59.5,0.6,0.8,1.2,0.6,0.2,0.2,1.3,31425
995,Yellowknife,48.7,44.4,3.1,0.7,0.5,1.1,0.2,0.5,0.8,19910
