ctuid,name,population,share_0_14,share_15_64,share_65_plus,share_85_plus,median_age
9320001.00,9320001.00,3105,12.2,72.1,15.5,1.4,40.4
9320002.00,9320002.00,1225,12.7,69.4,18.0,1.6,42.8
9320003.00,9320003.00,7960,17.2,65.7,17.1,2.4,37.2
9320004.00,9320004.00,7590,19.0,65.5,15.5,2.3,36.8
9320005.01,9320005.01,4020,15.9,69.5,14.7,2.1,34.8
9320005.02,9320005.02,7530,10.9,49.3,39.8,12.2,56.4
9320006.00,9320006.00,7360,12.4,58.4,29.1,6.4,46.0
9320007.01,9320007.01,4140,12.4,60.1,27.5,5.0,46.4
9320007.02,9320007.02,5735,10.2,50.8,38.8,5.8,57.2
9320008.03,9320008.03,6405,19.7,66.5,13.8,1.2,34.8
9320008.04,9320008.04,6745,18.2,65.7,16.2,1.1,36.4
9320008.05,9320008.05,4815,18.6,68.3,13.1,0.8,35.2
9320008.06,9320008.06,3470,17.3,66.0,16.9,1.9,38.0
9320009.01,9320009.01,7150,18.0,64.5,17.3,1.4,38.4
9320009.02,9320009.02,5935,18.7,62.1,19.2,1.9,40.0
9320011.00,9320011.00,7360,20.9,66.5,12.7,1.0,38.0
9320012.01,9320012.01,5635,22.2,66.2,11.6,0.8,37.2
9320012.02,9320012.02,4485,22.2,65.6,12.3,0.6,38.0
9320013.01,9320013.01,120,20.8,66.7,12.5,0.0,32.4
9320013.02,9320013.02,3520,19.0,62.4,18.6,1.8,39.2
9320014.01,9320014.01,6770,18.1,64.2,17.8,2.0,41.6
9320014.02,9320014.02,5135,20.5,67.1,12.3,0.9,35.2
9320100.00,9320100.00,3405,19.1,69.3,11.6,1.0,37.2
9320101.00,9320101.00,2880,12.3,64.2,23.4,3.1,41.2
9320102.00,9320102.00,5385,16.0,72.4,11.6,1.0,35.2
9320103.00,9320103.00,1990,14.8,73.1,12.3,1.3,33.2
9320104.00,9320104.00,5340,18.7,68.0,13.3,0.9,38.0
9320105.00,9320105.00,4530,18.7,62.9,18.3,1.4,40.8
9320106.03,9320106.03,230,15.2,63.0,21.7,0.0,42.0
9320106.04,9320106.04,4705,17.5,66.7,15.7,1.1,42.0
9320106.05,9320106.05,4190,16.3,64.3,19.2,1.8,41.2
9320106.06,9320106.06,4980,23.8,65.0,11.2,0.6,36.8
9320200.00,9320200.00,3920,15.7,66.8,17.5,1.5,42.8
9320201.01,9320201.01,4820,19.6,65.6,14.8,1.2,38.8
9320201.02,9320201.02,4460,19.7,65.9,14.3,1.2,38.4
9320202.00,9320202.00,7925,19.9,63.1,17.0,2.3,39.6
9320203.00,9320203.00,3075,18.5,67.8,13.5,1.1,39.2
9320204.00,9320204.00,3790,17.9,62.7,19.4,1.6,42.8
9320205.00,9320205.00,8650,20.3,66.5,13.1,0.8,38.4
9320206.01,9320206.01,2830,15.5,68.9,15.5,1.1,46.4
9320206.02,9320206.02,330,9.1,65.2,27.3,1.5,56.8
9320207.00,9320207.00,2055,16.8,64.5,19.0,1.0,46.0
5680001.01,5680001.01,8090,15.3,62.5,22.2,4.8,46.4
5680001.02,5680001.02,6100,16.5,67.5,16.1,3.1,39.6
5680001.04,5680001.04,6210,20.5,70.9,8.6,0.8,36.0
5680001.05,5680001.05,4965,18.9,68.5,12.6,2.6,36.8
5680001.06,5680001.06,845,18.3,63.3,18.9,0.6,46.0
5680001.07,5680001.07,8200,25.5,66.4,8.0,0.5,35.2
5680002.00,5680002.00,1330,13.5,63.9,22.6,5.3,42.8
5680003.00,5680003.00,2365,18.8,67.4,13.5,0.8,37.2
5680004.01,5680004.01,4780,17.2,72.4,10.5,0.9,38.0
5680004.03,5680004.03,3670,19.5,71.7,8.9,0.8,35.6
5680004.04,5680004.04,5975,17.2,70.5,12.3,0.9,38.8
5680004.05,5680004.05,6375,18.0,68.1,13.8,1.2,38.4
