ctuid,name,canadian_born,naturalized,non_citizens,npr,population
9320001.00,9320001.00,66.9,27.6,5.6,0.4,2430
9320002.00,9320002.00,68.4,16.8,14.8,3.7,1220
9320003.00,9320003.00,58.8,19.1,22.2,7.1,7905
9320004.00,9320004.00,64.5,20.9,14.6,3.6,7455
9320005.01,9320005.01,66.5,16.8,16.8,5.5,3820
9320005.02,9320005.02,72.5,19.2,8.2,2.6,6710
9320006.00,9320006.00,65.7,18.5,15.9,4.2,7090
9320007.01,9320007.01,68.6,19.4,11.8,4.4,4015
9320007.02,9320007.02,63.8,22.6,13.6,3.0,5590
9320008.03,9320008.03,43.1,26.8,30.1,7.9,6415
9320008.04,9320008.04,41.6,28.5,29.9,10.3,6740
9320008.05,9320008.05,44.2,28.4,27.5,8.8,4625
9320008.06,9320008.06,46.6,27.2,26.0,6.7,3655
9320009.01,9320009.01,49.3,28.8,21.9,4.8,7130
9320009.02,9320009.02,68.7,18.1,13.1,3.7,6040
9320011.00,9320011.00,85.1,10.7,4.3,0.8,7365
9320012.01,9320012.01,83.4,11.9,4.7,0.9,5635
9320012.02,9320012.02,84.3,11.7,4.1,0.2,4490
9320013.01,9320013.01,100.0,0.0,0.0,0.0,120
9320013.02,9320013.02,76.7,15.7,7.5,1.0,3525
9320014.01,9320014.01,80.0,15.0,5.0,1.1,6530
9320014.02,9320014.02,60.6,23.6,15.7,2.5,5180
9320100.00,9320100.00,80.7,11.4,7.8,3.1,3345
9320101.00,9320101.00,72.5,16.2,11.1,5.0,2805
9320102.00,9320102.00,74.3,13.2,12.6,4.6,5170
9320103.00,9320103.00,83.2,8.3,8.5,3.9,1935
9320104.00,9320104.00,81.3,10.9,7.8,1.8,5570
9320105.00,9320105.00,79.8,16.4,3.9,0.7,4360
9320106.03,9320106.03,95.7,4.3,0.0,0.0,235
9320106.04,9320106.04,76.0,18.6,5.4,0.9,4810
9320106.05,9320106.05,74.0,18.6,7.4,1.9,4245
9320106.06,9320106.06,79.9,14.9,5.3,0.4,4970
9320200.00,9320200.00,85.4,9.7,4.8,0.4,3625
9320201.01,9320201.01,83.9,10.4,5.6,1.2,4855
9320201.02,9320201.02,82.9,12.0,5.2,0.0,4360
9320202.00,9320202.00,81.8,12.1,6.1,1.3,7865
9320203.00,9320203.00,79.6,13.3,7.1,1.7,3010
9320204.00,9320204.00,82.2,14.8,2.9,0.4,3790
9320205.00,9320205.00,79.6,13.9,6.5,0.8,8240
9320206.01,9320206.01,81.2,13.7,5.1,0.4,2665
9320206.02,9320206.02,94.0,6.0,0.0,0.0,335
9320207.00,9320207.00,89.6,9.3,1.1,0.0,2210
5680001.01,5680001.01,78.5,16.9,4.5,1.1,7855
5680001.02,5680001.02,83.6,11.0,5.4,1.3,6050
5680001.04,5680001.04,75.7,15.4,8.8,1.1,6120
5680001.05,5680001.05,75.0,17.5,7.5,1.2,4945
5680001.06,5680001.06,91.3,8.1,1.2,0.0,860
5680001.07,5680001.07,76.7,16.2,7.0,1.0,8200
5680002.00,5680002.00,81.5,12.7,5.8,0.7,1380
5680003.00,5680003.00,75.0,16.2,8.8,1.7,2380
5680004.01,5680004.01,83.9,12.7,3.4,0.3,4640
5680004.03,5680004.03,84.6,9.1,6.4,1.7,3725
5680004.04,5680004.04,79.9,14.2,5.9,1.7,6060
5680004.05,5680004.05,82.6,13.0,4.3,1.3,6250
5680004.06,5680004.06,74.8,17.4,7.7,0.9,6410
5680004.07,5680004.07,77.9,15.5,6.6,1.0,3390
5680005.00,5680005.00,85.8,8.6,5.6,0.8,6645
5680006.00,5680006.00,79.3,15.6,5.1,2.3,3840
5680007.00,5680007.00,87.0,8.2,4.7,1.0,3525
5680008.00,5680008.00,82.2,12.5,5.3,0.8,5885
5680009.00,5680009.00,86.6,8.1,5.4,0.9,6060
5680010.00,5680010.00,84.0,10.2,5.6,2.3,3990
5680011.01,5680011.01,81.1,12.3,6.6,1.8,7310
5680011.02,5680011.02,84.5,11.5,3.8,1.3,2225
5680012.01,5680012.01,81.4,10.3,8.2,2.4,3110
5680012.02,5680012.02,82.5,11.0,6.5,2.2,6010
5680013.00,5680013.00,86.6,8.1,5.3,2.6,6520
5680014.00,5680014.00,87.1,8.7,4.1,1.4,4895
