ctuid,name,dwelling_value
9320001.00,9320001.00,1500000.0
9320002.00,9320002.00,800000.0
9320003.00,9320003.00,900000.0
9320004.00,9320004.00,900000.0
9320005.01,9320005.01,800000.0
9320005.02,9320005.02,380000.0
9320006.00,9320006.00,380000.0
9320007.01,9320007.01,332000.0
9320007.02,9320007.02,376000.0
9320008.03,9320008.03,800000.0
9320008.04,9320008.04,1100000.0
9320008.05,9320008.05,1000000.0
9320008.06,9320008.06,800000.0
9320009.01,9320009.01,950000.0
9320009.02,9320009.02,800000.0
9320011.00,9320011.00,900000.0
9320012.01,9320012.01,1000000.0
9320012.02,9320012.02,950000.0
9320013.02,9320013.02,1000000.0
9320014.01,9320014.01,1500000.0
9320014.02,9320014.02,1100000.0
9320100.00,9320100.00,1000000.0
9320101.00,9320101.00,552000.0
9320102.00,9320102.00,552000.0
9320103.00,9320103.00,360000.0
9320104.00,9320104.00,900000.0
9320105.00,9320105.00,1000000.0
9320106.04,9320106.04,1000000.0
9320106.05,9320106.05,800000.0
9320106.06,9320106.06,1100000.0
9320200.00,9320200.00,645000.0
9320201.01,9320201.01,800000.0
9320201.02,9320201.02,880000.0
9320202.00,9320202.00,760000.0
9320203.00,9320203.00,750000.0
9320204.00,9320204.00,900000.0
9320205.00,9320205.00,1000000.0
9320206.01,9320206.01,1000000.0
9320207.00,9320207.00,1390000.0
5680001.01,5680001.01,850000.0
5680001.02,5680001.02,628000.0
5680001.04,5680001.04,700000.0
5680001.05,5680001.05,700000.0
5680001.06,5680001.06,800000.0
5680001.07,5680001.07,800000.0
5680002.00,5680002.00,650000.0
5680003.00,5680003.00,628000.0
5680004.01,5680004.01,695000.0
5680004.03,5680004.03,650000.0
5680004.04,5680004.04,700000.0
5680004.05,5680004.05,670000.0
5680004.06,5680004.06,800000.0
5680004.07,5680004.07,650000.0
5680005.00,5680005.00,650000.0
5680006.00,5680006.00,520000.0
5680007.00,5680007.00,576000.0
5680008.00,5680008.00,700000.0
5680009.00,5680009.00,650000.0
5680010.00,5680010.00,600000.0
5680011.01,5680011.01,650000.0
5680011.02,5680011.02,750000.0
5680012.01,5680012.01,660000.0
5680012.02,5680012.02,645000.0
5680013.00,5680013.00,640000.0
5680014.00,5680014.00,700000.0
5680015.01,5680015.01,600000.0
5680015.02,5680015.02,650000.0
5680015.03,5680015.03,650000.0
5680016.00,5680016.00,665000.0
5680100.00,5680100.00,755000.0
5680101.00,5680101.00,900000.0
5680102.01,5680102.01,890000.0
5680102.02,5680102.02,600000.0
5680102.03,5680102.03,800000.0
5680102.04,5680102.04,600000.0
5680103.03,5680103.03,700000.0
5680103.04,5680103.04,695000.0
5680103.05,5680103.05,700000.0
5680103.06,5680103.06,800000.0
5680103.07,5680103.07,900000.0
5680103.08,5680103.08,750000.0
5680104.00,5680104.00,348000.0
5680200.00,5680200.00,920000.0
5680201.00,5680201.00,1000000.0
5680202.01,5680202.01,780000.0
5680202.02,5680202.02,600000.0
5220001.00,5220001.00,460000.0
5220002.00,5220002.00,400000.0
5220003.00,5220003.00,400000.0
5220004.00,5220004.00,500000.0
5220005.00,5220005.00,324000.0
5220006.00,5220006.00,300000.0
5220007.00,5220007.00,480000.0
5220008.00,5220008.00,328000.0
5220009.00,5220009.00,500000.0
5220011.00,5220011.00,348000.0
5220012.00,5220012.00,400000.0
5220200.00,5220200.00,448000.0
5220201.00,5220201.00,592000.0
5220202.00,5220202.00,500000.0
5220300.00,5220300.00,348000.0
5220301.00,5220301.00,400000.0
5220302.00,5220302.00,496000.0
5220303.00,5220303.00,552000.0
5220304.00,5220304.00,448000.0
5220400.00,5220400.00,348000.0
5220401.00,5220401.00,300000.0
5220403.00,5220403.00,452000.0
5220404.00,5220404.00,400000.0
5220406.00,5220406.00,352000.0
5220500.00,5220500.00,528000.0
5220501.00,5220501.00,500000.0
5220600.00,5220600.00,400000.0
5220700.00,5220700.00,400000.0
5430001.00,5430001.00,420000.0
5430002.01,5430002.01,500000.0
5430002.02,5430002.02,660000.0
5430002.04,5430002.04,700000.0
5430002.05,5430002.05,800000.0
5430002.06,5430002.06,950000.0
5430003.00,5430003.00,500000.0
5430004.00,5430004.00,1000000.0
5430005.00,5430005.00,400000.0
5430007.00,5430007.00,428000.0
5430008.00,5430008.00,400000.0
5430009.00,5430009.00,500000.0
5430010.00,5430010.00,400000.0
5430011.01,5430011.01,750000.0
5430011.02,5430011.02,552000.0
5430011.03,5430011.03,524000.0
5430012.00,5430012.00,500000.0
5430013.00,5430013.00,650000.0
5430014.01,5430014.01,600000.0
5430014.02,5430014.02,600000.0
5430014.03,5430014.03,600000.0
5430014.04,5430014.04,650000.0
5430100.00,5430100.00,850000.0
5430101.00,5430101.00,850000.0
5430102.00,5430102.00,800000.0
5430110.01,5430110.01,600000.0
5430110.02,5430110.02,650000.0
5430200.00,5430200.00,900000.0
5430201.00,5430201.00,800000.0
5430202.00,5430202.00,650000.0
8250001.01,8250001.01,448000.0
8250001.02,8250001.02,650000.0
8250001.03,8250001.03,528000.0
8250001.04,8250001.04,400000.0
8250001.05,8250001.05,624000.0
8250001.06,8250001.06,600000.0
8250001.07,8250001.07,400000.0
8250001.08,8250001.08,400000.0
8250001.09,8250001.09,472000.0
8250001.10,8250001.10,448000.0
8250001.11,8250001.11,420000.0
8250001.13,8250001.13,440000.0
8250001.14,8250001.14,675000.0
8250001.17,8250001.17,520000.0
8250001.22,8250001.22,500000.0
8250001.23,8250001.23,528000.0
8250001.25,8250001.25,400000.0
8250001.28,8250001.28,400000.0
8250001.29,8250001.29,448000.0
8250001.30,8250001.30,448000.0
8250001.32,8250001.32,480000.0
8250001.33,8250001.33,552000.0
8250001.35,8250001.35,420000.0
8250001.37,8250001.37,360000.0
8250001.38,8250001.38,400000.0
8250001.39,8250001.39,400000.0
8250001.40,8250001.40,224000.0
8250001.41,8250001.41,552000.0
8250001.42,8250001.42,428000.0
8250001.43,8250001.43,552000.0
8250001.44,8250001.44,500000.0
8250001.45,8250001.45,472000.0
8250001.46,8250001.46,428000.0
8250001.47,8250001.47,400000.0
8250001.48,8250001.48,420000.0
8250001.49,8250001.49,624000.0
8250001.50,8250001.50,540000.0
8250002.02,8250002.02,328000.0
8250002.04,8250002.04,100000.0
8250002.06,8250002.06,552000.0
8250002.07,8250002.07,452000.0
8250002.08,8250002.08,424000.0
8250002.09,8250002.09,400000.0
8250002.10,8250002.10,460000.0
8250002.11,8250002.11,600000.0
8250002.12,8250002.12,496000.0
8250002.14,8250002.14,480000.0
8250002.15,8250002.15,476000.0
8250002.17,8250002.17,400000.0
8250002.18,8250002.18,400000.0
8250002.22,8250002.22,448000.0
8250002.24,8250002.24,300000.0
8250002.25,8250002.25,412000.0
8250002.26,8250002.26,500000.0
8250002.27,8250002.27,492000.0
8250002.28,8250002.28,400000.0
8250002.29,8250002.29,380000.0
8250002.30,8250002.30,424000.0
8250002.31,8250002.31,400000.0
8250002.32,8250002.32,448000.0
8250002.33,8250002.33,556000.0
8250002.34,8250002.34,700000.0
8250002.35,8250002.35,376000.0
8250002.36,8250002.36,400000.0
8250002.37,8250002.37,500000.0
8250002.38,8250002.38,520000.0
8250002.39,8250002.39,476000.0
8250002.40,8250002.40,552000.0
8250003.00,8250003.00,500000.0
8250004.00,8250004.00,650000.0
8250005.00,8250005.00,472000.0
8250006.00,8250006.00,440000.0
8250007.01,8250007.01,400000.0
8250007.02,8250007.02,400000.0
8250007.03,8250007.03,552000.0
8250007.05,8250007.05,1000000.0
8250007.06,8250007.06,500000.0
8250007.07,8250007.07,900000.0
8250008.00,8250008.00,540000.0
8250009.00,8250009.00,448000.0
8250010.00,8250010.00,260000.0
8250011.00,8250011.00,472000.0
8250012.00,8250012.00,448000.0
8250013.00,8250013.00,448000.0
8250014.00,8250014.00,900000.0
8250015.00,8250015.00,800000.0
8250016.00,8250016.00,624000.0
8250017.01,8250017.01,424000.0
8250017.03,8250017.03,324000.0
8250017.04,8250017.04,500000.0
8250017.05,8250017.05,600000.0
8250017.06,8250017.06,695000.0
8250018.01,8250018.01,500000.0
8250018.02,8250018.02,572000.0
8250019.00,8250019.00,556000.0
8250020.00,8250020.00,600000.0
8250021.01,8250021.01,650000.0
8250021.02,8250021.02,600000.0
8250022.01,8250022.01,628000.0
8250022.02,8250022.02,400000.0
8250023.00,8250023.00,900000.0
8250024.00,8250024.00,650000.0
8250025.00,8250025.00,660000.0
8250026.00,8250026.00,304000.0
8250027.01,8250027.01,340000.0
8250027.02,8250027.02,1500000.0
8250027.03,8250027.03,314000.0
8250028.00,8250028.00,1300000.0
8250029.00,8250029.00,700000.0
8250030.00,8250030.00,588000.0
8250031.01,8250031.01,304000.0
8250031.02,8250031.02,348000.0
8250032.00,8250032.00,600000.0
8250033.01,8250033.01,352000.0
8250033.02,8250033.02,340000.0
8250034.00,8250034.00,472000.0
8250035.01,8250035.01,300000.0
8250035.02,8250035.02,360000.0
8250036.01,8250036.01,276000.0
8250036.02,8250036.02,324000.0
8250037.00,8250037.00,320000.0
8250038.02,8250038.02,348000.0
8250038.03,8250038.03,352000.0
8250038.04,8250038.04,300000.0
8250038.05,8250038.05,310000.0
8250038.06,8250038.06,300000.0
8250038.07,8250038.07,348000.0
8250038.08,8250038.08,348000.0
8250038.10,8250038.10,376000.0
8250038.11,8250038.11,324000.0
8250038.12,8250038.12,300000.0
8250038.13,8250038.13,360000.0
8250038.14,8250038.14,348000.0
8250038.15,8250038.15,348000.0
8250038.17,8250038.17,300000.0
8250038.18,8250038.18,348000.0
8250038.20,8250038.20,368000.0
8250038.21,8250038.21,190000.0
8250038.22,8250038.22,440000.0
8250038.23,8250038.23,348000.0
8250038.24,8250038.24,380000.0
8250038.25,8250038.25,376000.0
8250038.27,8250038.27,500000.0
8250038.28,8250038.28,310000.0
8250038.30,8250038.30,348000.0
8250038.35,8250038.35,448000.0
8250038.36,8250038.36,428000.0
8250038.37,8250038.37,324000.0
8250038.38,8250038.38,420000.0
8250038.39,8250038.39,500000.0
8250038.40,8250038.40,468000.0
8250038.41,8250038.41,424000.0
8250038.42,8250038.42,448000.0
8250038.43,8250038.43,400000.0
8250038.44,8250038.44,400000.0
8250038.45,8250038.45,376000.0
8250038.46,8250038.46,400000.0
8250038.47,8250038.47,424000.0
8250038.48,8250038.48,376000.0
8250038.49,8250038.49,380000.0
8250039.00,8250039.00,348000.0
8250040.00,8250040.00,420000.0
8250041.00,8250041.00,448000.0
8250042.01,8250042.01,340000.0
8250042.02,8250042.02,360000.0
8250043.00,8250043.00,500000.0
8250044.00,8250044.00,320000.0
8250045.01,8250045.01,250000.0
8250045.02,8250045.02,310000.0
8250046.01,8250046.01,348000.0
8250046.02,8250046.02,700000.0
8250047.00,8250047.00,600000.0
8250048.00,8250048.00,532000.0
8250049.01,8250049.01,552000.0
8250049.04,8250049.04,472000.0
8250049.05,8250049.05,448000.0
8250049.06,8250049.06,600000.0
8250049.07,8250049.07,725000.0
8250050.01,8250050.01,388000.0
8250050.07,8250050.07,300000.0
8250050.10,8250050.10,650000.0
8250050.12,8250050.12,710000.0
8250050.13,8250050.13,780000.0
8250050.14,8250050.14,730000.0
8250050.15,8250050.15,800000.0
8250050.16,8250050.16,750000.0
8250050.17,8250050.17,592000.0
8250050.18,8250050.18,650000.0
8250050.19,8250050.19,580000.0
8250050.21,8250050.21,755000.0
8250050.22,8250050.22,1200000.0
8250051.00,8250051.00,448000.0
8250052.01,8250052.01,500000.0
8250052.02,8250052.02,516000.0
8250052.03,8250052.03,750000.0
8250052.04,8250052.04,568000.0
8250052.06,8250052.06,600000.0
8250052.07,8250052.07,528000.0
8250052.09,8250052.09,492000.0
8250052.10,8250052.10,452000.0
8250052.11,8250052.11,552000.0
8250052.12,8250052.12,700000.0
8250053.00,8250053.00,476000.0
8250054.00,8250054.00,750000.0
8250055.00,8250055.00,860000.0
8250056.00,8250056.00,750000.0
8250057.00,8250057.00,700000.0
8250058.00,8250058.00,695000.0
8250059.00,8250059.00,500000.0
8250060.00,8250060.00,524000.0
8250061.00,8250061.00,420000.0
8250062.00,8250062.00,592000.0
8250063.00,8250063.00,640000.0
8250064.00,8250064.00,620000.0
8250065.00,8250065.00,650000.0
8250066.02,8250066.02,548000.0
8250066.03,8250066.03,800000.0
8250067.00,8250067.00,528000.0
8250068.00,8250068.00,600000.0
8250069.00,8250069.00,624000.0
8250070.00,8250070.00,600000.0
8250071.00,8250071.00,620000.0
8250072.00,8250072.00,552000.0
8250073.00,8250073.00,400000.0
8250074.00,8250074.00,500000.0
8250075.01,8250075.01,448000.0
8250075.02,8250075.02,260000.0
8250076.01,8250076.01,400000.0
8250076.02,8250076.02,392000.0
8250076.03,8250076.03,500000.0
8250076.04,8250076.04,384000.0
8250076.05,8250076.05,420000.0
8250076.06,8250076.06,352000.0
8250076.09,8250076.09,388000.0
8250076.13,8250076.13,448000.0
8250076.14,8250076.14,448000.0
8250076.15,8250076.15,380000.0
8250076.19,8250076.19,552000.0
8250076.20,8250076.20,380000.0
8250076.23,8250076.23,400000.0
8250076.24,8250076.24,400000.0
8250076.25,8250076.25,500000.0
8250076.26,8250076.26,480000.0
8250076.27,8250076.27,480000.0
8250076.28,8250076.28,492000.0
8250076.29,8250076.29,468000.0
8250076.30,8250076.30,420000.0
8250076.31,8250076.31,552000.0
8250076.32,8250076.32,520000.0
8250076.33,8250076.33,500000.0
8250076.34,8250076.34,400000.0
8250076.35,8250076.35,420000.0
8250076.37,8250076.37,412000.0
8250076.38,8250076.38,420000.0
8250076.39,8250076.39,260000.0
8250077.01,8250077.01,600000.0
8250077.02,8250077.02,460000.0
8250077.03,8250077.03,540000.0
8250077.04,8250077.04,348000.0
8250077.06,8250077.06,616000.0
8250077.13,8250077.13,524000.0
8250077.14,8250077.14,500000.0
8250077.16,8250077.16,650000.0
8250077.17,8250077.17,528000.0
8250077.19,8250077.19,448000.0
8250077.20,8250077.20,448000.0
8250077.21,8250077.21,384000.0
8250077.22,8250077.22,552000.0
8250077.23,8250077.23,440000.0
8250077.24,8250077.24,472000.0
8250077.25,8250077.25,528000.0
8250077.26,8250077.26,528000.0
8250077.27,8250077.27,480000.0
8250077.28,8250077.28,560000.0
8250077.30,8250077.30,508000.0
8250077.31,8250077.31,695000.0
8250077.32,8250077.32,685000.0
8250077.33,8250077.33,552000.0
8250077.34,8250077.34,600000.0
8250077.35,8250077.35,540000.0
8250077.36,8250077.36,440000.0
8250077.37,8250077.37,452000.0
8250077.38,8250077.38,348000.0
8250077.39,8250077.39,552000.0
8250077.40,8250077.40,552000.0
8250077.41,8250077.41,480000.0
8250200.03,8250200.03,850000.0
8250200.05,8250200.05,1200000.0
8250200.06,8250200.06,1250000.0
8250201.01,8250201.01,1200000.0
8250201.02,8250201.02,800000.0
8250202.01,8250202.01,500000.0
8250202.02,8250202.02,900000.0
8250202.03,8250202.03,380000.0
8250202.04,8250202.04,850000.0
